
These predictions were generated by MoorDyn (v2.2.22024-01-16) on 25-Jun-2024 at 17:33:13.

 
 
 
      Time        FAIRTEN1        FAIRTEN2        FAIRTEN3         BODY1RY         BODY1PZ
       (s)             (N)             (N)             (N)           (deg)             (m)
    0.1000   2.6653729E+03   2.6653402E+03   2.6653402E+03   3.2070464E-09  -4.9021260E-02
    0.2000   7.2334663E+03   7.2333710E+03   7.2333710E+03   3.0460811E-08  -1.9601902E-01
    0.3000   1.3770538E+04   1.3770337E+04   1.3770337E+04   1.1568030E-07  -4.4086632E-01
    0.4000   2.1959140E+04   2.1958778E+04   2.1958778E+04   3.0670973E-07  -7.8338409E-01
    0.5000   3.1423185E+04   3.1421899E+04   3.1421899E+04   4.7381905E-07  -1.2233301E+00
    0.6000   4.1311219E+04   4.1303289E+04   4.1303289E+04  -2.3311555E-06  -1.7601331E+00
    0.7000   4.8931385E+04   4.8872889E+04   4.8872889E+04  -6.5171601E-05  -2.3917543E+00
    0.8000   4.8649251E+04   4.8394338E+04   4.8394338E+04  -4.4246124E-04  -3.1010679E+00
    0.9000   3.9109227E+04   3.8557217E+04   3.8557217E+04  -1.2383186E-03  -3.8592098E+00
    1.0000   2.4900839E+04   2.4283190E+04   2.4283190E+04  -2.5412012E-03  -4.6358151E+00
    1.1000   1.4091455E+04   1.3816760E+04   1.3816760E+04  -4.3833402E-03  -5.4127680E+00
    1.2000   1.0867320E+04   1.0869437E+04   1.0869437E+04  -6.7051438E-03  -6.1825110E+00
    1.3000   1.0655052E+04   1.0651870E+04   1.0651870E+04  -9.4146166E-03  -6.9385212E+00
    1.4000   1.0211169E+04   1.0171128E+04   1.0171128E+04  -1.2410371E-02  -7.6748505E+00
    1.5000   1.2057124E+04   1.1710174E+04   1.1710174E+04  -1.5601712E-02  -8.3860812E+00
    1.6000   1.6251199E+04   1.5419619E+04   1.5419619E+04  -1.8893606E-02  -9.0672844E+00
    1.7000   2.0331926E+04   1.9082551E+04   1.9082551E+04  -2.2154696E-02  -9.7139266E+00
    1.8000   2.2871803E+04   2.1332869E+04   2.1332869E+04  -2.5270683E-02  -1.0321965E+01
    1.9000   2.3548715E+04   2.1839356E+04   2.1839356E+04  -2.8155636E-02  -1.0887900E+01
    2.0000   2.2604169E+04   2.0816288E+04   2.0816288E+04  -3.0749223E-02  -1.1408754E+01
    2.1000   2.0488642E+04   1.8693074E+04   1.8693074E+04  -3.3011619E-02  -1.1882062E+01
    2.2000   1.7761469E+04   1.6048386E+04   1.6048386E+04  -3.4892548E-02  -1.2306635E+01
    2.3000   1.4809397E+04   1.3234909E+04   1.3234909E+04  -3.6317196E-02  -1.2683009E+01
    2.4000   1.1862608E+04   1.0449638E+04   1.0449638E+04  -3.7233676E-02  -1.3011853E+01
    2.5000   9.0691891E+03   7.8228383E+03   7.8228383E+03  -3.7613635E-02  -1.3293736E+01
    2.6000   6.5263353E+03   5.4426183E+03   5.4426183E+03  -3.7453836E-02  -1.3529127E+01
    2.7000   4.3010677E+03   3.3730532E+03   3.3730532E+03  -3.6780168E-02  -1.3718408E+01
    2.8000   2.4409979E+03   1.6649873E+03   1.6649873E+03  -3.5646977E-02  -1.3861889E+01
    2.9000   9.8414275E+02   3.6884057E+02   3.6884057E+02  -3.4133417E-02  -1.3959806E+01
    3.0000   6.2865159E+01   4.8937980E+02   4.8937980E+02  -3.2338997E-02  -1.4012342E+01
    3.1000   5.6755667E+02   8.7487202E+02   8.7487202E+02  -3.0378508E-02  -1.4019659E+01
    3.2000   8.5739790E+02   1.4705033E+03   1.4705033E+03  -2.8375475E-02  -1.3982074E+01
    3.3000   1.5742803E+03   2.6256103E+03   2.6256103E+03  -2.6470441E-02  -1.3899369E+01
    3.4000   2.6513908E+03   4.4141141E+03   4.4141141E+03  -2.4921811E-02  -1.3763745E+01
    3.5000   3.9404183E+03   6.6086339E+03   6.6086339E+03  -2.3870718E-02  -1.3575429E+01
    3.6000   5.2982422E+03   9.0195407E+03   9.0195407E+03  -2.3416882E-02  -1.3337613E+01
    3.7000   6.5220917E+03   1.1423662E+04   1.1423662E+04  -2.3650207E-02  -1.3054150E+01
    3.8000   7.4186539E+03   1.3570865E+04   1.3570865E+04  -2.4653424E-02  -1.2729426E+01
    3.9000   7.8577490E+03   1.5228062E+04   1.5228062E+04  -2.6507487E-02  -1.2368209E+01
    4.0000   7.7506458E+03   1.6207769E+04   1.6207769E+04  -2.9286849E-02  -1.1975498E+01
    4.1000   7.1457795E+03   1.6397902E+04   1.6397902E+04  -3.3058628E-02  -1.1556395E+01
    4.2000   6.2119413E+03   1.5629712E+04   1.5629712E+04  -3.7881905E-02  -1.1115994E+01
    4.3000   5.2431140E+03   1.3995010E+04   1.3995010E+04  -4.3805231E-02  -1.0659308E+01
    4.4000   4.5902496E+03   1.1712407E+04   1.1712407E+04  -5.0863848E-02  -1.0191220E+01
    4.5000   4.4082115E+03   9.1253810E+03   9.1253810E+03  -5.9076982E-02  -9.7164715E+00
    4.6000   4.4562304E+03   6.6556185E+03   6.6556185E+03  -6.8445109E-02  -9.2396646E+00
    4.7000   4.4047485E+03   4.9189554E+03   4.9189554E+03  -7.8946945E-02  -8.7652767E+00
    4.8000   4.2743466E+03   4.1745398E+03   4.1745398E+03  -9.0539192E-02  -8.2976724E+00
    4.9000   4.4083592E+03   3.9762234E+03   3.9762234E+03  -1.0316278E-01  -7.8411092E+00
    5.0000   5.1262174E+03   3.7410929E+03   3.7410929E+03  -1.1675524E-01  -7.3997293E+00
    5.1000   6.3390758E+03   3.4092854E+03   3.4092854E+03  -1.3123827E-01  -6.9775119E+00
    5.2000   7.6741018E+03   3.2138931E+03   3.2138931E+03  -1.4651883E-01  -6.5781935E+00
    5.3000   8.7726584E+03   3.3126628E+03   3.3126628E+03  -1.6249549E-01  -6.2051757E+00
    5.4000   9.4026386E+03   3.6023961E+03   3.6023961E+03  -1.7906440E-01  -5.8614532E+00
    5.5000   9.4684195E+03   3.8510681E+03   3.8510681E+03  -1.9612480E-01  -5.5495751E+00
    5.6000   8.9791862E+03   3.8937867E+03   3.8937867E+03  -2.1358291E-01  -5.2716473E+00
    5.7000   8.0967168E+03   3.6727495E+03   3.6727495E+03  -2.3135573E-01  -5.0293680E+00
    5.8000   6.8706384E+03   3.2064573E+03   3.2064573E+03  -2.4937496E-01  -4.8240868E+00
    5.9000   5.4441116E+03   2.5604352E+03   2.5604352E+03  -2.6758948E-01  -4.6568691E+00
    6.0000   3.9979906E+03   1.8255889E+03   1.8255889E+03  -2.8596618E-01  -4.5285482E+00
