
These predictions were generated by MoorDyn (v2.a272022-07-20) on 06-Dec-2022 at 13:08:30.

 
 
 
      Time          CON1FX          CON1FY          CON1FZ          CON2FX          CON2FY          CON2FZ         L1N20PX         L1N20PY         L1N20PZ          L1N9PX         L1N10PY         L1N10PZ          L1N10T          L1N1PX          L1N1PY          L1N1PZ           L1N1T
       (s)             (N)             (N)             (N)             (N)             (N)             (N)             (m)             (m)             (m)             (m)             (m)             (m)             (N)             (m)             (m)             (m)             (N)
    0.2000   2.3959983E+06   0.0000000E+00  -3.0251119E+06  -2.4028986E+06   0.0000000E+00  -1.0998405E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   7.9079164E+02   0.0000000E+00  -5.4447116E+02   2.5341653E+06   1.5098242E+03   0.0000000E+00  -6.0000377E+02   2.4028588E+06
    0.4000   2.3962706E+06   0.0000000E+00  -3.0270573E+06  -2.4043116E+06   0.0000000E+00  -1.0998410E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   7.9079653E+02   0.0000000E+00  -5.4444503E+02   2.5358489E+06   1.5098241E+03   0.0000000E+00  -6.0000377E+02   2.4042716E+06
    0.6000   2.3965342E+06   0.0000000E+00  -3.0292000E+06  -2.4041758E+06   0.0000000E+00  -1.0998410E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   7.9080371E+02   0.0000000E+00  -5.4441619E+02   2.5368876E+06   1.5098240E+03   0.0000000E+00  -6.0000377E+02   2.4041466E+06
    0.8000   2.3963489E+06   0.0000000E+00  -3.0309394E+06  -2.4029713E+06   0.0000000E+00  -1.0998405E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   7.9081260E+02   0.0000000E+00  -5.4438579E+02   2.5371579E+06   1.5098241E+03   0.0000000E+00  -6.0000377E+02   2.4029563E+06
    1.0000   2.3952834E+06   0.0000000E+00  -3.0316780E+06  -2.4012479E+06   0.0000000E+00  -1.0998398E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   7.9082251E+02   0.0000000E+00  -5.4435480E+02   2.5365534E+06   1.5098242E+03   0.0000000E+00  -6.0000377E+02   2.4012426E+06
    1.2000   2.3931164E+06   0.0000000E+00  -3.0310699E+06  -2.3993206E+06   0.0000000E+00  -1.0998390E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   7.9083281E+02   0.0000000E+00  -5.4432406E+02   2.5350088E+06   1.5098244E+03   0.0000000E+00  -6.0000377E+02   2.3993157E+06
    1.4000   2.3899263E+06   0.0000000E+00  -3.0291341E+06  -2.3971258E+06   0.0000000E+00  -1.0998381E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   7.9084301E+02   0.0000000E+00  -5.4429428E+02   2.5325281E+06   1.5098245E+03   0.0000000E+00  -6.0000377E+02   2.3971129E+06
    1.6000   2.3860515E+06   0.0000000E+00  -3.0262116E+06  -2.3943083E+06   0.0000000E+00  -1.0998369E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   7.9085280E+02   0.0000000E+00  -5.4426608E+02   2.5291837E+06   1.5098247E+03   0.0000000E+00  -6.0000377E+02   2.3942850E+06
    1.8000   2.3819468E+06   0.0000000E+00  -3.0227918E+06  -2.3904713E+06   0.0000000E+00  -1.0998353E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   7.9086198E+02   0.0000000E+00  -5.4423999E+02   2.5251066E+06   1.5098250E+03   0.0000000E+00  -6.0000377E+02   2.3904418E+06
