
These predictions were generated by MoorDyn (v2.2.22024-01-16) on 25-Jun-2024 at 17:35:26.

 
 
 
      Time        FAIRTEN1         BODY1PZ         BODY1RY         BODY1RX
       (s)             (N)             (m)           (deg)           (deg)
    0.0000   1.2521490E+01   0.0000000E+00  -9.0000000E+01   0.0000000E+00
    0.0020   1.2178095E+01  -1.2103977E-05  -9.0000000E+01   0.0000000E+00
    0.0040   1.1832639E+01  -4.8373014E-05  -9.0000000E+01   0.0000000E+00
    0.0060   1.1485159E+01  -1.0876183E-04  -9.0000000E+01   0.0000000E+00
    0.0080   1.1135689E+01  -1.9322307E-04  -9.0000000E+01   0.0000000E+00
    0.0100   1.0784262E+01  -3.0170731E-04  -9.0000000E+01   0.0000000E+00
    0.0120   1.0430914E+01  -4.3416309E-04  -9.0000000E+01   0.0000000E+00
    0.0140   1.0075680E+01  -5.9053692E-04  -9.0000000E+01   0.0000000E+00
    0.0160   9.7185929E+00  -7.7077328E-04  -9.0000000E+01   0.0000000E+00
    0.0180   9.3596881E+00  -9.7481468E-04  -9.0000000E+01   0.0000000E+00
    0.0200   8.9989999E+00  -1.2026016E-03  -9.0000000E+01   0.0000000E+00
    0.0220   8.6365626E+00  -1.4540727E-03  -9.0000000E+01   0.0000000E+00
    0.0240   8.2724105E+00  -1.7291646E-03  -9.0000000E+01   0.0000000E+00
    0.0260   7.9065778E+00  -2.0278119E-03  -9.0000000E+01   0.0000000E+00
    0.0280   7.5390987E+00  -2.3499475E-03  -9.0000000E+01   0.0000000E+00
    0.0300   7.1700072E+00  -2.6955024E-03  -9.0000000E+01   0.0000000E+00
    0.0320   6.7993373E+00  -3.0644056E-03  -9.0000000E+01   0.0000000E+00
    0.0340   6.4271228E+00  -3.4565843E-03  -9.0000000E+01   0.0000000E+00
    0.0360   6.0533974E+00  -3.8719641E-03  -9.0000000E+01   0.0000000E+00
    0.0380   5.6781948E+00  -4.3104685E-03  -9.0000000E+01   0.0000000E+00
    0.0400   5.3015484E+00  -4.7720195E-03  -9.0000000E+01   0.0000000E+00
    0.0420   4.9234915E+00  -5.2565372E-03  -9.0000000E+01   0.0000000E+00
    0.0440   4.5440573E+00  -5.7639401E-03  -9.0000000E+01   0.0000000E+00
    0.0460   4.1632788E+00  -6.2941449E-03  -9.0000000E+01   0.0000000E+00
    0.0480   3.7811888E+00  -6.8470666E-03  -9.0000000E+01   0.0000000E+00
    0.0500   3.3978201E+00  -7.4226187E-03  -9.0000000E+01   0.0000000E+00
    0.0520   3.0132050E+00  -8.0207130E-03  -9.0000000E+01   0.0000000E+00
    0.0540   2.6273760E+00  -8.6412598E-03  -9.0000000E+01   0.0000000E+00
