
These predictions were generated by MoorDyn (v2.2.22024-01-16) on 25-Jun-2024 at 17:35:36.

 
 
 
      Time        FAIRTEN1       LINE3NAPZ
       (s)             (N)             (m)
    0.0100   4.6538010E+04  -2.9894984E+02
    0.0200   3.9772227E+04  -2.9802039E+02
    0.0300   3.4017909E+04  -2.9720095E+02
    0.0400   2.7067001E+04  -2.9645734E+02
    0.0500   2.3716235E+04  -2.9576682E+02
    0.0600   1.7442288E+04  -2.9511561E+02
    0.0700   1.3445167E+04  -2.9449468E+02
    0.0800   1.2336790E+04  -2.9389792E+02
    0.0900   1.0010029E+04  -2.9332106E+02
    0.1000   8.4684844E+03  -2.9276100E+02
    0.1100   8.3671875E+03  -2.9221541E+02
    0.1200   9.3454588E+03  -2.9168255E+02
    0.1300   1.1078543E+04  -2.9116112E+02
    0.1400   1.3284457E+04  -2.9065020E+02
    0.1500   1.5739202E+04  -2.9014923E+02
    0.1600   1.8254041E+04  -2.8965797E+02
    0.1700   2.0636799E+04  -2.8917650E+02
    0.1800   2.2739500E+04  -2.8870538E+02
    0.1900   2.4538331E+04  -2.8824516E+02
    0.2000   2.7546021E+04  -2.8779519E+02
    0.2100   2.9862804E+04  -2.8735389E+02
    0.2200   2.9609205E+04  -2.8691967E+02
    0.2300   2.8376388E+04  -2.8649134E+02
    0.2400   2.6846548E+04  -2.8606814E+02
    0.2500   2.5333914E+04  -2.8564957E+02
    0.2600   2.4176156E+04  -2.8523533E+02
    0.2700   2.3593530E+04  -2.8482516E+02
    0.2800   2.4927691E+04  -2.8441891E+02
    0.2900   2.7459667E+04  -2.8401643E+02
    0.3000   2.7590610E+04  -2.8361760E+02
    0.3100   2.6829976E+04  -2.8322232E+02
    0.3200   2.6355782E+04  -2.8283051E+02
    0.3300   2.6139508E+04  -2.8244212E+02
    0.3400   2.6030856E+04  -2.8205708E+02
    0.3500   2.5944683E+04  -2.8167535E+02
    0.3600   2.5855254E+04  -2.8129691E+02
    0.3700   2.5793201E+04  -2.8092172E+02
    0.3800   2.5786266E+04  -2.8054979E+02
    0.3900   2.5819464E+04  -2.8018110E+02
    0.4000   2.5878085E+04  -2.7981566E+02
    0.4100   2.6537553E+04  -2.7945347E+02
    0.4200   2.8182324E+04  -2.7909455E+02
    0.4300   2.8655966E+04  -2.7873891E+02
    0.4400   2.8252315E+04  -2.7838660E+02
    0.4500   2.7955796E+04  -2.7803763E+02
    0.4600   2.7905084E+04  -2.7769203E+02
    0.4700   2.8015226E+04  -2.7734985E+02
    0.4800   2.8232533E+04  -2.7701112E+02
    0.4900   2.8492666E+04  -2.7667589E+02
    0.5000   2.8712486E+04  -2.7634418E+02
    0.5100   2.8849000E+04  -2.7601605E+02
    0.5200   2.8937212E+04  -2.7569154E+02
    0.5300   2.9048875E+04  -2.7537070E+02
    0.5400   2.9218645E+04  -2.7505357E+02
    0.5500   2.9434307E+04  -2.7474021E+02
    0.5600   2.9693558E+04  -2.7443067E+02
    0.5700   3.0030599E+04  -2.7412500E+02
    0.5800   3.0486079E+04  -2.7382325E+02
    0.5900   3.1104911E+04  -2.7352548E+02
    0.6000   3.1991128E+04  -2.7323174E+02
    0.6100   3.3320689E+04  -2.7294208E+02
    0.6200   3.5221624E+04  -2.7265655E+02
    0.6300   3.7598418E+04  -2.7237521E+02
    0.6400   4.0308984E+04  -2.7209809E+02
    0.6500   4.3595909E+04  -2.7182525E+02
    0.6600   4.5758126E+04  -2.7155673E+02
    0.6700   4.6005470E+04  -2.7129256E+02
    0.6800   4.5284552E+04  -2.7103280E+02
    0.6900   4.4152339E+04  -2.7077745E+02
    0.7000   4.2787439E+04  -2.7052657E+02
    0.7100   4.1351040E+04  -2.7028018E+02
    0.7200   4.0017692E+04  -2.7003843E+02
    0.7300   3.8915724E+04  -2.6980434E+02
