
These predictions were generated by MoorDyn (v2.2.22024-01-16) on 25-Jun-2024 at 17:36:25.

 
 
 
      Time        FAIRTEN2       LINE1NBPZ
       (s)             (N)             (m)
    0.1000   5.4931207E+08  -9.7279373E+01
    0.2000   4.8593002E+08  -9.5593153E+01
    0.3000   4.1798688E+08  -9.4294185E+01
    0.4000   3.5480264E+08  -9.3239667E+01
    0.5000   2.9918889E+08  -9.2371161E+01
    0.6000   2.5124707E+08  -9.1651870E+01
    0.7000   2.1017958E+08  -9.1066610E+01
    0.8000   1.7501492E+08  -9.0596325E+01
    0.9000   1.4486564E+08  -9.0228667E+01
    1.0000   1.1895967E+08  -8.9952355E+01
    1.1000   9.6633696E+07  -8.9757129E+01
    1.2000   7.7491812E+07  -8.9629983E+01
    1.3000   6.0990794E+07  -8.9569427E+01
    1.4000   4.6964222E+07  -8.9564720E+01
    1.5000   3.4919904E+07  -8.9613487E+01
    1.6000   2.5019023E+07  -8.9711787E+01
    1.7000   1.6685756E+07  -8.9850917E+01
    1.8000   9.8794942E+06  -9.0030977E+01
    1.9000   4.8451901E+06  -9.0256086E+01
    2.0000   1.1351155E+06  -9.0513626E+01
    2.1000   1.2094013E+05  -9.0799288E+01
    2.2000   8.0343131E+04  -9.1102688E+01
    2.3000   6.0331761E+04  -9.1416735E+01
    2.4000   4.4818002E+04  -9.1739091E+01
    2.5000   3.0641915E+04  -9.2068753E+01
    2.6000   1.6802009E+04  -9.2405358E+01
    2.7000   3.2231513E+03  -9.2748824E+01
    2.8000   1.2386537E+04  -9.3099457E+01
    2.9000   2.5752410E+04  -9.3457281E+01
    3.0000   3.7017368E+04  -9.3822238E+01
    3.1000   4.6310420E+04  -9.4194340E+01
    3.2000   5.4051627E+04  -9.4574128E+01
    3.3000   7.9957501E+04  -9.4960788E+01
    3.4000   2.1134322E+05  -9.5352792E+01
    3.5000   1.2127842E+06  -9.5746813E+01
    3.6000   1.6713718E+06  -9.6141731E+01
    3.7000   1.7367036E+06  -9.6551546E+01
    3.8000   1.5134899E+06  -9.6964721E+01
    3.9000   1.0388911E+06  -9.7366435E+01
    4.0000   6.6512435E+05  -9.7756098E+01
    4.1000   4.1584482E+05  -9.8132403E+01
    4.2000   3.1986909E+05  -9.8498428E+01
    4.3000   4.0245290E+05  -9.8858570E+01
    4.4000   5.7963724E+05  -9.9213212E+01
    4.5000   7.8085716E+05  -9.9561769E+01
    4.6000   9.0662758E+05  -9.9902762E+01
    4.7000   9.0907892E+05  -1.0023783E+02
    4.8000   8.8401936E+05  -1.0057299E+02
    4.9000   8.2431664E+05  -1.0091091E+02
    5.0000   7.6371444E+05  -1.0125386E+02
    5.1000   7.3648557E+05  -1.0160322E+02
    5.2000   7.3738326E+05  -1.0195868E+02
    5.3000   7.6374073E+05  -1.0231971E+02
    5.4000   7.2888726E+05  -1.0268262E+02
    5.5000   6.8455427E+05  -1.0304764E+02
    5.6000   6.9355539E+05  -1.0341622E+02
    5.7000   7.0721483E+05  -1.0378622E+02
    5.8000   7.4033910E+05  -1.0415787E+02
    5.9000   7.8825141E+05  -1.0453123E+02
    6.0000   8.2577762E+05  -1.0490553E+02
    6.1000   8.6150416E+05  -1.0528121E+02
    6.2000   8.4138013E+05  -1.0565444E+02
    6.3000   7.2486249E+05  -1.0602350E+02
    6.4000   7.1942573E+05  -1.0639423E+02
    6.5000   7.2935251E+05  -1.0676337E+02
    6.6000   7.4735106E+05  -1.0713111E+02
    6.7000   8.0843975E+05  -1.0749943E+02
    6.8000   8.6213428E+05  -1.0786763E+02
    6.9000   8.9765311E+05  -1.0823576E+02
    7.0000   8.9044310E+05  -1.0860169E+02
    7.1000   6.7993854E+05  -1.0896074E+02
    7.2000   6.7663473E+05  -1.0932354E+02
    7.3000   7.0190379E+05  -1.0968641E+02
    7.4000   7.2532893E+05  -1.1004836E+02
    7.5000   8.0509373E+05  -1.1041228E+02
    7.6000   8.7814819E+05  -1.1077740E+02
    7.7000   9.1803446E+05  -1.1114319E+02
    7.8000   9.4107607E+05  -1.1151024E+02
    7.9000   8.1202145E+05  -1.1187099E+02
    8.0000   6.2604282E+05  -1.1222827E+02
    8.1000   6.5723981E+05  -1.1259106E+02
    8.2000   6.9143860E+05  -1.1295213E+02
    8.3000   7.4766226E+05  -1.1331328E+02
    8.4000   8.5552213E+05  -1.1367704E+02
    8.5000   9.2176972E+05  -1.1404128E+02
    8.6000   9.5149717E+05  -1.1440627E+02
    8.7000   9.6161019E+05  -1.1477242E+02
    8.8000   8.6526994E+05  -1.1513289E+02
