
These predictions were generated by MoorDyn (v2.2.22024-01-16) on 09-Aug-2024 at 15:33:51.

 
 
 
      Time         BODY1RY         BODY1PZ         ROD1SUB
       (s)           (deg)             (m)          (frac)
    0.1000   4.4494415E+01  -9.9420595E-01   4.7875503E-01
    0.2000   4.2991688E+01  -9.7748905E-01   4.6727335E-01
    0.3000   4.0532787E+01  -9.5179522E-01   4.5046118E-01
    0.4000   3.7182743E+01  -9.2020631E-01   4.3100101E-01
    0.5000   3.3026844E+01  -8.8670790E-01   4.1151997E-01
    0.6000   2.8166409E+01  -8.5586244E-01   3.9416549E-01
    0.7000   2.2715324E+01  -8.3241814E-01   3.8048279E-01
    0.8000   1.6797529E+01  -8.2086611E-01   3.7149039E-01
    0.9000   1.0545898E+01  -8.2498902E-01   3.6783272E-01
    1.0000   4.1011477E+00  -8.4742767E-01   3.6992064E-01
    1.1000  -2.3890588E+00  -8.8933402E-01   3.7802154E-01
    1.2000  -8.7716866E+00  -9.5016617E-01   3.9228219E-01
    1.3000  -1.4890411E+01  -1.0276743E+00   4.1267675E-01
    1.4000  -2.0589701E+01  -1.1181082E+00   4.3888065E-01
    1.5000  -2.5720236E+01  -1.2166374E+00   4.7008663E-01
    1.6000  -3.0146229E+01  -1.3179368E+00   5.0481462E-01
    1.7000  -3.3753201E+01  -1.4168309E+00   5.4081434E-01
    1.8000  -3.6454182E+01  -1.5088656E+00   5.7518464E-01
    1.9000  -3.8191784E+01  -1.5906796E+00   6.0478115E-01
    2.0000  -3.8935783E+01  -1.6601377E+00   6.2685251E-01
    2.1000  -3.8677776E+01  -1.7162896E+00   6.3969499E-01
    2.2000  -3.7426472E+01  -1.7592822E+00   6.4306939E-01
    2.3000  -3.5211819E+01  -1.7904006E+00   6.3827264E-01
    2.4000  -3.2092064E+01  -1.8121135E+00   6.2779111E-01
    2.5000  -2.8153154E+01  -1.8278843E+00   6.1463219E-01
    2.6000  -2.3506245E+01  -1.8418301E+00   6.0170048E-01
    2.7000  -1.8284918E+01  -1.8582604E+00   5.9141541E-01
    2.8000  -1.2640805E+01  -1.8811171E+00   5.8556914E-01
    2.9000  -6.7391629E+00  -1.9134170E+00   5.8534586E-01
    3.0000  -7.5371706E-01  -1.9567881E+00   5.9139144E-01
    3.1000   5.1398745E+00  -2.0112038E+00   6.0386473E-01
    3.2000   1.0771725E+01  -2.0749967E+00   6.2244296E-01
    3.3000   1.5985319E+01  -2.1451533E+00   6.4628756E-01
    3.4000   2.0644405E+01  -2.2178216E+00   6.7400163E-01
    3.5000   2.4638378E+01  -2.2889018E+00   7.0363253E-01
    3.6000   2.7884577E+01  -2.3545759E+00   7.3277485E-01
    3.7000   3.0327099E+01  -2.4116790E+00   7.5880438E-01
    3.8000   3.1932688E+01  -2.4578774E+00   7.7923036E-01
    3.9000   3.2685028E+01  -2.4916952E+00   7.9209638E-01
    4.0000   3.2579746E+01  -2.5124669E+00   7.9633027E-01
    4.1000   3.1624203E+01  -2.5203254E+00   7.9196930E-01
    4.2000   2.9847145E+01  -2.5163155E+00   7.8022653E-01
    4.3000   2.7302055E+01  -2.5023625E+00   7.6321411E-01
    4.4000   2.4065283E+01  -2.4810905E+00   7.4345440E-01
    4.5000   2.0233011E+01  -2.4555514E+00   7.2340775E-01
    4.6000   1.5918290E+01  -2.4289026E+00   7.0515114E-01
    4.7000   1.1247482E+01  -2.4040432E+00   6.9022393E-01
    4.8000   6.3560305E+00  -2.3832574E+00   6.7959952E-01
    4.9000   1.3839482E+00  -2.3679342E+00   6.7372501E-01
    5.0000  -3.5289307E+00  -2.3584092E+00   6.7257792E-01
    5.1000  -8.2483110E+00  -2.3539686E+00   6.7571473E-01
    5.2000  -1.2650027E+01  -2.3530068E+00   6.8230897E-01
    5.3000  -1.6623789E+01  -2.3533006E+00   6.9118994E-01
    5.4000  -2.0075794E+01  -2.3523371E+00   7.0090264E-01
    5.5000  -2.2929842E+01  -2.3476319E+00   7.0981026E-01
    5.6000  -2.5126860E+01  -2.3369849E+00   7.1624976E-01
    5.7000  -2.6623497E+01  -2.3186617E+00   7.1873337E-01
    5.8000  -2.7390476E+01  -2.2915027E+00   7.1616709E-01
    5.9000  -2.7412104E+01  -2.2549989E+00   7.0804393E-01
    6.0000  -2.6691711E+01  -2.2094014E+00   6.9458508E-01
    6.1000  -2.5254826E+01  -2.1557519E+00   6.7671520E-01
    6.2000  -2.3147976E+01  -2.0957947E+00   6.5585893E-01
    6.3000  -2.0436720E+01  -2.0318117E+00   6.3365746E-01
    6.4000  -1.7203060E+01  -1.9664038E+00   6.1169910E-01
    6.5000  -1.3542423E+01  -1.9022292E+00   5.9132594E-01
    6.6000  -9.5606194E+00  -1.8417320E+00   5.7353461E-01
    6.7000  -5.3704786E+00  -1.7868875E+00   5.5895317E-01
    6.8000  -1.0883890E+00  -1.7390034E+00   5.4786342E-01
    6.9000   3.1692581E+00  -1.6986051E+00   5.4024142E-01
