      Time         Node0px         Node0py         Node0pz         Node1px         Node1py         Node1pz         Node2px         Node2py         Node2pz         Node3px         Node3py         Node3pz 
       (s)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m)             (m) 
    0.0010   2.6859407E-01   4.0131534E-19  -2.0011323E+01   2.2228276E-01  -7.3031740E-21  -1.6678311E+01   1.7597145E-01  -4.1592169E-19  -1.3345300E+01   1.2966015E-01  -8.2454016E-19  -1.0012288E+01
    0.0020   2.6850567E-01   4.0323079E-19  -2.0011256E+01   2.2222007E-01  -7.9944439E-21  -1.6678244E+01   1.7593446E-01  -4.1921968E-19  -1.3345232E+01   1.2964885E-01  -8.3044488E-19  -1.0012220E+01
    0.0030   2.6823145E-01   4.0503501E-19  -2.0011056E+01   2.2204524E-01  -8.6772625E-21  -1.6678043E+01   1.7585904E-01  -4.2238953E-19  -1.3345029E+01   1.2967283E-01  -8.3610176E-19  -1.0012016E+01
    0.0040   2.6777125E-01   4.0669705E-19  -2.0010729E+01   2.2175822E-01  -9.3332344E-21  -1.6677713E+01   1.7574519E-01  -4.2536352E-19  -1.3344697E+01   1.2973216E-01  -8.4139376E-19  -1.0011681E+01
    0.0050   2.6712492E-01   4.0818616E-19  -2.0010280E+01   2.2135893E-01  -9.9437095E-21  -1.6677261E+01   1.7559293E-01  -4.2807358E-19  -1.3344242E+01   1.2982694E-01  -8.4620342E-19  -1.0011223E+01
    0.0060   2.6629240E-01   4.0947178E-19  -2.0009721E+01   2.2084736E-01  -1.0489776E-20  -1.6676698E+01   1.7540232E-01  -4.3045134E-19  -1.3343674E+01   1.2995729E-01  -8.5041286E-19  -1.0010651E+01
    0.0070   2.6527383E-01   4.1052354E-19  -2.0009064E+01   2.2022365E-01  -1.0952266E-20  -1.6676035E+01   1.7517347E-01  -4.3242807E-19  -1.3343006E+01   1.3012330E-01  -8.5390384E-19  -1.0009977E+01
    0.0080   2.6406975E-01   4.1131130E-19  -2.0008321E+01   2.1948817E-01  -1.1311779E-20  -1.6675286E+01   1.7490658E-01  -4.3393486E-19  -1.3342251E+01   1.3032499E-01  -8.5655791E-19  -1.0009216E+01
    0.0090   2.6268127E-01   4.1180525E-19  -2.0007510E+01   2.1864162E-01  -1.1548725E-20  -1.6674468E+01   1.7460197E-01  -4.3490270E-19  -1.3341425E+01   1.3056232E-01  -8.5825663E-19  -1.0008383E+01
    0.0100   2.6111021E-01   4.1197594E-19  -2.0006646E+01   2.1768516E-01  -1.1643388E-20  -1.6673596E+01   1.7426012E-01  -4.3526271E-19  -1.3340545E+01   1.3083508E-01  -8.5888200E-19  -1.0007495E+01
    0.0110   2.5935932E-01   4.1179445E-19  -2.0005747E+01   2.1662051E-01  -1.1576015E-20  -1.6672687E+01   1.7388171E-01  -4.3494648E-19  -1.3339628E+01   1.3114291E-01  -8.5831690E-19  -1.0006569E+01
    0.0120   2.5743241E-01   4.1123251E-19  -2.0004828E+01   2.1545001E-01  -1.1326931E-20  -1.6671759E+01   1.7346762E-01  -4.3388638E-19  -1.3338690E+01   1.3148522E-01  -8.5644578E-19  -1.0005622E+01
    0.0130   2.5533445E-01   4.1026270E-19  -2.0003908E+01   2.1417671E-01  -1.0876668E-20  -1.6670829E+01   1.7301897E-01  -4.3201604E-19  -1.3337749E+01   1.3186123E-01  -8.5315537E-19  -1.0004670E+01
    0.0140   2.5307167E-01   4.0885859E-19  -2.0003001E+01   2.1280440E-01  -1.0206119E-20  -1.6669910E+01   1.7253713E-01  -4.2927083E-19  -1.3336820E+01   1.3226986E-01  -8.4833551E-19  -1.0003730E+01
    0.0150   2.5065161E-01   4.0699500E-19  -2.0002121E+01   2.1133767E-01  -9.2967052E-21  -1.6669019E+01   1.7202374E-01  -4.2558841E-19  -1.3335918E+01   1.3270981E-01  -8.4188007E-19  -1.0002817E+01
    0.0160   2.4808305E-01   4.0464815E-19  -2.0001282E+01   2.0978186E-01  -8.1305482E-21  -1.6668169E+01   1.7148068E-01  -4.2090925E-19  -1.3335055E+01   1.3317950E-01  -8.3368791E-19  -1.0001942E+01
    0.0170   2.4537602E-01   4.0179592E-19  -2.0000495E+01   2.0814305E-01  -6.6906457E-21  -1.6667370E+01   1.7091007E-01  -4.1517721E-19  -1.3334244E+01   1.3367709E-01  -8.2366374E-19  -1.0001119E+01
    0.0180   2.4254166E-01   3.9841799E-19  -1.9999769E+01   2.0642795E-01  -4.9610411E-21  -1.6666631E+01   1.7031425E-01  -4.0834007E-19  -1.3333493E+01   1.3420054E-01  -8.1171906E-19  -1.0000356E+01
    0.0190   2.3959205E-01   3.9449602E-19  -1.9999111E+01   2.0464389E-01  -2.9269802E-21  -1.6665960E+01   1.6969574E-01  -4.0034998E-19  -1.3332810E+01   1.3474759E-01  -7.9777295E-19  -9.9996603E+00
    0.0200   2.3654003E-01   3.9001379E-19  -1.9998526E+01   2.0279862E-01  -5.7504864E-22  -1.6665363E+01   1.6905721E-01  -3.9116389E-19  -1.3332200E+01   1.3531580E-01  -7.8175269E-19  -9.9990381E+00
    0.0210   2.3339899E-01   3.8495717E-19  -1.9998017E+01   2.0090020E-01   2.1067185E-21  -1.6664842E+01   1.6840142E-01  -3.8074373E-19  -1.3331667E+01   1.3590264E-01  -7.6359414E-19  -9.9984921E+00
    0.0220   2.3018255E-01   3.7931202E-19  -1.9997573E+01   1.9895677E-01   5.1288208E-21  -1.6664386E+01   1.6773100E-01  -3.6905438E-19  -1.3331199E+01   1.3650523E-01  -7.4323754E-19  -9.9980118E+00
    0.0230   2.2690425E-01   3.7306708E-19  -1.9997184E+01   1.9697641E-01   8.5001322E-21  -1.6663985E+01   1.6704858E-01  -3.5606682E-19  -1.3330786E+01   1.3712074E-01  -7.2063373E-19  -9.9975875E+00
    0.0240   2.2357713E-01   3.6621365E-19  -1.9996842E+01   1.9496691E-01   1.2227916E-20  -1.6663631E+01   1.6635669E-01  -3.4175782E-19  -1.3330420E+01   1.3774647E-01  -6.9574352E-19  -9.9972099E+00
    0.0250   2.2021341E-01   3.5874540E-19  -1.9996536E+01   1.9293557E-01   1.6317885E-20  -1.6663314E+01   1.6565772E-01  -3.2610963E-19  -1.3330092E+01   1.3837988E-01  -6.6853711E-19  -9.9968704E+00
    0.0260   2.1682421E-01   3.5065815E-19  -1.9996258E+01   1.9088902E-01   2.0774302E-20  -1.6663026E+01   1.6495384E-01  -3.0910954E-19  -1.3329793E+01   1.3901865E-01  -6.3899336E-19  -9.9965609E+00
    0.0270   2.1341932E-01   3.4194959E-19  -1.9996002E+01   1.8883314E-01   2.5600118E-20  -1.6662760E+01   1.6424695E-01  -2.9074935E-19  -1.3329517E+01   1.3966077E-01  -6.0709879E-19  -9.9962744E+00
    0.0280   2.1000710E-01   3.3261898E-19  -1.9995762E+01   1.8677291E-01   3.0797136E-20  -1.6662509E+01   1.6353871E-01  -2.7102471E-19  -1.3329257E+01   1.4030452E-01  -5.7284652E-19  -9.9960049E+00
    0.0290   2.0659440E-01   3.2266685E-19  -1.9995532E+01   1.8471243E-01   3.6366189E-20  -1.6662270E+01   1.6283045E-01  -2.4993447E-19  -1.3329009E+01   1.4094848E-01  -5.3623511E-19  -9.9957474E+00
    0.0300   2.0318579E-01   3.1209463E-19  -1.9995309E+01   1.8265444E-01   4.2307306E-20  -1.6662039E+01   1.6212308E-01  -2.2748002E-19  -1.3328768E+01   1.4159172E-01  -4.9726732E-19  -9.9954986E+00
