
These predictions were generated by MoorDyn (v2.2.22024-01-16) on 09-Aug-2024 at 15:53:23.

 
 
 
      Time       LINE2NBPZ       LINE2NBPX       LINE3NBPZ       LINE3NBPX
       (s)             (m)             (m)             (m)             (m)
    0.0010  -2.0011322E+01   2.6859406E-01  -2.0011324E+01   2.6859182E-01
    0.0020  -2.0011255E+01   2.6850566E-01  -2.0011513E+01   2.6872212E-01
    0.0030  -2.0011057E+01   2.6823145E-01  -2.0012077E+01   2.6910082E-01
    0.0040  -2.0010729E+01   2.6777124E-01  -2.0012997E+01   2.6971304E-01
    0.0050  -2.0010281E+01   2.6712492E-01  -2.0014233E+01   2.7053517E-01
    0.0060  -2.0009722E+01   2.6629239E-01  -2.0015743E+01   2.7153638E-01
    0.0070  -2.0009064E+01   2.6527384E-01  -2.0017471E+01   2.7268025E-01
    0.0080  -2.0008322E+01   2.6406977E-01  -2.0019360E+01   2.7392700E-01
    0.0090  -2.0007511E+01   2.6268128E-01  -2.0021349E+01   2.7523571E-01
    0.0100  -2.0006647E+01   2.6111022E-01  -2.0023378E+01   2.7656633E-01
    0.0110  -2.0005747E+01   2.5935933E-01  -2.0025402E+01   2.7788687E-01
    0.0120  -2.0004829E+01   2.5743240E-01  -2.0027426E+01   2.7920321E-01
    0.0130  -2.0003908E+01   2.5533444E-01  -2.0029453E+01   2.8051552E-01
    0.0140  -2.0003000E+01   2.5307167E-01  -2.0031483E+01   2.8182402E-01
    0.0150  -2.0002121E+01   2.5065160E-01  -2.0033516E+01   2.8312883E-01
    0.0160  -2.0001282E+01   2.4808306E-01  -2.0035551E+01   2.8443009E-01
    0.0170  -2.0000496E+01   2.4537602E-01  -2.0037590E+01   2.8572792E-01
    0.0180  -1.9999769E+01   2.4254166E-01  -2.0039631E+01   2.8702238E-01
    0.0190  -1.9999111E+01   2.3959205E-01  -2.0041677E+01   2.8831354E-01
    0.0200  -1.9998526E+01   2.3654002E-01  -2.0043726E+01   2.8960142E-01
    0.0210  -1.9998016E+01   2.3339899E-01  -2.0045778E+01   2.9088604E-01
    0.0220  -1.9997574E+01   2.3018254E-01  -2.0047832E+01   2.9216740E-01
    0.0230  -1.9997185E+01   2.2690424E-01  -2.0049892E+01   2.9344550E-01
    0.0240  -1.9996841E+01   2.2357713E-01  -2.0051954E+01   2.9472035E-01
    0.0250  -1.9996536E+01   2.2021341E-01  -2.0054020E+01   2.9599193E-01
    0.0260  -1.9996258E+01   2.1682420E-01  -2.0056089E+01   2.9726025E-01
    0.0270  -1.9996002E+01   2.1341932E-01  -2.0058163E+01   2.9852536E-01
    0.0280  -1.9995762E+01   2.1000710E-01  -2.0060238E+01   2.9978719E-01
    0.0290  -1.9995531E+01   2.0659439E-01  -2.0062319E+01   3.0104578E-01
    0.0300  -1.9995310E+01   2.0318580E-01  -2.0064402E+01   3.0230114E-01
    0.0310  -1.9995094E+01   1.9978012E-01  -2.0066486E+01   3.0355325E-01
    0.0320  -1.9994886E+01   1.9637731E-01  -2.0068577E+01   3.0480212E-01
    0.0330  -1.9994688E+01   1.9297732E-01  -2.0070671E+01   3.0604777E-01
    0.0340  -1.9994495E+01   1.8958013E-01  -2.0072767E+01   3.0729020E-01
    0.0350  -1.9994312E+01   1.8618573E-01  -2.0074867E+01   3.0852938E-01
    0.0360  -1.9994137E+01   1.8279409E-01  -2.0076971E+01   3.0976534E-01
    0.0370  -1.9993969E+01   1.7940523E-01  -2.0079079E+01   3.1099808E-01
    0.0380  -1.9993809E+01   1.7601912E-01  -2.0081188E+01   3.1222758E-01
    0.0390  -1.9993658E+01   1.7263579E-01  -2.0083303E+01   3.1345388E-01
    0.0400  -1.9993513E+01   1.6925523E-01  -2.0085421E+01   3.1467697E-01
    0.0410  -1.9993378E+01   1.6587742E-01  -2.0087542E+01   3.1589684E-01
    0.0420  -1.9993248E+01   1.6250238E-01  -2.0089666E+01   3.1711352E-01
    0.0430  -1.9993128E+01   1.5913008E-01  -2.0091795E+01   3.1832698E-01
    0.0440  -1.9993015E+01   1.5576056E-01  -2.0093925E+01   3.1953722E-01
    0.0450  -1.9992910E+01   1.5239377E-01  -2.0096062E+01   3.2074428E-01
