
These predictions were generated by MoorDyn (v2.2.22024-01-16) on 25-Jun-2024 at 17:35:59.

 
 
 
      Time        ROD1NBPX        ROD1NBPY        ROD1NBPZ          ROD1RX          ROD1RY
       (s)             (m)             (m)             (m)           (deg)           (deg)
    0.1000   9.2268638E+00   0.0000000E+00  -8.8615391E+00  -0.0000000E+00   1.1270982E+02
    0.2000   9.1869184E+00   0.0000000E+00  -8.9556327E+00  -0.0000000E+00   1.1329537E+02
    0.3000   9.1185879E+00   0.0000000E+00  -9.1107000E+00  -0.0000000E+00   1.1426606E+02
    0.4000   9.0193593E+00   0.0000000E+00  -9.3240789E+00  -0.0000000E+00   1.1561408E+02
    0.5000   8.8859497E+00   0.0000000E+00  -9.5919927E+00  -0.0000000E+00   1.1732857E+02
    0.6000   8.7145338E+00   0.0000000E+00  -9.9095215E+00  -0.0000000E+00   1.1939568E+02
    0.7000   8.5010218E+00   0.0000000E+00  -1.0270591E+01  -0.0000000E+00   1.2179870E+02
    0.8000   8.2413785E+00   0.0000000E+00  -1.0667996E+01  -0.0000000E+00   1.2451819E+02
    0.9000   7.9319637E+00   0.0000000E+00  -1.1093476E+01  -0.0000000E+00   1.2753211E+02
    1.0000   7.5698772E+00   0.0000000E+00  -1.1537848E+01  -0.0000000E+00   1.3081607E+02
    1.1000   7.1532823E+00   0.0000000E+00  -1.1991213E+01  -0.0000000E+00   1.3434353E+02
    1.2000   6.6816835E+00   0.0000000E+00  -1.2443226E+01  -0.0000000E+00   1.3808610E+02
    1.3000   6.1561350E+00   0.0000000E+00  -1.2883432E+01  -0.0000000E+00   1.4201389E+02
    1.4000   5.5793585E+00   0.0000000E+00  -1.3301642E+01  -0.0000000E+00   1.4609578E+02
    1.5000   4.9557565E+00   0.0000000E+00  -1.3688324E+01  -0.0000000E+00   1.5029988E+02
    1.6000   4.2913166E+00   0.0000000E+00  -1.4034993E+01  -0.0000000E+00   1.5459386E+02
    1.7000   3.5934110E+00   0.0000000E+00  -1.4334554E+01  -0.0000000E+00   1.5894539E+02
    1.8000   2.8705064E+00   0.0000000E+00  -1.4581581E+01  -0.0000000E+00   1.6332253E+02
    1.9000   2.1318093E+00   0.0000000E+00  -1.4772507E+01  -0.0000000E+00   1.6769408E+02
    2.0000   1.3868739E+00   0.0000000E+00  -1.4905710E+01  -0.0000000E+00   1.7202997E+02
    2.1000   6.4520653E-01   0.0000000E+00  -1.4981493E+01  -0.0000000E+00   1.7630153E+02
    2.2000  -8.4104176E-02   1.3398053E-23  -1.5001971E+01  -2.1984642E-14  -1.7951822E+02
    2.3000  -7.9270567E-01  -1.2196389E-22  -1.4970863E+01   2.1486969E-14  -1.7545442E+02
    2.4000  -1.4732299E+00   2.5586569E-22  -1.4893235E+01  -2.1006386E-14  -1.7153016E+02
    2.5000  -2.1194616E+00  -2.9422535E-22  -1.4775192E+01   2.0545466E-14  -1.6776646E+02
    2.6000  -2.7264250E+00   4.3950621E-22  -1.4623570E+01  -2.0106521E-14  -1.6418220E+02
    2.7000  -3.2903931E+00  -6.5533367E-22  -1.4445624E+01   1.9691606E-14  -1.6079416E+02
    2.8000  -3.8088310E+00   7.6945185E-22  -1.4248746E+01  -1.9302527E-14  -1.5761709E+02
    2.9000  -4.2802866E+00  -6.2745077E-22  -1.4040224E+01   1.8940851E-14  -1.5466379E+02
    3.0000  -4.7042438E+00   7.9157102E-22  -1.3827037E+01  -1.8607927E-14  -1.5194525E+02
    3.1000  -5.0809528E+00  -8.2735910E-22  -1.3615708E+01   1.8304896E-14  -1.4947081E+02
    3.2000  -5.4112513E+00   8.1800685E-22  -1.3412185E+01  -1.8032716E-14  -1.4724830E+02
    3.3000  -5.6963864E+00  -9.5765110E-22  -1.3221781E+01   1.7792183E-14  -1.4528420E+02
    3.4000  -5.9378469E+00   8.4604387E-22  -1.3049129E+01  -1.7583942E-14  -1.4358378E+02
    3.5000  -6.1372109E+00  -1.0328711E-21  -1.2898173E+01   1.7408513E-14  -1.4215130E+02
    3.6000  -6.2960127E+00   8.7339853E-22  -1.2772176E+01  -1.7266305E-14  -1.4099008E+02
    3.7000  -6.4156316E+00  -1.0670997E-21  -1.2673733E+01   1.7157627E-14  -1.4010266E+02
    3.8000  -6.4972017E+00   8.9680149E-22  -1.2604793E+01  -1.7082705E-14  -1.3949087E+02
    3.9000  -6.5415453E+00  -1.0728342E-21  -1.2566683E+01   1.7041688E-14  -1.3915594E+02
    4.0000  -6.5491261E+00   9.1109485E-22  -1.2560122E+01  -1.7034655E-14  -1.3909852E+02
    4.1000  -6.5200558E+00  -1.0606055E-21  -1.2585207E+01   1.7061591E-14  -1.3931846E+02
    4.2000  -6.4542463E+00   9.0874673E-22  -1.2641283E+01  -1.7122244E-14  -1.3981373E+02
    4.3000  -6.3515143E+00  -1.0386512E-21  -1.2726886E+01   1.7216052E-14  -1.4057973E+02
    4.4000  -6.2116352E+00   8.8006188E-22  -1.2839776E+01  -1.7342150E-14  -1.4160940E+02
    4.5000  -6.0344180E+00  -1.0132154E-21  -1.2976986E+01   1.7499380E-14  -1.4289328E+02
    4.6000  -5.8197973E+00   8.1418639E-22  -1.3134891E+01  -1.7686303E-14  -1.4441962E+02
    4.7000  -5.5679373E+00  -9.8879281E-22  -1.3309307E+01   1.7901222E-14  -1.4617457E+02
    4.8000  -5.2793370E+00   7.0048537E-22  -1.3495593E+01  -1.8142203E-14  -1.4814233E+02
    4.9000  -4.9549297E+00  -9.6867492E-22  -1.3688796E+01   1.8407095E-14  -1.5030533E+02
    5.0000  -4.5961658E+00   1.0319151E-20  -1.3883792E+01  -1.8693563E-14  -1.5264452E+02
    5.1000  -4.2050736E+00  -2.6858289E-20  -1.4075454E+01   1.8999115E-14  -1.5513955E+02
    5.2000  -3.7842890E+00  -6.3047069E-21  -1.4258815E+01   1.9321136E-14  -1.5776905E+02
    5.3000  -3.3370530E+00  -1.8052970E-20  -1.4429241E+01   1.9656914E-14  -1.6051089E+02
    5.4000  -2.8671727E+00   5.2042259E-20  -1.4582579E+01  -2.0003682E-14  -1.6334246E+02
    5.5000  -2.3789504E+00   5.4485457E-20  -1.4715302E+01  -2.0358642E-14  -1.6624092E+02
    5.6000  -1.8770830E+00   6.0917064E-20  -1.4824615E+01  -2.0719000E-14  -1.6918347E+02
    5.7000  -1.3665395E+00   4.6157357E-20  -1.4908535E+01  -2.1081997E-14  -1.7214757E+02
    5.8000  -8.5242405E-01  -8.1102098E-20  -1.4965936E+01   2.1444934E-14  -1.7511118E+02
    5.9000  -3.3983574E-01   8.9939976E-20  -1.4996550E+01  -2.1805199E-14  -1.7805296E+02
    6.0000   1.6626840E-01   1.3356119E-19  -1.5000943E+01  -1.4382650E-16   1.7904753E+02
    6.1000   6.6119693E-01   1.5424823E-19  -1.4980447E+01  -4.1107330E-17   1.7620974E+02
    6.2000   1.1406282E+00   1.7359480E-19  -1.4937075E+01  -2.6398048E-17   1.7345196E+02
    6.3000   1.6006906E+00   1.9146356E-19  -1.4873413E+01  -2.0428871E-17   1.7079125E+02
    6.4000   2.0380159E+00   2.0774413E-19  -1.4792497E+01  -1.7149809E-17   1.6824342E+02
    6.5000   2.4497660E+00   2.2235250E-19  -1.4697688E+01  -1.5050882E-17   1.6582291E+02
    6.6000   2.8336341E+00   2.3522934E-19  -1.4592550E+01  -1.3576236E-17   1.6354289E+02
    6.7000   3.1878232E+00   2.4633739E-19  -1.4480732E+01  -1.2473275E-17   1.6141518E+02
    6.8000   3.5110063E+00   2.5565831E-19  -1.4365860E+01  -1.1610576E-17   1.5945034E+02
    6.9000   3.8022725E+00   2.6318908E-19  -1.4251444E+01  -1.0912892E-17   1.5765771E+02
    7.0000   4.0610635E+00   2.6893830E-19  -1.4140802E+01  -1.0333893E-17   1.5604544E+02
    7.1000   4.2871055E+00   2.7292258E-19  -1.4036992E+01  -9.8433414E-18   1.5462056E+02
    7.2000   4.4803396E+00   2.7516305E-19  -1.3942766E+01  -9.4204918E-18   1.5338906E+02
    7.3000   4.6408554E+00   2.7568243E-19  -1.3860528E+01  -9.0504546E-18   1.5235592E+02
    7.4000   4.7688291E+00   2.7450239E-19  -1.3792313E+01  -8.7220637E-18   1.5152521E+02
    7.5000   4.8644699E+00   2.7164159E-19  -1.3739762E+01  -8.4265589E-18   1.5090009E+02
    7.6000   4.9279748E+00   2.6711432E-19  -1.3704112E+01  -8.1567268E-18   1.5048292E+02
    7.7000   4.9594941E+00   2.6092966E-19  -1.3686191E+01  -7.9063032E-18   1.5027523E+02
    7.8000   4.9591091E+00   2.5309192E-19  -1.3686411E+01  -7.6695408E-18   1.5027777E+02
    7.9000   4.9268560E+00   2.4361317E-19  -1.3704745E+01  -7.4411382E-18   1.5049029E+02
    8.0000   4.8628330E+00   2.3251948E-19  -1.3740672E+01  -7.2158979E-18   1.5091083E+02
    8.1000   4.7672462E+00   2.1984436E-19  -1.3793171E+01  -6.9881498E-18   1.5153552E+02
    8.2000   4.6404316E+00   2.0563039E-19  -1.3860750E+01  -6.7514347E-18   1.5235866E+02
    8.3000   4.4828858E+00   1.8993136E-19  -1.3941490E+01  -6.4981121E-18   1.5337274E+02
    8.4000   4.2953008E+00   1.7281460E-19  -1.4033100E+01  -6.2188217E-18   1.5456859E+02
    8.5000   4.0786020E+00   1.5436304E-19  -1.4132990E+01  -5.9016967E-18   1.5593546E+02
    8.6000   3.8339835E+00   1.3467692E-19  -1.4238348E+01  -5.5311629E-18   1.5746118E+02
    8.7000   3.5629378E+00   1.1387491E-19  -1.4346228E+01  -5.0860215E-18   1.5913232E+02
    8.8000   3.2672764E+00   9.2094461E-20  -1.4453645E+01  -4.5362432E-18   1.6093433E+02
    8.9000   2.9491381E+00   6.9491320E-20  -1.4557671E+01  -3.8373185E-18   1.6285174E+02
    9.0000   2.6109836E+00   4.6238096E-20  -1.4655530E+01  -2.9196656E-18   1.6486836E+02
    9.1000   2.2555740E+00   2.2521988E-20  -1.4744685E+01  -1.6671758E-18   1.6696743E+02
    9.2000   1.8859363E+00  -1.4583082E-21  -1.4822919E+01   1.3078191E-19   1.6913184E+02
    9.3000   1.5053138E+00  -2.5496313E-20  -1.4888404E+01   2.9021510E-18   1.7134431E+02
    9.4000   1.1171072E+00  -4.9381920E-20  -1.4939747E+01   7.6734688E-18   1.7358756E+02
    9.5000   7.2480674E-01  -7.2905746E-20  -1.4976029E+01   1.7687575E-17   1.7584449E+02
    9.6000   3.3192200E-01  -9.5863444E-20  -1.4996816E+01   5.1437139E-17   1.7809832E+02
    9.7000  -5.8089503E-02  -1.1788288E-19  -1.5002156E+01   2.2002892E-14  -1.7966725E+02
    9.8000  -4.4188900E-01  -5.6375816E-20  -1.4992559E+01   2.1733553E-14  -1.7746793E+02
    9.9000  -8.1631618E-01   6.0608535E-20  -1.4968958E+01  -2.1470353E-14  -1.7531873E+02
   10.0000  -1.1784390E+00  -1.4984870E-20  -1.4932662E+01   2.1215034E-14  -1.7323390E+02
   10.1000  -1.5255920E+00  -5.5805736E-20  -1.4885296E+01   2.0969234E-14  -1.7122679E+02
   10.2000  -1.8554015E+00  -4.4607077E-20  -1.4828733E+01   2.0734481E-14  -1.6930989E+02
   10.3000  -2.1657987E+00  -4.6582769E-20  -1.4765030E+01   2.0512188E-14  -1.6749472E+02
   10.4000  -2.4550202E+00  -4.8828338E-20  -1.4696359E+01   2.0303648E-14  -1.6579187E+02
   10.5000  -2.7215986E+00   1.1157819E-21  -1.4624936E+01  -2.0110040E-14  -1.6421094E+02
   10.6000  -2.9643428E+00   4.8258555E-20  -1.4552967E+01  -1.9932421E-14  -1.6276057E+02
   10.7000  -3.1823130E+00  -2.9656545E-20  -1.4482583E+01   1.9771736E-14  -1.6144847E+02
   10.8000  -3.3747897E+00   2.6140832E-20  -1.4415800E+01  -1.9628813E-14  -1.6028142E+02
   10.9000  -3.5412404E+00  -2.1766078E-20  -1.4354470E+01   1.9504371E-14  -1.5926527E+02
   11.0000  -3.6812862E+00   3.3318514E-20  -1.4300249E+01  -1.9399020E-14  -1.5840502E+02
   11.1000  -3.7946690E+00  -3.3583851E-20  -1.4254566E+01   1.9313267E-14  -1.5770480E+02
   11.2000  -3.8812216E+00   1.9047865E-20  -1.4218602E+01  -1.9247517E-14  -1.5716790E+02
   11.3000  -3.9408425E+00   2.0196854E-20  -1.4193273E+01  -1.9202074E-14  -1.5679684E+02
   11.4000  -3.9734748E+00  -3.2454007E-20  -1.4179216E+01   1.9177149E-14  -1.5659330E+02
   11.5000  -3.9790923E+00   4.3618604E-20  -1.4176782E+01  -1.9172854E-14  -1.5655824E+02
   11.6000  -3.9577046E+00  -3.7692913E-20  -1.4186026E+01   1.9189199E-14  -1.5669170E+02
   11.7000  -3.9094251E+00   3.1170404E-20  -1.4206677E+01  -1.9226036E-14  -1.5699250E+02
   11.8000  -3.8345114E+00   1.0783700E-20  -1.4238129E+01  -1.9283033E-14  -1.5745791E+02
   11.9000  -3.7333747E+00  -4.3212829E-20  -1.4279462E+01   1.9359678E-14  -1.5808376E+02
   12.0000  -3.6065916E+00   4.8900838E-20  -1.4329469E+01  -1.9455286E-14  -1.5886447E+02
   12.1000  -3.4549182E+00   4.0883254E-21  -1.4386695E+01  -1.9569009E-14  -1.5979308E+02
   12.2000  -3.2793045E+00  -6.4190432E-20  -1.4449479E+01   1.9699841E-14  -1.6086141E+02
   12.3000  -3.0809070E+00  -5.0954820E-20  -1.4516013E+01   1.9846639E-14  -1.6206011E+02
   12.4000  -2.8610986E+00  -3.7676300E-21  -1.4584394E+01   2.0008129E-14  -1.6337877E+02
   12.5000  -2.6214731E+00   1.5345419E-20  -1.4652688E+01  -2.0182927E-14  -1.6480610E+02
   12.6000  -2.3638432E+00  -8.0519267E-21  -1.4718989E+01   2.0369550E-14  -1.6633000E+02
   12.7000  -2.0902311E+00  -7.9895330E-20  -1.4781484E+01   2.0566441E-14  -1.6793774E+02
   12.8000  -1.8028518E+00  -5.3302145E-20  -1.4838507E+01   2.0771978E-14  -1.6961607E+02
   12.9000  -1.5040876E+00   9.7643318E-20  -1.4888590E+01  -2.0984496E-14  -1.7135141E+02
   13.0000  -1.1964566E+00  -8.4738150E-20  -1.4930508E+01   2.1202304E-14  -1.7312995E+02
   13.1000  -8.8257539E-01   8.8332520E-20  -1.4963311E+01  -2.1423703E-14  -1.7493781E+02
   13.2000  -5.6511698E-01  -1.3336847E-19  -1.4986348E+01   2.1646997E-14  -1.7676115E+02
   13.3000  -2.4676749E-01   5.6060012E-20  -1.4999280E+01  -2.1870515E-14  -1.7858631E+02
   13.4000   6.9817811E-02   2.4257974E-19  -1.5002081E+01  -6.2401464E-16   1.7960006E+02
   13.5000   3.8205631E-01   4.0373538E-19  -1.4995025E+01  -1.8790050E-16   1.7781095E+02
   13.6000   6.8747616E-01   5.5942524E-19  -1.4978671E+01  -1.4326572E-16   1.7605886E+02
   13.7000   9.8374911E-01   7.0850308E-19  -1.4953830E+01  -1.2557222E-16   1.7435572E+02
   13.8000   1.2687170E+00   8.4992857E-19  -1.4921535E+01  -1.1570239E-16   1.7271285E+02
   13.9000   1.5404110E+00   9.8277492E-19  -1.4882997E+01  -1.0918708E-16   1.7114089E+02
   14.0000   1.7970641E+00   1.1062327E-18  -1.4839566E+01  -1.0443263E-16   1.6964977E+02
   14.1000   2.0371157E+00   1.2196101E-18  -1.4792684E+01  -1.0072957E-16   1.6824868E+02
   14.2000   2.2592105E+00   1.3223294E-18  -1.4743843E+01  -9.7714514E-17   1.6694604E+02
   14.3000   2.4621912E+00   1.4139213E-18  -1.4694540E+01  -9.5182181E-17   1.6574949E+02
   14.4000   2.6450867E+00   1.4940168E-18  -1.4646244E+01  -9.3007765E-17   1.6466589E+02
   14.5000   2.8070968E+00   1.5623375E-18  -1.4600349E+01  -9.1110758E-17   1.6370133E+02
   14.6000   2.9475751E+00   1.6186854E-18  -1.4558154E+01  -8.9436534E-17   1.6286111E+02
   14.7000   3.0660103E+00   1.6629323E-18  -1.4520824E+01  -8.7946251E-17   1.6214978E+02
   14.8000   3.1620082E+00   1.6950099E-18  -1.4489373E+01  -8.6610982E-17   1.6157112E+02
   14.9000   3.2352749E+00   1.7149001E-18  -1.4464645E+01  -8.5408110E-17   1.6112817E+02
   15.0000   3.2856017E+00   1.7226282E-18  -1.4447292E+01  -8.4318995E-17   1.6082323E+02
   15.1000   3.3128532E+00   1.7182560E-18  -1.4437770E+01  -8.3327371E-17   1.6065787E+02
   15.2000   3.3169591E+00   1.7018782E-18  -1.4436328E+01  -8.2418172E-17   1.6063294E+02
   15.3000   3.2979196E+00   1.6736383E-18  -1.4442999E+01  -8.1577141E-17   1.6074850E+02
   15.4000   3.2558554E+00   1.6337612E-18  -1.4457585E+01  -8.0790234E-17   1.6100353E+02
   15.5000   3.1910332E+00   1.5825476E-18  -1.4479652E+01  -8.0041940E-17   1.6139578E+02
   15.6000   3.1038709E+00   1.5203736E-18  -1.4508548E+01  -7.9314383E-17   1.6192179E+02
   15.7000   2.9949418E+00   1.4476921E-18  -1.4543418E+01  -7.8586293E-17   1.6257696E+02
   15.8000   2.8649804E+00   1.3650342E-18  -1.4583235E+01  -7.7831574E-17   1.6335557E+02
   15.9000   2.7148875E+00   1.2730103E-18  -1.4626832E+01  -7.7017213E-17   1.6425088E+02
   16.0000   2.5457340E+00   1.1723108E-18  -1.4672938E+01  -7.6100039E-17   1.6525520E+02
   16.1000   2.3587617E+00   1.0637045E-18  -1.4720223E+01  -7.5021497E-17   1.6635996E+02
   16.2000   2.1553817E+00   9.4803604E-19  -1.4767335E+01  -7.3698765E-17   1.6755584E+02
   16.3000   1.9371680E+00   8.2622091E-19  -1.4812945E+01  -7.2008848E-17   1.6883286E+02
   16.4000   1.7058469E+00   6.9923829E-19  -1.4855789E+01  -6.9758146E-17   1.7018049E+02
   16.5000   1.4632815E+00   5.6812157E-19  -1.4894711E+01  -6.6619248E-17   1.7158777E+02
   16.6000   1.2114523E+00   4.3394683E-19  -1.4928690E+01  -6.1984814E-17   1.7304342E+02
