
These predictions were generated by MoorDyn (v2.3.82025-02-27) on 13-Apr-2026 at 09:08:13.

 
 
 
      Time        FAIRTEN1       LINE1NAPX
       (s)             (N)             (m)
    0.0000   4.2596977E+05   1.0137443E+00
    0.0100   4.2597003E+05   1.0137443E+00
    0.0200   4.2611157E+05   1.0137451E+00
    0.0300   4.2626880E+05   1.0137461E+00
    0.0400   4.2644073E+05   1.0137472E+00
    0.0500   4.2662637E+05   1.0137483E+00
    0.0600   4.2682468E+05   1.0137495E+00
    0.0700   4.2703496E+05   1.0137508E+00
    0.0800   4.2725646E+05   1.0137521E+00
    0.0900   4.2748854E+05   1.0137536E+00
    0.1000   4.2773052E+05   1.0137550E+00
    0.1100   4.2798199E+05   1.0137566E+00
    0.1200   4.2824247E+05   1.0137582E+00
    0.1300   4.2851161E+05   1.0137598E+00
    0.1400   4.2878892E+05   1.0137615E+00
    0.1500   4.2907406E+05   1.0137633E+00
    0.1600   4.2936673E+05   1.0137651E+00
    0.1700   4.2966674E+05   1.0137669E+00
    0.1800   4.2997379E+05   1.0137688E+00
    0.1900   4.3028766E+05   1.0137707E+00
    0.2000   4.3060822E+05   1.0137727E+00
    0.2100   4.3093522E+05   1.0137747E+00
    0.2200   4.3126847E+05   1.0137767E+00
    0.2300   4.3160788E+05   1.0137788E+00
    0.2400   4.3195321E+05   1.0137809E+00
    0.2500   4.3230451E+05   1.0137831E+00
    0.2600   4.3266151E+05   1.0137852E+00
    0.2700   4.3302417E+05   1.0137875E+00
    0.2800   4.3339236E+05   1.0137897E+00
    0.2900   4.3376600E+05   1.0137920E+00
    0.3000   4.3414507E+05   1.0137943E+00
    0.3100   4.3452943E+05   1.0137967E+00
    0.3200   4.3491900E+05   1.0137991E+00
    0.3300   4.3531376E+05   1.0138015E+00
    0.3400   4.3571374E+05   1.0138039E+00
    0.3500   4.3611886E+05   1.0138064E+00
    0.3600   4.3652909E+05   1.0138089E+00
    0.3700   4.3694426E+05   1.0138115E+00
    0.3800   4.3736429E+05   1.0138141E+00
    0.3900   4.3778913E+05   1.0138167E+00
    0.4000   4.3821878E+05   1.0138193E+00
    0.4100   4.3865331E+05   1.0138220E+00
    0.4200   4.3909265E+05   1.0138247E+00
    0.4300   4.3953661E+05   1.0138274E+00
    0.4400   4.3998524E+05   1.0138301E+00
    0.4500   4.4043843E+05   1.0138329E+00
    0.4600   4.4089617E+05   1.0138357E+00
    0.4700   4.4135845E+05   1.0138386E+00
    0.4800   4.4182516E+05   1.0138414E+00
    0.4900   4.4229624E+05   1.0138443E+00
    0.5000   4.4277166E+05   1.0138472E+00
    0.5100   4.4325145E+05   1.0138502E+00
    0.5200   4.4373552E+05   1.0138531E+00
    0.5300   4.4422380E+05   1.0138561E+00
    0.5400   4.4471628E+05   1.0138592E+00
    0.5500   4.4521283E+05   1.0138622E+00
    0.5600   4.4571335E+05   1.0138653E+00
    0.5700   4.4621778E+05   1.0138684E+00
    0.5800   4.4672611E+05   1.0138715E+00
    0.5900   4.4723838E+05   1.0138746E+00
    0.6000   4.4775449E+05   1.0138778E+00
    0.6100   4.4827438E+05   1.0138810E+00
    0.6200   4.4879802E+05   1.0138842E+00
    0.6300   4.4932526E+05   1.0138874E+00
    0.6400   4.4985599E+05   1.0138907E+00
    0.6500   4.5039013E+05   1.0138940E+00
    0.6600   4.5092763E+05   1.0138973E+00
    0.6700   4.5146849E+05   1.0139006E+00
    0.6800   4.5201258E+05   1.0139039E+00
    0.6900   4.5255996E+05   1.0139073E+00
    0.7000   4.5311056E+05   1.0139107E+00
    0.7100   4.5366415E+05   1.0139141E+00
    0.7200   4.5422075E+05   1.0139175E+00
    0.7300   4.5478019E+05   1.0139209E+00
    0.7400   4.5534254E+05   1.0139244E+00
    0.7500   4.5590771E+05   1.0139278E+00
    0.7600   4.5647566E+05   1.0139313E+00
    0.7700   4.5704616E+05   1.0139348E+00
    0.7800   4.5761924E+05   1.0139383E+00
    0.7900   4.5819473E+05   1.0139419E+00
    0.8000   4.5877253E+05   1.0139454E+00
    0.8100   4.5935272E+05   1.0139490E+00
    0.8200   4.5993504E+05   1.0139526E+00
    0.8300   4.6051946E+05   1.0139562E+00
    0.8400   4.6110596E+05   1.0139598E+00
    0.8500   4.6169436E+05   1.0139634E+00
    0.8600   4.6228468E+05   1.0139670E+00
    0.8700   4.6287679E+05   1.0139706E+00
    0.8800   4.6347057E+05   1.0139743E+00
    0.8900   4.6406594E+05   1.0139779E+00
    0.9000   4.6466280E+05   1.0139816E+00
    0.9100   4.6526111E+05   1.0139853E+00
    0.9200   4.6586081E+05   1.0139890E+00
    0.9300   4.6646169E+05   1.0139927E+00
    0.9400   4.6706375E+05   1.0139964E+00
    0.9500   4.6766697E+05   1.0140001E+00
    0.9600   4.6827120E+05   1.0140038E+00
    0.9700   4.6887626E+05   1.0140075E+00
    0.9800   4.6948219E+05   1.0140112E+00
    0.9900   4.7008886E+05   1.0140149E+00
    1.0000   4.7069612E+05   1.0140187E+00
    1.0100   4.7130387E+05   1.0140224E+00
    1.0200   4.7191197E+05   1.0140261E+00
    1.0300   4.7252050E+05   1.0140299E+00
