# Time    P2PX    P2PY    P2PZ
    0.0000       1.0137365       0       0
    0.0010       1.0137351       0       0
    0.0020       1.0137352       0       0
    0.0030       1.0137354       0       0
    0.0040       1.0137355       0       0
    0.0050       1.0137357       0       0
    0.0060       1.0137359       0       0
    0.0070       1.0137360       0       0
    0.0080       1.0137362       0       0
    0.0090       1.0137363       0       0
    0.0100       1.0137365       0       0
    0.0110       1.0137366       0       0
    0.0120       1.0137368       0       0
    0.0130       1.0137369       0       0
    0.0140       1.0137371       0       0
    0.0150       1.0137373       0       0
    0.0160       1.0137374       0       0
    0.0170       1.0137376       0       0
    0.0180       1.0137377       0       0
    0.0190       1.0137379       0       0
    0.0200       1.0137380       0       0
    0.0210       1.0137382       0       0
    0.0220       1.0137384       0       0
    0.0230       1.0137385       0       0
    0.0240       1.0137387       0       0
    0.0250       1.0137388       0       0
    0.0260       1.0137390       0       0
    0.0270       1.0137392       0       0
    0.0280       1.0137393       0       0
    0.0290       1.0137395       0       0
    0.0300       1.0137396       0       0
    0.0310       1.0137398       0       0
    0.0320       1.0137400       0       0
    0.0330       1.0137401       0       0
    0.0340       1.0137403       0       0
    0.0350       1.0137405       0       0
    0.0360       1.0137406       0       0
    0.0370       1.0137408       0       0
    0.0380       1.0137409       0       0
    0.0390       1.0137411       0       0
    0.0400       1.0137413       0       0
    0.0410       1.0137414       0       0
    0.0420       1.0137416       0       0
    0.0430       1.0137418       0       0
    0.0440       1.0137419       0       0
    0.0450       1.0137421       0       0
    0.0460       1.0137423       0       0
    0.0470       1.0137424       0       0
    0.0480       1.0137426       0       0
    0.0490       1.0137428       0       0
    0.0500       1.0137429       0       0
    0.0510       1.0137431       0       0
    0.0520       1.0137433       0       0
    0.0530       1.0137434       0       0
    0.0540       1.0137436       0       0
    0.0550       1.0137438       0       0
    0.0560       1.0137439       0       0
    0.0570       1.0137441       0       0
    0.0580       1.0137443       0       0
    0.0590       1.0137444       0       0
    0.0600       1.0137446       0       0
    0.0610       1.0137448       0       0
    0.0620       1.0137450       0       0
    0.0630       1.0137451       0       0
    0.0640       1.0137453       0       0
    0.0650       1.0137455       0       0
    0.0660       1.0137456       0       0
    0.0670       1.0137458       0       0
    0.0680       1.0137460       0       0
    0.0690       1.0137461       0       0
    0.0700       1.0137463       0       0
    0.0710       1.0137465       0       0
    0.0720       1.0137467       0       0
    0.0730       1.0137468       0       0
    0.0740       1.0137470       0       0
    0.0750       1.0137472       0       0
    0.0760       1.0137474       0       0
    0.0770       1.0137475       0       0
    0.0780       1.0137477       0       0
    0.0790       1.0137479       0       0
    0.0800       1.0137481       0       0
    0.0810       1.0137482       0       0
    0.0820       1.0137484       0       0
    0.0830       1.0137486       0       0
    0.0840       1.0137488       0       0
    0.0850       1.0137489       0       0
    0.0860       1.0137491       0       0
    0.0870       1.0137493       0       0
    0.0880       1.0137495       0       0
    0.0890       1.0137496       0       0
    0.0900       1.0137498       0       0
    0.0910       1.0137500       0       0
    0.0920       1.0137502       0       0
    0.0930       1.0137504       0       0
    0.0940       1.0137505       0       0
    0.0950       1.0137507       0       0
    0.0960       1.0137509       0       0
    0.0970       1.0137511       0       0
    0.0980       1.0137513       0       0
    0.0990       1.0137514       0       0
    0.1000       1.0137516       0       0
    0.1010       1.0137518       0       0
    0.1020       1.0137520       0       0
    0.1030       1.0137522       0       0
    0.1040       1.0137523       0       0
    0.1050       1.0137525       0       0
    0.1060       1.0137527       0       0
    0.1070       1.0137529       0       0
    0.1080       1.0137531       0       0
    0.1090       1.0137533       0       0
    0.1100       1.0137534       0       0
    0.1110       1.0137536       0       0
    0.1120       1.0137538       0       0
    0.1130       1.0137540       0       0
    0.1140       1.0137542       0       0
    0.1150       1.0137544       0       0
    0.1160       1.0137546       0       0
    0.1170       1.0137547       0       0
    0.1180       1.0137549       0       0
    0.1190       1.0137551       0       0
    0.1200       1.0137553       0       0
    0.1210       1.0137555       0       0
    0.1220       1.0137557       0       0
    0.1230       1.0137559       0       0
    0.1240       1.0137560       0       0
    0.1250       1.0137562       0       0
    0.1260       1.0137564       0       0
    0.1270       1.0137566       0       0
    0.1280       1.0137568       0       0
    0.1290       1.0137570       0       0
    0.1300       1.0137572       0       0
    0.1310       1.0137574       0       0
    0.1320       1.0137576       0       0
    0.1330       1.0137578       0       0
    0.1340       1.0137579       0       0
    0.1350       1.0137581       0       0
    0.1360       1.0137583       0       0
    0.1370       1.0137585       0       0
    0.1380       1.0137587       0       0
    0.1390       1.0137589       0       0
    0.1400       1.0137591       0       0
    0.1410       1.0137593       0       0
    0.1420       1.0137595       0       0
    0.1430       1.0137597       0       0
    0.1440       1.0137599       0       0
    0.1450       1.0137601       0       0
    0.1460       1.0137603       0       0
    0.1470       1.0137604       0       0
    0.1480       1.0137606       0       0
    0.1490       1.0137608       0       0
    0.1500       1.0137610       0       0
    0.1510       1.0137612       0       0
    0.1520       1.0137614       0       0
    0.1530       1.0137616       0       0
    0.1540       1.0137618       0       0
    0.1550       1.0137620       0       0
    0.1560       1.0137622       0       0
    0.1570       1.0137624       0       0
    0.1580       1.0137626       0       0
    0.1590       1.0137628       0       0
    0.1600       1.0137630       0       0
    0.1610       1.0137632       0       0
    0.1620       1.0137634       0       0
    0.1630       1.0137636       0       0
    0.1640       1.0137638       0       0
    0.1650       1.0137640       0       0
    0.1660       1.0137642       0       0
    0.1670       1.0137644       0       0
    0.1680       1.0137646       0       0
    0.1690       1.0137648       0       0
    0.1700       1.0137650       0       0
    0.1710       1.0137652       0       0
    0.1720       1.0137654       0       0
    0.1730       1.0137656       0       0
    0.1740       1.0137658       0       0
    0.1750       1.0137660       0       0
    0.1760       1.0137662       0       0
    0.1770       1.0137664       0       0
    0.1780       1.0137666       0       0
    0.1790       1.0137668       0       0
    0.1800       1.0137670       0       0
    0.1810       1.0137672       0       0
    0.1820       1.0137674       0       0
    0.1830       1.0137677       0       0
    0.1840       1.0137679       0       0
    0.1850       1.0137681       0       0
    0.1860       1.0137683       0       0
    0.1870       1.0137685       0       0
    0.1880       1.0137687       0       0
    0.1890       1.0137689       0       0
    0.1900       1.0137691       0       0
    0.1910       1.0137693       0       0
    0.1920       1.0137695       0       0
    0.1930       1.0137697       0       0
    0.1940       1.0137699       0       0
    0.1950       1.0137701       0       0
    0.1960       1.0137703       0       0
    0.1970       1.0137706       0       0
    0.1980       1.0137708       0       0
    0.1990       1.0137710       0       0
    0.2000       1.0137712       0       0
    0.2010       1.0137714       0       0
    0.2020       1.0137716       0       0
    0.2030       1.0137718       0       0
    0.2040       1.0137720       0       0
    0.2050       1.0137722       0       0
    0.2060       1.0137725       0       0
    0.2070       1.0137727       0       0
    0.2080       1.0137729       0       0
    0.2090       1.0137731       0       0
    0.2100       1.0137733       0       0
    0.2110       1.0137735       0       0
    0.2120       1.0137737       0       0
    0.2130       1.0137740       0       0
    0.2140       1.0137742       0       0
    0.2150       1.0137744       0       0
    0.2160       1.0137746       0       0
    0.2170       1.0137748       0       0
    0.2180       1.0137750       0       0
    0.2190       1.0137752       0       0
    0.2200       1.0137755       0       0
    0.2210       1.0137757       0       0
    0.2220       1.0137759       0       0
    0.2230       1.0137761       0       0
    0.2240       1.0137763       0       0
    0.2250       1.0137765       0       0
    0.2260       1.0137768       0       0
    0.2270       1.0137770       0       0
    0.2280       1.0137772       0       0
    0.2290       1.0137774       0       0
    0.2300       1.0137776       0       0
    0.2310       1.0137779       0       0
    0.2320       1.0137781       0       0
    0.2330       1.0137783       0       0
    0.2340       1.0137785       0       0
    0.2350       1.0137787       0       0
    0.2360       1.0137790       0       0
    0.2370       1.0137792       0       0
    0.2380       1.0137794       0       0
    0.2390       1.0137796       0       0
    0.2400       1.0137799       0       0
    0.2410       1.0137801       0       0
    0.2420       1.0137803       0       0
    0.2430       1.0137805       0       0
    0.2440       1.0137807       0       0
    0.2450       1.0137810       0       0
    0.2460       1.0137812       0       0
    0.2470       1.0137814       0       0
    0.2480       1.0137816       0       0
    0.2490       1.0137819       0       0
    0.2500       1.0137821       0       0
    0.2510       1.0137823       0       0
    0.2520       1.0137825       0       0
    0.2530       1.0137828       0       0
    0.2540       1.0137830       0       0
    0.2550       1.0137832       0       0
    0.2560       1.0137835       0       0
    0.2570       1.0137837       0       0
    0.2580       1.0137839       0       0
    0.2590       1.0137841       0       0
    0.2600       1.0137844       0       0
    0.2610       1.0137846       0       0
    0.2620       1.0137848       0       0
    0.2630       1.0137851       0       0
    0.2640       1.0137853       0       0
    0.2650       1.0137855       0       0
    0.2660       1.0137857       0       0
    0.2670       1.0137860       0       0
    0.2680       1.0137862       0       0
    0.2690       1.0137864       0       0
    0.2700       1.0137867       0       0
    0.2710       1.0137869       0       0
    0.2720       1.0137871       0       0
    0.2730       1.0137874       0       0
    0.2740       1.0137876       0       0
    0.2750       1.0137878       0       0
    0.2760       1.0137881       0       0
    0.2770       1.0137883       0       0
    0.2780       1.0137885       0       0
    0.2790       1.0137888       0       0
    0.2800       1.0137890       0       0
    0.2810       1.0137892       0       0
    0.2820       1.0137895       0       0
    0.2830       1.0137897       0       0
    0.2840       1.0137899       0       0
    0.2850       1.0137902       0       0
    0.2860       1.0137904       0       0
    0.2870       1.0137907       0       0
    0.2880       1.0137909       0       0
    0.2890       1.0137911       0       0
    0.2900       1.0137914       0       0
    0.2910       1.0137916       0       0
    0.2920       1.0137918       0       0
    0.2930       1.0137921       0       0
    0.2940       1.0137923       0       0
    0.2950       1.0137926       0       0
    0.2960       1.0137928       0       0
    0.2970       1.0137930       0       0
    0.2980       1.0137933       0       0
    0.2990       1.0137935       0       0
    0.3000       1.0137938       0       0
    0.3010       1.0137940       0       0
    0.3020       1.0137942       0       0
    0.3030       1.0137945       0       0
    0.3040       1.0137947       0       0
    0.3050       1.0137950       0       0
    0.3060       1.0137952       0       0
    0.3070       1.0137955       0       0
    0.3080       1.0137957       0       0
    0.3090       1.0137959       0       0
    0.3100       1.0137962       0       0
    0.3110       1.0137964       0       0
    0.3120       1.0137967       0       0
    0.3130       1.0137969       0       0
    0.3140       1.0137972       0       0
    0.3150       1.0137974       0       0
    0.3160       1.0137977       0       0
    0.3170       1.0137979       0       0
    0.3180       1.0137981       0       0
    0.3190       1.0137984       0       0
    0.3200       1.0137986       0       0
    0.3210       1.0137989       0       0
    0.3220       1.0137991       0       0
    0.3230       1.0137994       0       0
    0.3240       1.0137996       0       0
    0.3250       1.0137999       0       0
    0.3260       1.0138001       0       0
    0.3270       1.0138004       0       0
    0.3280       1.0138006       0       0
    0.3290       1.0138009       0       0
    0.3300       1.0138011       0       0
    0.3310       1.0138014       0       0
    0.3320       1.0138016       0       0
    0.3330       1.0138019       0       0
    0.3340       1.0138021       0       0
    0.3350       1.0138024       0       0
    0.3360       1.0138026       0       0
    0.3370       1.0138029       0       0
    0.3380       1.0138031       0       0
    0.3390       1.0138034       0       0
    0.3400       1.0138036       0       0
    0.3410       1.0138039       0       0
    0.3420       1.0138041       0       0
    0.3430       1.0138044       0       0
    0.3440       1.0138046       0       0
    0.3450       1.0138049       0       0
    0.3460       1.0138052       0       0
    0.3470       1.0138054       0       0
    0.3480       1.0138057       0       0
    0.3490       1.0138059       0       0
    0.3500       1.0138062       0       0
    0.3510       1.0138064       0       0
    0.3520       1.0138067       0       0
    0.3530       1.0138069       0       0
    0.3540       1.0138072       0       0
    0.3550       1.0138075       0       0
    0.3560       1.0138077       0       0
    0.3570       1.0138080       0       0
    0.3580       1.0138082       0       0
    0.3590       1.0138085       0       0
    0.3600       1.0138088       0       0
    0.3610       1.0138090       0       0
    0.3620       1.0138093       0       0
    0.3630       1.0138095       0       0
    0.3640       1.0138098       0       0
    0.3650       1.0138100       0       0
    0.3660       1.0138103       0       0
    0.3670       1.0138106       0       0
    0.3680       1.0138108       0       0
    0.3690       1.0138111       0       0
    0.3700       1.0138114       0       0
    0.3710       1.0138116       0       0
    0.3720       1.0138119       0       0
    0.3730       1.0138121       0       0
    0.3740       1.0138124       0       0
    0.3750       1.0138127       0       0
    0.3760       1.0138129       0       0
    0.3770       1.0138132       0       0
    0.3780       1.0138135       0       0
    0.3790       1.0138137       0       0
    0.3800       1.0138140       0       0
    0.3810       1.0138143       0       0
    0.3820       1.0138145       0       0
    0.3830       1.0138148       0       0
    0.3840       1.0138150       0       0
    0.3850       1.0138153       0       0
    0.3860       1.0138156       0       0
    0.3870       1.0138158       0       0
    0.3880       1.0138161       0       0
    0.3890       1.0138164       0       0
    0.3900       1.0138166       0       0
    0.3910       1.0138169       0       0
    0.3920       1.0138172       0       0
    0.3930       1.0138175       0       0
    0.3940       1.0138177       0       0
    0.3950       1.0138180       0       0
    0.3960       1.0138183       0       0
    0.3970       1.0138185       0       0
    0.3980       1.0138188       0       0
    0.3990       1.0138191       0       0
    0.4000       1.0138193       0       0
    0.4010       1.0138196       0       0
    0.4020       1.0138199       0       0
    0.4030       1.0138202       0       0
    0.4040       1.0138204       0       0
    0.4050       1.0138207       0       0
    0.4060       1.0138210       0       0
    0.4070       1.0138212       0       0
    0.4080       1.0138215       0       0
    0.4090       1.0138218       0       0
    0.4100       1.0138221       0       0
    0.4110       1.0138223       0       0
    0.4120       1.0138226       0       0
    0.4130       1.0138229       0       0
    0.4140       1.0138232       0       0
    0.4150       1.0138234       0       0
    0.4160       1.0138237       0       0
    0.4170       1.0138240       0       0
    0.4180       1.0138243       0       0
    0.4190       1.0138245       0       0
    0.4200       1.0138248       0       0
    0.4210       1.0138251       0       0
    0.4220       1.0138254       0       0
    0.4230       1.0138256       0       0
    0.4240       1.0138259       0       0
    0.4250       1.0138262       0       0
    0.4260       1.0138265       0       0
    0.4270       1.0138267       0       0
    0.4280       1.0138270       0       0
    0.4290       1.0138273       0       0
    0.4300       1.0138276       0       0
    0.4310       1.0138279       0       0
    0.4320       1.0138281       0       0
