
These predictions were generated by MoorDyn (v2.3.82025-02-27) on 07-Aug-2025 at 15:31:45.

 
 
 
      Time        FAIRTEN1       LINE1NBFX         ROD1SUB
       (s)             (N)             (N)          (frac)
    0.0000   5.5435844E+07   1.7219940E+07   5.7156102E-01
    0.0010   5.5410097E+07   1.7212043E+07   5.7164519E-01
    0.0020   5.5384186E+07   1.7203925E+07   5.7172937E-01
    0.0030   5.5358148E+07   1.7195600E+07   5.7181355E-01
    0.0040   5.5332017E+07   1.7187079E+07   5.7189772E-01
    0.0050   5.5305825E+07   1.7178374E+07   5.7198190E-01
    0.0060   5.5279598E+07   1.7169493E+07   5.7206607E-01
    0.0070   5.5253362E+07   1.7160445E+07   5.7215025E-01
    0.0080   5.5227137E+07   1.7151239E+07   5.7223442E-01
    0.0090   5.5200943E+07   1.7141881E+07   5.7231860E-01
    0.0100   5.5174799E+07   1.7132378E+07   5.7240278E-01
    0.0110   5.5148719E+07   1.7122737E+07   5.7248695E-01
    0.0120   5.5122717E+07   1.7112963E+07   5.7257113E-01
    0.0130   5.5096806E+07   1.7103062E+07   5.7265530E-01
    0.0140   5.5070996E+07   1.7093037E+07   5.7273948E-01
    0.0150   5.5045296E+07   1.7082894E+07   5.7282365E-01
    0.0160   5.5019716E+07   1.7072636E+07   5.7290783E-01
    0.0170   5.4994261E+07   1.7062267E+07   5.7299201E-01
    0.0180   5.4968939E+07   1.7051791E+07   5.7307618E-01
    0.0190   5.4943755E+07   1.7041210E+07   5.7316036E-01
    0.0200   5.4918713E+07   1.7030529E+07   5.7324453E-01
    0.0210   5.4893817E+07   1.7019748E+07   5.7332871E-01
    0.0220   5.4869071E+07   1.7008872E+07   5.7341288E-01
    0.0230   5.4844476E+07   1.6997903E+07   5.7349706E-01
    0.0240   5.4820035E+07   1.6986842E+07   5.7358123E-01
    0.0250   5.4795749E+07   1.6975692E+07   5.7366541E-01
    0.0260   5.4771619E+07   1.6964454E+07   5.7374959E-01
    0.0270   5.4747647E+07   1.6953132E+07   5.7383376E-01
    0.0280   5.4723831E+07   1.6941726E+07   5.7391794E-01
    0.0290   5.4700172E+07   1.6930238E+07   5.7400211E-01
    0.0300   5.4676670E+07   1.6918670E+07   5.7408629E-01
    0.0310   5.4653324E+07   1.6907024E+07   5.7417046E-01
    0.0320   5.4630133E+07   1.6895300E+07   5.7425464E-01
    0.0330   5.4607096E+07   1.6883501E+07   5.7433881E-01
    0.0340   5.4584211E+07   1.6871627E+07   5.7442299E-01
    0.0350   5.4561477E+07   1.6859680E+07   5.7450717E-01
    0.0360   5.4538892E+07   1.6847661E+07   5.7459134E-01
    0.0370   5.4516455E+07   1.6835571E+07   5.7467552E-01
    0.0380   5.4494163E+07   1.6823412E+07   5.7475970E-01
    0.0390   5.4472013E+07   1.6811185E+07   5.7484387E-01
    0.0400   5.4450005E+07   1.6798891E+07   5.7492804E-01
    0.0410   5.4428135E+07   1.6786530E+07   5.7501222E-01
    0.0420   5.4406401E+07   1.6774105E+07   5.7509640E-01
    0.0430   5.4384801E+07   1.6761616E+07   5.7518057E-01
    0.0440   5.4363331E+07   1.6749064E+07   5.7526475E-01
    0.0450   5.4341990E+07   1.6736450E+07   5.7534892E-01
    0.0460   5.4320774E+07   1.6723776E+07   5.7543310E-01
    0.0470   5.4299681E+07   1.6711042E+07   5.7551728E-01
    0.0480   5.4278708E+07   1.6698249E+07   5.7560145E-01
    0.0490   5.4257852E+07   1.6685398E+07   5.7568563E-01
    0.0500   5.4237109E+07   1.6672490E+07   5.7576980E-01
    0.0510   5.4216479E+07   1.6659527E+07   5.7585398E-01
    0.0520   5.4195956E+07   1.6646508E+07   5.7593815E-01
    0.0530   5.4175539E+07   1.6633436E+07   5.7602233E-01
    0.0540   5.4155224E+07   1.6620311E+07   5.7610651E-01
    0.0550   5.4135009E+07   1.6607134E+07   5.7619068E-01
    0.0560   5.4114890E+07   1.6593906E+07   5.7627486E-01
    0.0570   5.4094865E+07   1.6580628E+07   5.7635903E-01
    0.0580   5.4074930E+07   1.6567301E+07   5.7644321E-01
    0.0590   5.4055083E+07   1.6553925E+07   5.7652738E-01
    0.0600   5.4035320E+07   1.6540502E+07   5.7661156E-01
    0.0610   5.4015639E+07   1.6527033E+07   5.7669573E-01
    0.0620   5.3996037E+07   1.6513519E+07   5.7677991E-01
    0.0630   5.3976511E+07   1.6499960E+07   5.7686409E-01
    0.0640   5.3957057E+07   1.6486357E+07   5.7694826E-01
    0.0650   5.3937674E+07   1.6472712E+07   5.7703244E-01
    0.0660   5.3918357E+07   1.6459026E+07   5.7711661E-01
    0.0670   5.3899105E+07   1.6445298E+07   5.7720079E-01
    0.0680   5.3879915E+07   1.6431531E+07   5.7728497E-01
    0.0690   5.3860783E+07   1.6417725E+07   5.7736914E-01
    0.0700   5.3841708E+07   1.6403881E+07   5.7745331E-01
    0.0710   5.3822686E+07   1.6390001E+07   5.7753749E-01
    0.0720   5.3803715E+07   1.6376084E+07   5.7762167E-01
    0.0730   5.3784792E+07   1.6362132E+07   5.7770584E-01
    0.0740   5.3765914E+07   1.6348146E+07   5.7779002E-01
    0.0750   5.3747080E+07   1.6334128E+07   5.7787420E-01
    0.0760   5.3728286E+07   1.6320077E+07   5.7795837E-01
    0.0770   5.3709530E+07   1.6305994E+07   5.7804254E-01
    0.0780   5.3690810E+07   1.6291882E+07   5.7812672E-01
    0.0790   5.3672124E+07   1.6277740E+07   5.7821090E-01
    0.0800   5.3653468E+07   1.6263570E+07   5.7829507E-01
    0.0810   5.3634842E+07   1.6249373E+07   5.7837925E-01
    0.0820   5.3616242E+07   1.6235149E+07   5.7846342E-01
    0.0830   5.3597667E+07   1.6220900E+07   5.7854760E-01
    0.0840   5.3579115E+07   1.6206627E+07   5.7863177E-01
    0.0850   5.3560584E+07   1.6192330E+07   5.7871595E-01
    0.0860   5.3542071E+07   1.6178011E+07   5.7880013E-01
    0.0870   5.3523575E+07   1.6163670E+07   5.7888430E-01
    0.0880   5.3505094E+07   1.6149309E+07   5.7896848E-01
    0.0890   5.3486627E+07   1.6134929E+07   5.7905265E-01
    0.0900   5.3468171E+07   1.6120531E+07   5.7913683E-01
    0.0910   5.3449726E+07   1.6106115E+07   5.7922101E-01
    0.0920   5.3431289E+07   1.6091682E+07   5.7930518E-01
    0.0930   5.3412860E+07   1.6077235E+07   5.7938936E-01
    0.0940   5.3394436E+07   1.6062773E+07   5.7947353E-01
    0.0950   5.3376017E+07   1.6048298E+07   5.7955770E-01
    0.0960   5.3357601E+07   1.6033810E+07   5.7964188E-01
    0.0970   5.3339187E+07   1.6019312E+07   5.7972606E-01
    0.0980   5.3320775E+07   1.6004803E+07   5.7981024E-01
    0.0990   5.3302362E+07   1.5990286E+07   5.7989441E-01
    0.1000   5.3283949E+07   1.5975760E+07   5.7997859E-01
    0.1010   5.3265535E+07   1.5961221E+07   5.8005400E-01
    0.1020   5.3247120E+07   1.5946676E+07   5.8012941E-01
    0.1030   5.3228701E+07   1.5932126E+07   5.8020482E-01
    0.1040   5.3210278E+07   1.5917572E+07   5.8028024E-01
    0.1050   5.3191851E+07   1.5903016E+07   5.8035565E-01
    0.1060   5.3173419E+07   1.5888458E+07   5.8043106E-01
    0.1070   5.3154982E+07   1.5873899E+07   5.8050648E-01
    0.1080   5.3136539E+07   1.5859341E+07   5.8058189E-01
    0.1090   5.3118090E+07   1.5844784E+07   5.8065730E-01
    0.1100   5.3099634E+07   1.5830230E+07   5.8073272E-01
    0.1110   5.3081173E+07   1.5815680E+07   5.8080813E-01
    0.1120   5.3062705E+07   1.5801134E+07   5.8088354E-01
    0.1130   5.3044230E+07   1.5786594E+07   5.8095895E-01
    0.1140   5.3025749E+07   1.5772061E+07   5.8103437E-01
    0.1150   5.3007262E+07   1.5757536E+07   5.8110978E-01
    0.1160   5.2988768E+07   1.5743019E+07   5.8118519E-01
    0.1170   5.2970268E+07   1.5728513E+07   5.8126061E-01
    0.1180   5.2951763E+07   1.5714018E+07   5.8133602E-01
    0.1190   5.2933252E+07   1.5699535E+07   5.8141143E-01
    0.1200   5.2914736E+07   1.5685065E+07   5.8148685E-01
    0.1210   5.2896216E+07   1.5670609E+07   5.8156226E-01
    0.1220   5.2877692E+07   1.5656169E+07   5.8163767E-01
    0.1230   5.2859164E+07   1.5641745E+07   5.8171309E-01
    0.1240   5.2840634E+07   1.5627338E+07   5.8178850E-01
    0.1250   5.2822101E+07   1.5612949E+07   5.8186391E-01
    0.1260   5.2803567E+07   1.5598579E+07   5.8193932E-01
    0.1270   5.2785033E+07   1.5584230E+07   5.8201474E-01
    0.1280   5.2766498E+07   1.5569902E+07   5.8209015E-01
    0.1290   5.2747964E+07   1.5555597E+07   5.8216556E-01
    0.1300   5.2729432E+07   1.5541314E+07   5.8224098E-01
    0.1310   5.2710903E+07   1.5527056E+07   5.8231639E-01
    0.1320   5.2692377E+07   1.5512823E+07   5.8239180E-01
    0.1330   5.2673855E+07   1.5498616E+07   5.8246721E-01
    0.1340   5.2655340E+07   1.5484436E+07   5.8254263E-01
