
These predictions were generated by MoorDyn (v2.3.82025-02-27) on 24-Apr-2025 at 17:56:06.

 
 
 
      Time        FAIRTEN1       LINE1NBFX         ROD1SUB      LINE1N15PX
       (s)             (N)             (N)          (frac)             (m)
    0.0000   3.4360420E+06   2.3672622E+05   5.8207948E-01   0.0000000E+00
    0.0010   3.4360833E+06   2.3680490E+05   5.8217353E-01   9.8683325E-06
    0.0020   3.4361262E+06   2.3688785E+05   5.8226758E-01   3.9387463E-05
    0.0030   3.4361706E+06   2.3697495E+05   5.8236163E-01   8.8472195E-05
    0.0040   3.4362166E+06   2.3706634E+05   5.8245568E-01   1.5703789E-04
    0.0050   3.4362640E+06   2.3716189E+05   5.8254973E-01   2.4500047E-04
    0.0060   3.4363131E+06   2.3726165E+05   5.8264378E-01   3.5227639E-04
    0.0070   3.4363637E+06   2.3736553E+05   5.8273782E-01   4.7878264E-04
    0.0080   3.4364159E+06   2.3747354E+05   5.8283187E-01   6.2443674E-04
    0.0090   3.4364697E+06   2.3758570E+05   5.8292592E-01   7.8915674E-04
    0.0100   3.4365252E+06   2.3770191E+05   5.8301997E-01   9.7286122E-04
    0.0110   3.4365825E+06   2.3782224E+05   5.8311402E-01   1.1754693E-03
    0.0120   3.4366415E+06   2.3794658E+05   5.8320807E-01   1.3969005E-03
    0.0130   3.4367025E+06   2.3807500E+05   5.8330212E-01   1.6370751E-03
    0.0140   3.4367654E+06   2.3820739E+05   5.8339617E-01   1.8959137E-03
    0.0150   3.4368303E+06   2.3834382E+05   5.8349022E-01   2.1733373E-03
    0.0160   3.4368974E+06   2.3848419E+05   5.8358427E-01   2.4692677E-03
    0.0170   3.4369666E+06   2.3862855E+05   5.8367832E-01   2.7836270E-03
    0.0180   3.4370381E+06   2.3877681E+05   5.8377236E-01   3.1163377E-03
    0.0190   3.4371120E+06   2.3892903E+05   5.8386641E-01   3.4673231E-03
    0.0200   3.4371883E+06   2.3908507E+05   5.8396046E-01   3.8365066E-03
    0.0210   3.4372671E+06   2.3924504E+05   5.8405451E-01   4.2238124E-03
    0.0220   3.4373485E+06   2.3940890E+05   5.8414855E-01   4.6291650E-03
    0.0230   3.4374327E+06   2.3957661E+05   5.8424261E-01   5.0524894E-03
    0.0240   3.4375196E+06   2.3974815E+05   5.8433665E-01   5.4937112E-03
    0.0250   3.4376094E+06   2.3992345E+05   5.8443071E-01   5.9527561E-03
    0.0260   3.4377021E+06   2.4010255E+05   5.8452476E-01   6.4295507E-03
    0.0270   3.4377979E+06   2.4028545E+05   5.8461880E-01   6.9240218E-03
    0.0280   3.4378968E+06   2.4047211E+05   5.8471285E-01   7.4360967E-03
    0.0290   3.4379989E+06   2.4066247E+05   5.8480690E-01   7.9657032E-03
    0.0300   3.4381044E+06   2.4085658E+05   5.8490095E-01   8.5127695E-03
    0.0310   3.4382131E+06   2.4105431E+05   5.8499500E-01   9.0772241E-03
    0.0320   3.4383254E+06   2.4125581E+05   5.8508904E-01   9.6589962E-03
    0.0330   3.4384411E+06   2.4146097E+05   5.8518310E-01   1.0258015E-02
    0.0340   3.4385605E+06   2.4166974E+05   5.8527714E-01   1.0874211E-02
    0.0350   3.4386836E+06   2.4188213E+05   5.8537118E-01   1.1507515E-02
    0.0360   3.4388104E+06   2.4209818E+05   5.8546524E-01   1.2157856E-02
    0.0370   3.4389410E+06   2.4231779E+05   5.8555929E-01   1.2825167E-02
    0.0380   3.4390756E+06   2.4254102E+05   5.8565334E-01   1.3509379E-02
    0.0390   3.4392142E+06   2.4276777E+05   5.8574739E-01   1.4210423E-02
    0.0400   3.4393568E+06   2.4299810E+05   5.8584144E-01   1.4928233E-02
    0.0410   3.4395035E+06   2.4323192E+05   5.8593549E-01   1.5662741E-02
    0.0420   3.4396544E+06   2.4346925E+05   5.8602954E-01   1.6413881E-02
    0.0430   3.4398095E+06   2.4371012E+05   5.8612359E-01   1.7181586E-02
    0.0440   3.4399690E+06   2.4395443E+05   5.8621763E-01   1.7965790E-02
    0.0450   3.4401328E+06   2.4420224E+05   5.8631169E-01   1.8766428E-02
    0.0460   3.4403011E+06   2.4445346E+05   5.8640573E-01   1.9583434E-02
    0.0470   3.4404739E+06   2.4470811E+05   5.8649977E-01   2.0416743E-02
    0.0480   3.4406512E+06   2.4496621E+05   5.8659382E-01   2.1266293E-02
    0.0490   3.4408332E+06   2.4522767E+05   5.8668787E-01   2.2132017E-02
    0.0500   3.4410198E+06   2.4549256E+05   5.8678192E-01   2.3013853E-02
    0.0510   3.4412112E+06   2.4576081E+05   5.8687598E-01   2.3911737E-02
    0.0520   3.4414074E+06   2.4603233E+05   5.8697002E-01   2.4825607E-02
    0.0530   3.4416083E+06   2.4630727E+05   5.8706407E-01   2.5755400E-02
    0.0540   3.4418142E+06   2.4658553E+05   5.8715812E-01   2.6701054E-02
    0.0550   3.4420250E+06   2.4686706E+05   5.8725217E-01   2.7662506E-02
    0.0560   3.4422408E+06   2.4715191E+05   5.8734622E-01   2.8639697E-02
    0.0570   3.4424616E+06   2.4744000E+05   5.8744026E-01   2.9632563E-02
    0.0580   3.4426875E+06   2.4773139E+05   5.8753431E-01   3.0641046E-02
    0.0590   3.4429185E+06   2.4802598E+05   5.8762836E-01   3.1665084E-02
    0.0600   3.4431547E+06   2.4832385E+05   5.8772241E-01   3.2704617E-02
    0.0610   3.4433961E+06   2.4862489E+05   5.8781646E-01   3.3759586E-02
    0.0620   3.4436428E+06   2.4892913E+05   5.8791051E-01   3.4829931E-02
    0.0630   3.4438947E+06   2.4923659E+05   5.8800457E-01   3.5915594E-02
    0.0640   3.4441519E+06   2.4954719E+05   5.8809861E-01   3.7016516E-02
    0.0650   3.4444146E+06   2.4986095E+05   5.8819265E-01   3.8132638E-02
    0.0660   3.4446826E+06   2.5017788E+05   5.8828670E-01   3.9263902E-02
    0.0670   3.4449560E+06   2.5049791E+05   5.8838075E-01   4.0410252E-02
    0.0680   3.4452350E+06   2.5082109E+05   5.8847481E-01   4.1571628E-02
    0.0690   3.4455194E+06   2.5114733E+05   5.8856885E-01   4.2747976E-02
    0.0700   3.4458094E+06   2.5147670E+05   5.8866290E-01   4.3939237E-02
    0.0710   3.4461049E+06   2.5180910E+05   5.8875695E-01   4.5145355E-02
    0.0720   3.4464061E+06   2.5214459E+05   5.8885100E-01   4.6366276E-02
    0.0730   3.4467128E+06   2.5248310E+05   5.8894505E-01   4.7601941E-02
    0.0740   3.4470253E+06   2.5282467E+05   5.8903910E-01   4.8852298E-02
    0.0750   3.4473434E+06   2.5316922E+05   5.8913315E-01   5.0117289E-02
    0.0760   3.4476672E+06   2.5351678E+05   5.8922720E-01   5.1396861E-02
    0.0770   3.4479967E+06   2.5386736E+05   5.8932124E-01   5.2690959E-02
    0.0780   3.4483320E+06   2.5422089E+05   5.8941529E-01   5.3999529E-02
    0.0790   3.4486730E+06   2.5457737E+05   5.8950934E-01   5.5322517E-02
    0.0800   3.4490199E+06   2.5493685E+05   5.8960339E-01   5.6659869E-02
    0.0810   3.4493726E+06   2.5529927E+05   5.8969744E-01   5.8011533E-02
    0.0820   3.4497311E+06   2.5566457E+05   5.8979149E-01   5.9377454E-02
    0.0830   3.4500955E+06   2.5603282E+05   5.8988554E-01   6.0757582E-02
    0.0840   3.4504658E+06   2.5640393E+05   5.8997959E-01   6.2151862E-02
    0.0850   3.4508419E+06   2.5677797E+05   5.9007364E-01   6.3560243E-02
