
Predictions were generated on 08-Sep-2022 at 14:21:33 using OpenFAST, compiled as a 64-bit application using double precision at commit v3.2.1-270-gf067eb99-dirty
 linked with  NWTC Subroutine Library; ElastoDyn; InflowWind; AeroDyn; ServoDyn; HydroDyn; MoorDyn (v2.a27, 2022-07-20)

Description from the FAST input file: FAST Certification Test #25: NREL 5.0 MW Baseline Wind Turbine with OC4-DeepCwind semi configuration, for use in offshore analysis

Time     B1Surge        B1Sway          B1Heave         B1Roll          B1Pitch        B1Yaw           B1TVxi          B1TVyi          B1TVzi          B1RVxi          B1RVyi          B1RVzi          B1TAxi          B1TAyi          B1TAzi          B1RAxi          B1RAyi          B1RAzi
(s)      (m)            (m)             (m)             (rad)           (rad)          (rad)           (m/s)           (m/s)           (m/s)           (rad/s)         (rad/s)         (rad/s)         (m/s^2)         (m/s^2)         (m/s^2)         (rad/s^2)       (rad/s^2)       (rad/s^2)
0.0000   5.0000000E+00  0.0000000E+00   0.0000000E+00   0.0000000E+00   3.3161256E-02  0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   -2.4809549E-02  -9.5634859E-05  2.6493585E-02   3.4662230E-06   -6.6295112E-03  -1.1669178E-07
0.0125   4.9999981E+00  -3.1541013E-08  2.0664929E-06   1.2260176E-09   3.3160739E-02  -4.0792675E-11  -3.0412432E-04  -7.3732044E-06  3.3019131E-04   2.8820170E-07   -8.2593913E-05  -9.5789261E-09  -2.3864903E-02  -3.8067097E-04  2.3847096E-02   1.3738853E-05   -6.6183573E-03  -1.0522813E-06
0.0250   4.9999924E+00  -1.5918364E-07  7.9337624E-06   6.0722378E-09   3.3159189E-02  -2.7550129E-10  -5.8685377E-04  -1.3169557E-05  5.9727934E-04   4.8597985E-07   -1.6498049E-04  -3.0413077E-08  -2.2359163E-02  -8.2655944E-04  2.3651199E-02   2.9684317E-05   -6.5862210E-03  -2.9061603E-06
0.0375   4.9999833E+00  -3.9452905E-07  1.7290584E-05   1.4634849E-08   3.3156615E-02  -9.3707098E-10  -8.5536769E-04  -2.4412202E-05  9.0456795E-04   8.7350804E-07   -2.4705697E-04  -7.9370558E-08  -2.0332359E-02  -1.2803068E-03  2.3394017E-02   4.5587927E-05   -6.5333960E-03  -5.2750315E-06
0.0500   4.9999714E+00  -8.0522608E-07  3.0405279E-05   2.9268534E-08   3.3153016E-02  -2.4025395E-09  -1.0962570E-03  -3.9944545E-05  1.1952940E-03   1.4032637E-06   -3.2837832E-04  -1.5817758E-07  -1.7917503E-02  -1.5789337E-03  2.3096362E-02   5.5366738E-05   -6.4648101E-03  -7.6724336E-06
0.0625   4.9999561E+00  -1.4249329E-06  4.7136138E-05   5.0958604E-08   3.3148412E-02  -5.0282365E-09  -1.3059024E-03  -5.7780417E-05  1.4820576E-03   2.0015846E-06   -4.0879849E-04  -2.6513752E-07  -1.5263414E-02  -1.5653461E-03  2.2759650E-02   5.3173157E-05   -6.3861827E-03  -9.5931864E-06
0.0750   4.9999390E+00  -2.2565034E-06  6.7430650E-05   7.9579564E-08   3.3142801E-02  -9.1198702E-09  -1.4818747E-03  -7.3199488E-05  1.7645017E-03   2.4896965E-06   -4.8821271E-04  -3.9124373E-07  -1.2534603E-02  -1.1224718E-03  2.2392269E-02   3.4670153E-05   -6.3038259E-03  -1.0637255E-05
0.0875   4.9999194E+00  -3.2340727E-06  9.1226706E-05   1.1240194E-07   3.3136211E-02  -1.4841095E-08  -1.6241457E-03  -8.1179671E-05  2.0421823E-03   2.6806504E-06   -5.6660787E-04  -5.2478435E-07  -9.8949876E-03  -2.0059607E-04  2.2001961E-02   -1.9357581E-06  -6.2240330E-03  -1.0553872E-05
0.1000   4.9998984E+00  -4.2293718E-06  1.1846273E-04   1.4438643E-07   3.3128642E-02  -2.2196341E-08  -1.7345560E-03  -7.5766744E-05  2.3148821E-03   2.3499983E-06   -6.4404245E-04  -6.5087011E-07  -7.4931453E-03  1.1752300E-03   2.1596299E-02   -5.5618286E-05  -6.1525078E-03  -9.2857599E-06
0.1125   4.9998760E+00  -5.0413219E-06  1.4907558E-04   1.6774712E-07   3.3120114E-02  -3.1002106E-08  -1.8166758E-03  -5.1988140E-05  2.5824269E-03   1.3118600E-06   -7.2064146E-04  -7.5555562E-07  -5.4454030E-03  2.9014498E-03   2.1182299E-02   -1.2239313E-04  -6.0937251E-03  -6.9831408E-06
0.1250   4.9998531E+00  -5.4175953E-06  1.8300023E-04   1.7279494E-07   3.3110630E-02  -4.0918753E-08  -1.8752932E-03  -6.2075428E-06  2.8447439E-03   -5.7039159E-07  -7.9657725E-04  -8.2748818E-07  -3.8401743E-03  4.8112781E-03   2.0765772E-02   -1.9589732E-04  -6.0510607E-03  -3.9860324E-06
0.1375   4.9998293E+00  -5.0735175E-06  2.2017129E-04   1.4862810E-07   3.3100199E-02  -5.1493995E-08  -1.9162429E-03  6.2905499E-05   3.1018155E-03   -3.3460167E-06  -8.7206211E-04  -8.6052495E-07  -2.7149157E-03  6.6976142E-03   2.0349493E-02   -2.6825635E-04  -6.0259430E-03  -7.7097104E-07
0.1500   4.9998050E+00  -3.7244793E-06  2.6052314E-04   8.4363620E-08   3.3088829E-02  -6.2238101E-08  -1.9453290E-03  1.5416225E-04   3.3536374E-03   -6.9694311E-06  -9.4730710E-04  -8.5477353E-07  -2.0400952E-03  8.3442237E-03   1.9933945E-02   -3.3126367E-04  -6.0172654E-03  2.1251892E-06
0.1625   4.9997807E+00  -1.1167735E-06  3.0399021E-04   -2.9704671E-08  3.3076517E-02  -7.2703855E-08  -1.9677535E-03  2.6378364E-04   3.6002242E-03   -1.1296852E-05  -1.0225021E-03  -8.1702188E-07  -1.7503817E-03  9.5585100E-03   1.9519489E-02   -3.7761862E-04  -6.0225213E-03  4.1909625E-06
0.1750   4.9997559E+00  2.9422276E-06   3.5050718E-04   -2.0096077E-07  3.3063266E-02  -8.2566451E-08  -1.9879634E-03  3.8587512E-04   3.8415969E-03   -1.6104184E-05  -1.0978081E-03  -7.5988623E-07  -1.7437480E-03  1.0201858E-02   1.9105472E-02   -4.0207224E-04  -6.0377894E-03  5.0165472E-06
