## This file was generated by MoorDyn c-bindings library on Aug-13-2024 at 17:07:14
## This file contains output channels requested from the OutList section of the input fileMD.out
#
#
#
#
     Time               FAIRTEN1                 FAIRTEN2                 FAIRTEN3                 ANCHTEN1                 ANCHTEN2                 ANCHTEN3        
      (s)                 (N)                      (N)                      (N)                      (N)                      (N)                      (N)           
    0.0000         43920228.0000000            22309.7617188         43920228.0000000           803724.5000000          1176737.6250000           803724.5000000
    0.0125         20739520.0000000           543918.1250000         20739520.0000000           803650.8125000          1176797.0000000           803650.8125000
    0.0250         12770482.0000000           656754.3125000         12770477.0000000           803578.5625000          1176856.5000000           803578.5625000
    0.0375          8446834.0000000           679663.4375000          8446826.0000000           803507.0625000          1176916.1250000           803507.0625000
    0.0500          6024629.5000000           683298.6250000          6024613.5000000           803436.0000000          1176975.8750000           803436.0000000
    0.0625          4658514.5000000           682835.1875000          4658488.0000000           803366.2500000          1177035.3750000           803366.2500000
    0.0750          3866575.0000000           681558.8750000          3866537.2500000           803310.6875000          1177094.2500000           803310.6875000
    0.0875          3380275.2500000           680186.3125000          3380227.7500000           803364.1250000          1177149.1250000           803364.1250000
    0.1000          3057031.5000000           678876.9375000          3056979.5000000           803978.9375000          1177182.5000000           803978.9375000
    0.1125          2823312.5000000           677668.1875000          2823264.5000000           806683.5625000          1177130.6250000           806683.5625000
    0.1250          2641302.5000000           676569.7500000          2641270.2500000           815370.8750000          1176813.7500000           815370.8750000
    0.1375          2491146.0000000           675584.8750000          2491143.7500000           837838.4375000          1175826.2500000           837838.4375000
    0.1500          2362037.7500000           674714.7500000          2362079.7500000           886686.0000000          1173407.3750000           886686.0000000
    0.1625          2247786.2500000           673959.8125000          2247886.7500000           978477.8125000          1168343.1250000           978477.8125000
    0.1750          2144639.0000000           673320.5000000          2144810.0000000          1130652.2500000          1158963.6250000          1130652.2500000
    0.1875          2050187.7500000           672796.8125000          2050437.0000000          1356829.8750000          1143279.8750000          1356829.8750000
    0.2000          1962786.6250000           672389.0000000          1963117.6250000          1662210.3750000          1119257.2500000          1662210.2500000
    0.2125          1881269.6250000           672097.3125000          1881681.0000000          2040911.1250000          1085175.5000000          2040910.8750000
    0.2250          1804772.5000000           671922.0000000          1805258.6250000          2476229.0000000          1039982.9375000          2476228.5000000
    0.2375          1732641.5000000           671863.3750000          1733192.8750000          2943488.2500000           983553.6250000          2943487.5000000
    0.2500          1664386.2500000           671921.8750000          1664991.6250000          3414218.2500000           916783.3750000          3414217.0000000
    0.2625          1599633.5000000           672097.5000000          1600281.1250000          3860261.7500000           841507.5000000          3860260.0000000
    0.2750          1538121.3750000           672389.8125000          1538801.0000000          4256893.5000000           760269.7500000          4256890.5000000
    0.2875          1479686.7500000           672797.1250000          1480390.7500000          4584658.5000000           676004.2500000          4584654.5000000
    0.3000          1424277.2500000           673315.9375000          1425001.7500000          4830099.0000000           591698.9375000          4830093.5000000
    0.3125          1371959.5000000           673938.9375000          1372705.0000000          4985705.0000000           510100.9687500          4985698.5000000
    0.3250          1322954.5000000           674653.5625000          1323725.1250000          5049429.5000000           433501.0625000          5049422.0000000
    0.3375          1277674.8750000           675438.3750000          1278477.8750000          5023988.0000000           363612.0000000          5023980.5000000
    0.3500          1236788.2500000           676259.8125000          1237632.3750000          4916085.5000000           301534.9687500          4916080.0000000
    0.3625          1201259.1250000           677067.3750000          1202153.1250000          4736297.5000000           247796.5312500          4736297.0000000
    0.3750          1172421.5000000           677788.8750000          1173372.0000000          4499025.0000000           202432.1718750          4499034.0000000
    0.3875          1152002.3750000           678325.9375000          1153012.7500000          4220821.5000000           165093.7187500          4220845.0000000
    0.4000          1142158.0000000           678550.8750000          1143226.8750000          3918514.5000000           135160.8593750          3918559.0000000
    0.4125          1145391.0000000           678305.5000000          1146512.1250000          3607543.0000000           111842.7343750          3607615.2500000
    0.4250          1164387.7500000           677402.5625000          1165551.0000000          3300797.2500000            94262.6640625          3300904.2500000
    0.4375          1201714.1250000           675631.6250000          1202907.8750000          3008050.2500000            81525.1328125          3008199.0000000
    0.4500          1259442.7500000           672767.6250000          1260654.5000000          2735909.7500000            72769.1406250          2736107.0000000
    0.4625          1338845.5000000           668583.5625000          1340062.1250000          2488133.0000000            67211.4531250          2488384.7500000
    0.4750          1440121.0000000           662865.4375000          1441329.7500000          2266141.0000000            64177.2187500          2266451.7500000
    0.4875          1562198.2500000           655428.6875000          1563388.0000000          2069599.2500000            63112.5078125          2069972.7500000
    0.5000          1702677.7500000           646134.2500000          1703839.8750000          1896972.2500000            63578.0312500          1897411.0000000
    0.5125          1857930.7500000           634902.8125000          1859059.6250000          1746000.5000000            65231.0546875          1746505.8750000
