
These predictions were generated by MoorDyn (v2.2.22024-01-16) on 13-Aug-2024 at 17:07:11.

 
 
 
      Time        FAIRTEN1        FAIRTEN2        FAIRTEN3        ANCHTEN1        ANCHTEN2        ANCHTEN3
       (s)             (N)             (N)             (N)             (N)             (N)             (N)
    0.0000   4.3920227E+07   2.2309761E+04   4.3920227E+07   8.0372451E+05   1.1767377E+06   8.0372451E+05
    0.0125   2.0739521E+07   5.4391811E+05   2.0739521E+07   8.0365083E+05   1.1767970E+06   8.0365083E+05
    0.0250   1.2770482E+07   6.5675432E+05   1.2770477E+07   8.0357856E+05   1.1768565E+06   8.0357856E+05
    0.0375   8.4468343E+06   6.7966343E+05   8.4468257E+06   8.0350709E+05   1.1769162E+06   8.0350709E+05
    0.0500   6.0246297E+06   6.8329859E+05   6.0246135E+06   8.0343602E+05   1.1769758E+06   8.0343602E+05
    0.0625   4.6585147E+06   6.8283522E+05   4.6584882E+06   8.0336624E+05   1.1770354E+06   8.0336624E+05
    0.0750   3.8665750E+06   6.8155891E+05   3.8665372E+06   8.0331070E+05   1.1770943E+06   8.0331070E+05
    0.0875   3.3802751E+06   6.8018631E+05   3.3802277E+06   8.0336414E+05   1.1771491E+06   8.0336414E+05
    0.1000   3.0570315E+06   6.7887695E+05   3.0569795E+06   8.0397891E+05   1.1771825E+06   8.0397891E+05
    0.1125   2.8233125E+06   6.7766817E+05   2.8232646E+06   8.0668354E+05   1.1771306E+06   8.0668354E+05
    0.1250   2.6413024E+06   6.7656975E+05   2.6412702E+06   8.1537088E+05   1.1768137E+06   8.1537088E+05
    0.1375   2.4911460E+06   6.7558489E+05   2.4911436E+06   8.3783843E+05   1.1758263E+06   8.3783843E+05
    0.1500   2.3620377E+06   6.7471473E+05   2.3620798E+06   8.8668599E+05   1.1734074E+06   8.8668598E+05
    0.1625   2.2477861E+06   6.7395984E+05   2.2478868E+06   9.7847780E+05   1.1683431E+06   9.7847779E+05
    0.1750   2.1446391E+06   6.7332051E+05   2.1448101E+06   1.1306523E+06   1.1589637E+06   1.1306523E+06
    0.1875   2.0501878E+06   6.7279684E+05   2.0504370E+06   1.3568299E+06   1.1432799E+06   1.3568299E+06
    0.2000   1.9627866E+06   6.7238903E+05   1.9631176E+06   1.6622103E+06   1.1192573E+06   1.6622102E+06
    0.2125   1.8812696E+06   6.7209731E+05   1.8816810E+06   2.0409111E+06   1.0851755E+06   2.0409109E+06
    0.2250   1.8047725E+06   6.7192199E+05   1.8052586E+06   2.4762289E+06   1.0399829E+06   2.4762284E+06
    0.2375   1.7326415E+06   6.7186338E+05   1.7331928E+06   2.9434882E+06   9.8355360E+05   2.9434874E+06
    0.2500   1.6643863E+06   6.7192186E+05   1.6649916E+06   3.4142183E+06   9.1678337E+05   3.4142171E+06
    0.2625   1.5996335E+06   6.7209750E+05   1.6002811E+06   3.8602619E+06   8.4150747E+05   3.8602600E+06
    0.2750   1.5381214E+06   6.7238980E+05   1.5388009E+06   4.2568933E+06   7.6026974E+05   4.2568904E+06
    0.2875   1.4796868E+06   6.7279715E+05   1.4803908E+06   4.5846585E+06   6.7600424E+05   4.5846545E+06
    0.3000   1.4242772E+06   6.7331592E+05   1.4250018E+06   4.8300988E+06   5.9169896E+05   4.8300936E+06
