
These predictions were generated by SeaState on 15-Jul-2026 at 09:37:00.




      Time       Wave1Elev       Wave2Elev       Wave3Elev       Wave4Elev       Wave5Elev         FVel1xi         FVel2xi         FVel3xi         FVel4xi         FVel5xi         FVel6xi         FVel7xi         FVel8xi         FVel9xi         FVel1yi         FVel2yi         FVel3yi         FVel4yi         FVel5yi         FVel6yi         FVel7yi         FVel8yi         FVel9yi
   (sec)             (m)             (m)             (m)             (m)             (m)           (m/s)           (m/s)           (m/s)           (m/s)           (m/s)           (m/s)           (m/s)           (m/s)           (m/s)           (m/s)           (m/s)           (m/s)           (m/s)           (m/s)           (m/s)           (m/s)           (m/s)           (m/s)
    0.0000   0.2355551E+00  -0.2434243E+00  -0.2804993E+00  -0.1188153E+00   0.4369181E-02  -0.2808839E+01  -0.3811509E+01  -0.4936846E+01  -0.3524077E+01  -0.2131034E+01  -0.1979999E+01  -0.1396105E+01  -0.9019874E+00  -0.5107794E-02   0.2000000E+01   0.1499987E+01   0.9727048E+00  -0.4999762E+00  -0.1863887E+01  -0.1988009E+01  -0.1399990E+01  -0.8991867E+00  -0.2485321E-02
    0.2000   0.2752912E+00  -0.2887988E+00  -0.3449093E+00  -0.6688990E-01  -0.4392476E-01  -0.2761572E+01  -0.3778439E+01  -0.4959301E+01  -0.3540935E+01  -0.2140124E+01  -0.1976545E+01  -0.1395262E+01  -0.9018162E+00  -0.4931010E-02   0.2000000E+01   0.1499987E+01   0.9727048E+00  -0.4999762E+00  -0.1863887E+01  -0.1988009E+01  -0.1399990E+01  -0.8991867E+00  -0.2485321E-02
    0.4000   0.3097718E+00  -0.3281712E+00  -0.3996609E+00  -0.1224389E-01  -0.9193630E-01  -0.2718325E+01  -0.3749564E+01  -0.4978772E+01  -0.3556439E+01  -0.2148901E+01  -0.1973261E+01  -0.1394487E+01  -0.9016023E+00  -0.4714733E-02   0.2000000E+01   0.1499987E+01   0.9727048E+00  -0.4999762E+00  -0.1863887E+01  -0.1988009E+01  -0.1399990E+01  -0.8991867E+00  -0.2485321E-02
    0.6000   0.3381765E+00  -0.3604791E+00  -0.4435819E+00   0.4398974E-01  -0.1384836E+00  -0.2680132E+01  -0.3725574E+01  -0.4994725E+01  -0.3570282E+01  -0.2157201E+01  -0.1970209E+01  -0.1393794E+01  -0.9013482E+00  -0.4461211E-02   0.2000000E+01   0.1499987E+01   0.9727048E+00  -0.4999762E+00  -0.1863887E+01  -0.1988009E+01  -0.1399990E+01  -0.8991867E+00  -0.2485321E-02
    0.8000   0.3597991E+00  -0.3848192E+00  -0.4757880E+00   0.1006150E+00  -0.1824085E+00  -0.2647943E+01  -0.3707065E+01  -0.5006701E+01  -0.3582201E+01  -0.2164870E+01  -0.1967451E+01  -0.1393195E+01  -0.9010563E+00  -0.4173313E-02   0.2000000E+01   0.1499987E+01   0.9727048E+00  -0.4999762E+00  -0.1863887E+01  -0.1988009E+01  -0.1399990E+01  -0.8991867E+00  -0.2485321E-02
    1.0000   0.3740655E+00  -0.4004716E+00  -0.4957003E+00   0.1563980E+00  -0.2226046E+00  -0.2622605E+01  -0.3694529E+01  -0.5014331E+01  -0.3591990E+01  -0.2171776E+01  -0.1965040E+01  -0.1392702E+01  -0.9007304E+00  -0.3854505E-02   0.2000000E+01   0.1499987E+01   0.9727048E+00  -0.4999762E+00  -0.1863887E+01  -0.1988009E+01  -0.1399990E+01  -0.8991867E+00  -0.2485321E-02
    1.2000   0.3805484E+00  -0.4069202E+00  -0.5030563E+00   0.2100949E+00  -0.2580451E+00  -0.2604835E+01  -0.3688336E+01  -0.5017346E+01  -0.3599490E+01  -0.2177802E+01  -0.1963026E+01  -0.1392323E+01  -0.9003742E+00  -0.3508814E-02   0.2000000E+01   0.1499987E+01   0.9727048E+00  -0.4999762E+00  -0.1863887E+01  -0.1988009E+01  -0.1399990E+01  -0.8991867E+00  -0.2485321E-02
    1.4000   0.3789800E+00  -0.4038679E+00  -0.4979123E+00   0.2604797E+00  -0.2878086E+00  -0.2595203E+01  -0.3688730E+01  -0.5015583E+01  -0.3604605E+01  -0.2182856E+01  -0.1961450E+01  -0.1392066E+01  -0.8999925E+00  -0.3140773E-02   0.2000000E+01   0.1499987E+01   0.9727048E+00  -0.4999762E+00  -0.1863887E+01  -0.1988009E+01  -0.1399990E+01  -0.8991867E+00  -0.2485321E-02
    1.6000   0.3692605E+00  -0.3912468E+00  -0.4806376E+00   0.3063727E+00  -0.3111017E+00  -0.2594116E+01  -0.3695813E+01  -0.5008994E+01  -0.3607294E+01  -0.2186868E+01  -0.1960346E+01  -0.1391937E+01  -0.8995904E+00  -0.2755372E-02   0.2000000E+01   0.1499987E+01   0.9727048E+00  -0.4999762E+00  -0.1863887E+01  -0.1988009E+01  -0.1399990E+01  -0.8991867E+00  -0.2485321E-02
    1.8000   0.3514643E+00  -0.3692217E+00  -0.4519012E+00   0.3466684E+00  -0.3272800E+00  -0.2601801E+01  -0.3709546E+01  -0.4997645E+01  -0.3607573E+01  -0.2189791E+01  -0.1959738E+01  -0.1391938E+01  -0.8991735E+00  -0.2357984E-02   0.2000000E+01   0.1499987E+01   0.9727048E+00  -0.4999762E+00  -0.1863887E+01  -0.1988009E+01  -0.1399990E+01  -0.8991867E+00  -0.2485321E-02
    2.0000   0.3258415E+00  -0.3381896E+00  -0.4126502E+00   0.3803625E+00  -0.3358641E+00  -0.2618297E+01  -0.3729745E+01  -0.4981720E+01  -0.3605516E+01  -0.2191603E+01  -0.1959642E+01  -0.1392071E+01  -0.8987477E+00  -0.1954292E-02   0.2000000E+01   0.1499987E+01   0.9727048E+00  -0.4999762E+00  -0.1863887E+01  -0.1988009E+01  -0.1399990E+01  -0.8991867E+00  -0.2485321E-02
    2.2000   0.2928161E+00  -0.2987719E+00  -0.3640824E+00   0.4065768E+00  -0.3365533E+00  -0.2643448E+01  -0.3756083E+01  -0.4961517E+01  -0.3601247E+01  -0.2192306E+01  -0.1960064E+01  -0.1392335E+01  -0.8983193E+00  -0.1550213E-02   0.2000000E+01   0.1499987E+01   0.9727048E+00  -0.4999762E+00  -0.1863887E+01  -0.1988009E+01  -0.1399990E+01  -0.8991867E+00  -0.2485321E-02
    2.4000   0.2529801E+00  -0.2518012E+00  -0.3076121E+00   0.4245821E+00  -0.3292336E+00  -0.2676903E+01  -0.3788090E+01  -0.4937439E+01  -0.3594937E+01  -0.2191922E+01  -0.1960999E+01  -0.1392726E+01  -0.8978946E+00  -0.1151804E-02   0.2000000E+01   0.1499987E+01   0.9727048E+00  -0.4999762E+00  -0.1863887E+01  -0.1988009E+01  -0.1399990E+01  -0.8991867E+00  -0.2485321E-02
    2.6000   0.2070841E+00  -0.1983033E+00  -0.2448308E+00   0.4338177E+00  -0.3139817E+00  -0.2718115E+01  -0.3825169E+01  -0.4909993E+01  -0.3586803E+01  -0.2190498E+01  -0.1962436E+01  -0.1393239E+01  -0.8974804E+00  -0.7651728E-03   0.2000000E+01   0.1499987E+01   0.9727048E+00  -0.4999762E+00  -0.1863887E+01  -0.1988009E+01  -0.1399990E+01  -0.8991867E+00  -0.2485321E-02
    2.8000   0.1560236E+00  -0.1394743E+00  -0.1774641E+00   0.4339080E+00  -0.2910652E+00  -0.2766353E+01  -0.3866597E+01  -0.4879769E+01  -0.3577095E+01  -0.2188099E+01  -0.1964350E+01  -0.1393865E+01  -0.8970830E+00  -0.3963849E-03   0.2000000E+01   0.1499987E+01   0.9727048E+00  -0.4999762E+00  -0.1863887E+01  -0.1988009E+01  -0.1399990E+01  -0.8991867E+00  -0.2485321E-02
    3.0000   0.1008230E+00  -0.7665222E-01  -0.1073255E+00   0.4246744E+00  -0.2609369E+00  -0.2820709E+01  -0.3911547E+01  -0.4847437E+01  -0.3566092E+01  -0.2184808E+01  -0.1966707E+01  -0.1394596E+01  -0.8967087E+00  -0.5136272E-04   0.2000000E+01   0.1499987E+01   0.9727048E+00  -0.4999762E+00  -0.1863887E+01  -0.1988009E+01  -0.1399990E+01  -0.8991867E+00  -0.2485321E-02
    3.2000   0.4261471E-01  -0.1128593E-01  -0.3626828E-01   0.4061433E+00  -0.2242255E+00  -0.2880119E+01  -0.3959098E+01  -0.4813724E+01  -0.3554096E+01  -0.2180723E+01  -0.1969469E+01  -0.1395420E+01  -0.8963639E+00   0.2642064E-03   0.2000000E+01   0.1499987E+01   0.9727048E+00  -0.4999762E+00  -0.1863887E+01  -0.1988009E+01  -0.1399990E+01  -0.8991867E+00  -0.2485321E-02
    3.4000  -0.1738322E-01   0.5509918E-01   0.3386260E-01   0.3785496E+00  -0.1817217E+00  -0.2943376E+01  -0.4008255E+01  -0.4779403E+01  -0.3541421E+01  -0.2175956E+01  -0.1972584E+01  -0.1396322E+01  -0.8960545E+00   0.5449709E-03   0.2000000E+01   0.1499987E+01   0.9727048E+00  -0.4999762E+00  -0.1863887E+01  -0.1988009E+01  -0.1399990E+01  -0.8991867E+00  -0.2485321E-02
    3.6000  -0.7789220E-01   0.1209378E+00   0.1012784E+00   0.3423353E+00  -0.1343606E+00  -0.3009161E+01  -0.4057972E+01  -0.4745267E+01  -0.3528386E+01  -0.2170626E+01  -0.1975998E+01  -0.1397290E+01  -0.8957857E+00   0.7860009E-03   0.2000000E+01   0.1499987E+01   0.9727048E+00  -0.4999762E+00  -0.1863887E+01  -0.1988009E+01  -0.1399990E+01  -0.8991867E+00  -0.2485321E-02
    3.8000  -0.1376000E+00   0.1846623E+00   0.1642922E+00   0.2981431E+00  -0.8320040E-01  -0.3076068E+01  -0.4107173E+01  -0.4712121E+01  -0.3515309E+01  -0.2164861E+01  -0.1979648E+01  -0.1398307E+01  -0.8955627E+00   0.9828809E-03   0.2000000E+01   0.1499987E+01   0.9727048E+00  -0.4999762E+00  -0.1863887E+01  -0.1988009E+01  -0.1399990E+01  -0.8991867E+00  -0.2485321E-02
    4.0000  -0.1951895E+00   0.2447412E+00   0.2213611E+00   0.2468054E+00  -0.2939754E-01  -0.3142632E+01  -0.4154774E+01  -0.4680754E+01  -0.3502494E+01  -0.2158792E+01  -0.1983468E+01  -0.1399355E+01  -0.8953898E+00   0.1131784E-02   0.2000000E+01   0.1499987E+01   0.9727048E+00  -0.4999762E+00  -0.1863887E+01  -0.1988009E+01  -0.1399990E+01  -0.8991867E+00  -0.2485321E-02
    4.2000  -0.2493671E+00   0.2997164E+00   0.2711244E+00   0.1893290E+00   0.2581944E-01  -0.3207361E+01  -0.4199704E+01  -0.4651920E+01  -0.3490230E+01  -0.2152550E+01  -0.1987386E+01  -0.1400419E+01  -0.8952705E+00   0.1229555E-02   0.2000000E+01   0.1499987E+01   0.9727048E+00  -0.4999762E+00  -0.1863887E+01  -0.1988009E+01  -0.1399990E+01  -0.8991867E+00  -0.2485321E-02
    4.4000  -0.2988919E+00   0.3482390E+00   0.3124369E+00   0.1268748E+00   0.8117890E-01  -0.3268774E+01  -0.4240940E+01  -0.4626328E+01  -0.3478781E+01  -0.2146264E+01  -0.1991332E+01  -0.1401480E+01  -0.8952076E+00   0.1273763E-02   0.2000000E+01   0.1499987E+01   0.9727048E+00  -0.4999762E+00  -0.1863887E+01  -0.1988009E+01  -0.1399990E+01  -0.8991867E+00  -0.2485321E-02
    4.6000  -0.3426044E+00   0.3891033E+00   0.3443956E+00   0.6073424E-01   0.1353957E+00  -0.3325428E+01  -0.4277516E+01  -0.4604614E+01  -0.3468381E+01  -0.2140057E+01  -0.1995231E+01  -0.1402520E+01  -0.8952035E+00   0.1262763E-02   0.2000000E+01   0.1499987E+01   0.9727048E+00  -0.4999762E+00  -0.1863887E+01  -0.1988009E+01  -0.1399990E+01  -0.8991867E+00  -0.2485321E-02
    4.8000  -0.3794531E+00   0.4212766E+00   0.3663600E+00  -0.7698080E-02   0.1872016E+00  -0.3375957E+01  -0.4308557E+01  -0.4587330E+01  -0.3459228E+01  -0.2134048E+01  -0.1999011E+01  -0.1403522E+01  -0.8952590E+00   0.1195732E-02   0.2000000E+01   0.1499987E+01   0.9727048E+00  -0.4999762E+00  -0.1863887E+01  -0.1988009E+01  -0.1399990E+01  -0.8991867E+00  -0.2485321E-02
    5.0000  -0.4085202E+00   0.4439255E+00   0.3779655E+00  -0.7695439E-01   0.2353748E+00  -0.3419104E+01  -0.4333292E+01  -0.4574933E+01  -0.3451482E+01  -0.2128342E+01  -0.2002602E+01  -0.1404470E+01  -0.8953746E+00   0.1072706E-02   0.2000000E+01   0.1499987E+01   0.9727048E+00  -0.4999762E+00  -0.1863887E+01  -0.1988009E+01  -0.1399990E+01  -0.8991867E+00  -0.2485321E-02
    5.2000  -0.4290439E+00   0.4564376E+00   0.3791284E+00  -0.1455261E+00   0.2787694E+00  -0.3453753E+01  -0.4351081E+01  -0.4567764E+01  -0.3445261E+01  -0.2123035E+01  -0.2005936E+01  -0.1405347E+01  -0.8955495E+00   0.8945859E-03   0.2000000E+01   0.1499987E+01   0.9727048E+00  -0.4999762E+00  -0.1863887E+01  -0.1988009E+01  -0.1399990E+01  -0.8991867E+00  -0.2485321E-02
    5.4000  -0.4404384E+00   0.4584373E+00   0.3700451E+00  -0.2118971E+00   0.3163420E+00  -0.3478953E+01  -0.4361423E+01  -0.4566050E+01  -0.3440639E+01  -0.2118210E+01  -0.2008952E+01  -0.1406139E+01  -0.8957821E+00   0.6631461E-03   0.2000000E+01   0.1499987E+01   0.9727048E+00  -0.4999762E+00  -0.1863887E+01  -0.1988009E+01  -0.1399990E+01  -0.8991867E+00  -0.2485321E-02
    5.6000  -0.4423097E+00   0.4497969E+00   0.3511824E+00  -0.2745791E+00   0.3471772E+00  -0.3493950E+01  -0.4363977E+01  -0.4569887E+01  -0.3437648E+01  -0.2113934E+01  -0.2011592E+01  -0.1406833E+01  -0.8960697E+00   0.3810231E-03   0.2000000E+01   0.1499987E+01   0.9727048E+00  -0.4999762E+00  -0.1863887E+01  -0.1988009E+01  -0.1399990E+01  -0.8991867E+00  -0.2485321E-02
    5.8000  -0.4344682E+00   0.4306411E+00   0.3232616E+00  -0.3321448E+00   0.3705089E+00  -0.3498205E+01  -0.4358565E+01  -0.4579246E+01  -0.3436277E+01  -0.2110261E+01  -0.2013808E+01  -0.1407415E+01  -0.8964090E+00   0.5168521E-04   0.2000000E+01   0.1499987E+01   0.9727048E+00  -0.4999762E+00  -0.1863887E+01  -0.1988009E+01  -0.1399990E+01  -0.8991867E+00  -0.2485321E-02
    6.0000  -0.4169355E+00   0.4013454E+00   0.2872357E+00  -0.3832620E+00   0.3857393E+00  -0.3491411E+01  -0.4345186E+01  -0.4593963E+01  -0.3436471E+01  -0.2107229E+01  -0.2015558E+01  -0.1407878E+01  -0.8967957E+00  -0.3206051E-03   0.2000000E+01   0.1499987E+01   0.9727048E+00  -0.4999762E+00  -0.1863887E+01  -0.1988009E+01  -0.1399990E+01  -0.8991867E+00  -0.2485321E-02
    6.2000  -0.3899486E+00   0.3625285E+00   0.2442601E+00  -0.4267252E+00   0.3924535E+00  -0.3473507E+01  -0.4324015E+01  -0.4613750E+01  -0.3438141E+01  -0.2104859E+01  -0.2016810E+01  -0.1408213E+01  -0.8972245E+00  -0.7308456E-03   0.2000000E+01   0.1499987E+01   0.9727048E+00  -0.4999762E+00  -0.1863887E+01  -0.1988009E+01  -0.1399990E+01  -0.8991867E+00  -0.2485321E-02
    6.4000  -0.3539575E+00   0.3150393E+00   0.1956599E+00  -0.4614842E+00   0.3904295E+00  -0.3444681E+01  -0.4295402E+01  -0.4638198E+01  -0.3441162E+01  -0.2103159E+01  -0.2017540E+01  -0.1408414E+01  -0.8976896E+00  -0.1173360E-02   0.2000000E+01   0.1499987E+01   0.9727048E+00  -0.4999762E+00  -0.1863887E+01  -0.1988009E+01  -0.1399990E+01  -0.8991867E+00  -0.2485321E-02
    6.6000  -0.3096187E+00   0.2599372E+00   0.1428912E+00  -0.4866710E+00   0.3796444E+00  -0.3405376E+01  -0.4259867E+01  -0.4666780E+01  -0.3445379E+01  -0.2102123E+01  -0.2017734E+01  -0.1408479E+01  -0.8981842E+00  -0.1641881E-02   0.2000000E+01   0.1499987E+01   0.9727048E+00  -0.4999762E+00  -0.1863887E+01  -0.1988009E+01  -0.1399990E+01  -0.8991867E+00  -0.2485321E-02
