
These predictions were generated by a reference MATLAB script.




    Time      Wave1Elev       Wave2Elev       Wave3Elev        FVel1xi         FVel1yi         FVel1zi         FAcc1xi         FAcc1yi         FAcc1zi         FDynP1          FVel2xi         FVel2yi         FVel2zi         FAcc2xi         FAcc2yi         FAcc2zi         FDynP2          FVel3xi         FVel3yi         FVel3zi         FAcc3xi         FAcc3yi         FAcc3zi         FDynP3
    (sec)        (m)             (m)             (m)            (m/s)           (m/s)           (m/s)          (m/s^2)         (m/s^2)         (m/s^2)          (Pa)            (m/s)           (m/s)           (m/s)          (m/s^2)         (m/s^2)         (m/s^2)          (Pa)            (m/s)           (m/s)           (m/s)          (m/s^2)         (m/s^2)         (m/s^2)          (Pa)
      0.0   8.2414185e-01   1.8714453e+00   2.5877083e+00  -7.1746024e-01  -1.4560293e-01   9.0787725e-01  -6.3223057e-02  -5.6632385e-01  -2.7230355e-01   7.5136175e+03  -1.0390544e+00  -8.2251778e-01   1.6583711e+00  -2.4934765e-01  -1.0780657e+00  -9.0807272e-01   1.8811425e+04   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
      0.1   9.2547959e-01   2.0325758e+00   2.7401498e+00  -7.2244106e-01  -2.0260255e-01   8.7889303e-01  -3.6316349e-02  -5.7321482e-01  -3.0753326e-01   8.4115870e+03  -1.0616652e+00  -9.2832208e-01   1.5637152e+00  -2.0276783e-01  -1.0369277e+00  -9.8435451e-01   2.0431078e+04   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
      0.2   1.0241570e+00   2.1838658e+00   2.8777564e+00  -7.2470854e-01  -2.6015121e-01   8.4634427e-01  -8.9607607e-03  -5.7726586e-01  -3.4355186e-01   9.2786333e+03  -1.0795910e+00  -1.0296879e+00   1.4616473e+00  -1.5567831e-01  -9.8932820e-01  -1.0562251e+00   2.1951817e+04   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
      0.3   1.1197179e+00   2.3245971e+00   2.9999766e+00  -7.2421927e-01  -3.1795366e-01   8.1016533e-01   1.8812798e-02  -5.7825569e-01  -3.8008935e-01   1.0111139e+04  -1.0927901e+00  -1.1259798e+00   1.3526343e+00  -1.0826540e-01  -9.3549322e-01  -1.1231727e+00   2.3366422e+04   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
      0.4   1.2116894e+00   2.4541007e+00   3.1063564e+00  -7.2093335e-01  -3.7569373e-01   7.7031905e-01   4.6964896e-02  -5.7598807e-01  -4.1684663e-01   1.0905434e+04  -1.1012395e+00  -1.2165880e+00   1.2371932e+00  -6.0713743e-02  -8.7570540e-01  -1.1847063e+00   2.4668169e+04  -1.4539146e+00  -1.9721170e+00   1.0761097e+00  -5.7718537e-03  -6.8808424e-01  -1.9325596e+00   3.6206821e+04
      0.5   1.2995864e+00   2.5717617e+00   3.1965421e+00  -7.1481529e-01  -4.3303705e-01   7.2679949e-01   7.5446578e-02  -5.7029499e-01  -4.5349861e-01   1.1657827e+04  -1.1049343e+00  -1.3009337e+00   1.1158890e+00  -1.3205956e-02  -8.1030264e-01  -1.2403612e+00   2.5850876e+04  -1.4508425e+00  -2.0347181e+00   8.8134184e-01   6.7001023e-02  -5.6343996e-01  -1.9606639e+00   3.7190797e+04
      0.6   1.3829156e+00   2.6770241e+00   3.2702819e+00  -7.0583502e-01  -4.8963395e-01   6.7963440e-01   1.0419851e-01  -5.6103959e-01  -4.8969779e-01   1.2364638e+04  -1.1038881e+00  -1.3784744e+00   9.8933145e-01   3.4077745e-02  -7.3967606e-01  -1.2897030e+00   2.6908954e+04  -1.4405640e+00  -2.0847226e+00   6.8440511e-01   1.3828432e-01  -4.3632406e-01  -1.9759256e+00   3.7977796e+04
      0.7   1.4611807e+00   2.7693947e+00   3.3274270e+00  -6.9396892e-01  -5.4512275e-01   6.2888721e-01   1.3315027e-01  -5.4811887e-01  -5.2507816e-01   1.3022231e+04  -1.0981322e+00  -1.4487094e+00   8.5817217e-01   8.0959863e-02  -6.6426730e-01  -1.3323325e+00   2.7837447e+04  -1.4232492e+00  -2.1219347e+00   4.8658543e-01   2.0765979e-01  -3.0776201e-01  -1.9783295e+00   3.8566283e+04
      0.8   1.5338878e+00   2.8484478e+00   3.3679316e+00  -6.7920102e-01  -5.9913327e-01   5.7465872e-01   1.6221983e-01  -5.3146589e-01  -5.5925953e-01   1.3627054e+04  -1.0877154e+00  -1.5111847e+00   7.2310072e-01   1.2726591e-01  -5.8456535e-01  -1.3678901e+00   2.8632074e+04  -1.3991089e+00  -2.1462614e+00   2.8916480e-01   2.7473072e-01  -1.7879184e-01  -1.9679692e+00   3.8956017e+04
