
These predictions were generated by SeaState on 20-Dec-2023 at 15:17:55.




      Time       Wave1Elev       Wave2Elev       Wave3Elev         FVel1xi         FVel1yi         FVel1zi         FAcc1xi         FAcc1yi         FAcc1zi          FDynP1         FVel2xi         FVel2yi         FVel2zi         FAcc2xi         FAcc2yi         FAcc2zi          FDynP2         FVel3xi         FVel3yi         FVel3zi         FAcc3xi         FAcc3yi         FAcc3zi          FDynP3
   (sec)             (m)             (m)             (m)           (m/s)           (m/s)           (m/s)         (m/s^2)         (m/s^2)         (m/s^2)            (Pa)           (m/s)           (m/s)           (m/s)         (m/s^2)         (m/s^2)         (m/s^2)            (Pa)           (m/s)           (m/s)           (m/s)         (m/s^2)         (m/s^2)         (m/s^2)            (Pa)
    0.0000  -0.1987516E+00   0.1123058E+00   0.7520423E-01   0.7036324E-01   0.8819779E-01  -0.6225272E-01   0.5397315E-03   0.8716385E-01   0.2429330E+00  -0.1078512E+04  -0.2777957E+00  -0.1992442E+00  -0.1158097E+00  -0.1419742E+00   0.2008970E+00  -0.7247944E+00   0.1125706E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
    0.1000  -0.2017396E+00   0.9646075E-01   0.6645643E-01   0.6968892E-01   0.9546907E-01  -0.3727391E-01  -0.1442534E-01   0.5802525E-01   0.2554347E+00  -0.1128638E+04  -0.3020842E+00  -0.1666579E+00  -0.1872790E+00  -0.3351271E+00   0.4265508E+00  -0.6990792E+00   0.9731518E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
    0.2000  -0.2054893E+00   0.7364001E-01   0.6846362E-01   0.6741065E-01   0.9977035E-01  -0.1141800E-01  -0.3141084E-01   0.2791231E-01   0.2603779E+00  -0.1153152E+04  -0.3408643E+00  -0.1192648E+00  -0.2554497E+00  -0.4111971E+00   0.4950162E+00  -0.6669074E+00   0.7503671E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
    0.3000  -0.2112862E+00   0.4417056E-01   0.7865740E-01   0.6336719E-01   0.1010491E+00   0.1453448E-01  -0.4958039E-01  -0.2274592E-02   0.2573142E+00  -0.1151560E+04  -0.3773819E+00  -0.7210492E-01  -0.3214031E+00  -0.2824971E+00   0.4319030E+00  -0.6553851E+00   0.4603525E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
    0.4000  -0.2176755E+00   0.8210192E-02   0.9306012E-01   0.5748613E-01   0.9934308E-01   0.3977213E-01  -0.6800197E-01  -0.3163222E-01   0.2460793E+00  -0.1124172E+04  -0.3907567E+00  -0.3459305E-01  -0.3866527E+00   0.4091406E-01   0.3178619E+00  -0.6466616E+00   0.1044237E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
    0.5000  -0.2208013E+00  -0.3409042E-01   0.1079931E+00   0.4979081E-01   0.9477996E-01   0.6348209E-01  -0.8570328E-01  -0.5927057E-01   0.2268081E+00  -0.1072116E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
    0.6000  -0.2158657E+00  -0.8216494E-01   0.1213490E+00   0.4040146E-01   0.8757500E-01   0.8488022E-01  -0.1017272E+00  -0.8432997E-01   0.1999411E+00  -0.9973248E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
    0.7000  -0.1991264E+00  -0.1346561E+00   0.1329772E+00   0.2953109E-01   0.7802701E-01   0.1032415E+00  -0.1151835E+00  -0.1060008E+00   0.1662182E+00  -0.9024941E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
    0.8000  -0.1695550E+00  -0.1893311E+00   0.1441414E+00   0.1747647E-01   0.6651242E-01   0.1179292E+00  -0.1252937E+00  -0.1235465E+00   0.1266636E+00  -0.7910040E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
    0.9000  -0.1293972E+00  -0.2433186E+00   0.1563867E+00   0.4605024E-02   0.5347655E-01   0.1284222E+00  -0.1314296E+00  -0.1363311E+00   0.8255596E-01  -0.6668203E+03   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
