
These predictions were generated by a reference MATLAB script.




    Time      Wave1Elev       Wave2Elev       Wave3Elev        FVel1xi         FVel1yi         FVel1zi         FAcc1xi         FAcc1yi         FAcc1zi         FDynP1          FVel2xi         FVel2yi         FVel2zi         FAcc2xi         FAcc2yi         FAcc2zi         FDynP2          FVel3xi         FVel3yi         FVel3zi         FAcc3xi         FAcc3yi         FAcc3zi         FDynP3
    (sec)        (m)             (m)             (m)            (m/s)           (m/s)           (m/s)          (m/s^2)         (m/s^2)         (m/s^2)          (Pa)            (m/s)           (m/s)           (m/s)          (m/s^2)         (m/s^2)         (m/s^2)          (Pa)            (m/s)           (m/s)           (m/s)          (m/s^2)         (m/s^2)         (m/s^2)          (Pa)
      0.0   8.2414185e-01   1.8714453e+00   2.5877083e+00  -6.9555064e-01  -1.5156582e-01   8.7995871e-01  -5.9527413e-02  -5.4549535e-01  -2.7969469e-01   7.2847590e+03  -9.5489150e-01  -7.5347034e-01   1.5193469e+00  -2.3608444e-01  -9.6229480e-01  -8.3676797e-01   1.7154111e+04   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
      0.1   9.2547959e-01   2.0325758e+00   2.7401498e+00  -6.9746311e-01  -2.0675078e-01   8.4694431e-01  -3.2461184e-02  -5.4781784e-01  -3.1356728e-01   8.1225530e+03  -9.6937587e-01  -8.4130165e-01   1.4218453e+00  -1.9211456e-01  -9.1552783e-01  -8.9727233e-01   1.8491897e+04   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
      0.2   1.0241570e+00   2.1838658e+00   2.8777564e+00  -6.9669290e-01  -2.6172810e-01   8.1060301e-01  -5.1012620e-03  -5.4718341e-01  -3.4745009e-01   8.9229590e+03  -9.7986136e-01  -9.2385402e-01   1.3199298e+00  -1.4822352e-01  -8.6459438e-01  -9.5280194e-01   1.9729385e+04   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
      0.3   1.1197179e+00   2.3245971e+00   2.9999766e+00  -6.9323287e-01  -3.1620006e-01   7.7099218e-01   2.2491100e-02  -5.4350086e-01  -3.8105074e-01   9.6830233e+03  -9.8641776e-01  -1.0009090e+00   1.2140929e+00  -1.0452974e-01  -8.0985023e-01  -1.0031960e+00   2.0864938e+04   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
      0.4   1.2116894e+00   2.4541007e+00   3.1063564e+00  -6.8708344e-01  -3.6986934e-01   7.2819760e-01   5.0247160e-02  -5.3670953e-01  -4.1407296e-01   1.0399941e+04  -9.8911901e-01  -1.0722830e+00   1.1048149e+00  -6.1145073e-02  -7.5164877e-01  -1.0483227e+00   2.1897321e+04  -1.2566399e+00  -1.6567533e+00   9.8050198e-01  -2.8485553e-02  -6.0059815e-01  -1.6093767e+00   3.1051190e+04
      0.5   1.2995864e+00   2.5717617e+00   3.1965421e+00  -6.7825295e-01  -4.2244225e-01   6.8233211e-01   7.8091164e-02  -5.2677877e-01  -4.4622074e-01   1.1071080e+04  -9.8804193e-01  -1.1378234e+00   9.9256239e-01  -1.8175365e-02  -6.9033834e-01  -1.0880765e+00   2.2825640e+04  -1.2508962e+00  -1.7027100e+00   8.1641715e-01   3.2084022e-02  -4.9876889e-01  -1.6252603e+00   3.1806811e+04
      0.6   1.3829156e+00   2.6770241e+00   3.2702819e+00  -6.6675786e-01  -4.7363148e-01   6.3353396e-01   1.0594094e-01  -5.1370681e-01  -4.7720193e-01   1.1693998e+04  -9.8326523e-01  -1.1974042e+00   8.7778725e-01   2.4278934e-02  -6.2626036e-01  -1.1223737e+00   2.3649294e+04  -1.2402793e+00  -1.7400142e+00   6.5233747e-01   9.1224366e-02  -3.9658478e-01  -1.6326489e+00   3.2423507e+04
      0.7   1.4611807e+00   2.7693947e+00   3.3274270e+00  -6.5262284e-01  -5.2315868e-01   5.8196483e-01   1.3370860e-01  -4.9751934e-01  -5.0673152e-01   1.2266460e+04  -9.7486864e-01  -1.2509222e+00   7.6092688e-01   6.6122130e-02  -5.5974828e-01  -1.1511501e+00   2.4367918e+04  -1.2249167e+00  -1.7687440e+00   4.8876189e-01   1.4879906e-01  -2.9444619e-01  -1.6316984e+00   3.2902595e+04
      0.8   1.5338878e+00   2.8484478e+00   3.3679316e+00  -6.3588074e-01  -5.7075641e-01   5.2780760e-01   1.6130126e-01  -4.7826775e-01  -5.3453442e-01   1.2786445e+04  -9.6293219e-01  -1.2982931e+00   6.4240464e-01   1.0726262e-01  -4.9112711e-01  -1.1743571e+00   2.4981338e+04  -1.2049297e+00  -1.7889737e+00   3.2617495e-01   2.0467525e-01  -1.9274088e-01  -1.6225595e+00   3.3245301e+04
      0.9   1.6005505e+00   2.9138280e+00   3.3918521e+00  -6.1657242e-01  -6.1616984e-01   4.7126408e-01   1.8862185e-01  -4.5602718e-01  -5.6034770e-01   1.3252155e+04  -9.4753577e-01  -1.3394483e+00   5.2263110e-01   1.4761221e-01  -4.2071375e-01  -1.1919591e+00   2.5489534e+04  -1.1804351e+00  -1.8007739e+00   1.6505379e-01   2.5872155e-01  -9.1849719e-02  -1.6053783e+00   3.3452761e+04
      1.0   1.6606959e+00   2.9652539e+00   3.3993458e+00  -5.9474651e-01  -6.5915793e-01   4.1255267e-01   2.1556983e-01  -4.3089441e-01  -5.8392238e-01   1.3662015e+04  -9.2875878e-01  -1.3743313e+00   4.0200577e-01   1.8708544e-01  -3.4881776e-01  -1.2039313e+00   2.5892602e+04  -1.1515466e+00  -1.8042119e+00   5.8746219e-03   3.1080626e-01   7.8477921e-03  -1.5802981e+00   3.3526038e+04
