
These predictions were generated by SeaState on 05-Feb-2026 at 20:08:24.




      Time       Wave1Elev       Wave2Elev       Wave3Elev       Wave4Elev       Wave5Elev         FVel1xi         FVel2xi         FVel3xi         FVel4xi         FVel5xi         FAcc1xi         FAcc2xi         FAcc3xi         FAcc4xi         FAcc5xi          FDynP1          FDynP2          FDynP3          FDynP4          FDynP5
   (sec)             (m)             (m)             (m)             (m)             (m)           (m/s)           (m/s)           (m/s)           (m/s)           (m/s)         (m/s^2)         (m/s^2)         (m/s^2)         (m/s^2)         (m/s^2)            (Pa)            (Pa)            (Pa)            (Pa)            (Pa)
    0.0000  -0.7474660E-01  -0.1528196E+00  -0.4363114E-01   0.5450842E+00   0.4841801E+00   0.1019166E+01   0.9964902E+00   0.1008866E+01   0.1566421E+01   0.1528615E+01  -0.9594591E+00   0.4184662E+00   0.2910937E-01   0.9204438E+00  -0.4185113E+00  -0.7891653E+03  -0.1625034E+04  -0.4397644E+03   0.5390699E+04   0.4781423E+04
    0.2000  -0.2176865E+00  -0.1211967E+00  -0.9068085E-01   0.6883934E+00   0.4100956E+00   0.7953417E+00   0.1056231E+01   0.1032339E+01   0.1767578E+01   0.1439130E+01  -0.9220376E+00   0.3733637E-02  -0.2302277E+00   0.9881673E+00  -0.4527717E+00  -0.2155647E+04  -0.1351261E+04  -0.1019386E+04   0.6798117E+04   0.4054849E+04
    0.4000  -0.3489034E+00  -0.1336740E+00  -0.1845667E+00   0.8107084E+00   0.3093179E+00   0.5883527E+00   0.9961755E+00   0.9073830E+00   0.2014462E+01   0.1314605E+01  -0.8635399E+00  -0.3733858E+00  -0.6627398E+00   0.7306544E+00  -0.6144111E+00  -0.3409028E+04  -0.1411482E+04  -0.1910033E+04   0.7856109E+04   0.3072507E+04
    0.6000  -0.4555053E+00  -0.1652716E+00  -0.2903460E+00   0.8358324E+00   0.1960054E+00   0.4004564E+00   0.8863847E+00   0.7570169E+00   0.2078239E+01   0.1187412E+01  -0.6103570E+00  -0.3671819E+00  -0.6278514E+00  -0.2389693E+00  -0.4733325E+00  -0.4387935E+04  -0.1630392E+04  -0.2897226E+04   0.8049268E+04   0.1942045E+04
    0.8000  -0.5014972E+00  -0.1814596E+00  -0.3941850E+00   0.7471182E+00   0.8578540E-01   0.3228237E+00   0.8188751E+00   0.5836796E+00   0.1929100E+01   0.1106485E+01  -0.1986794E-01  -0.1651968E+00  -0.6629639E+00  -0.9211545E+00  -0.5877838E+00  -0.4821660E+04  -0.1748438E+04  -0.3822876E+04   0.7244001E+04   0.7523427E+03
    1.0000  -0.4763250E+00  -0.1765338E+00  -0.4529447E+00   0.5769800E+00  -0.6390025E-01   0.3817313E+00   0.7933481E+00   0.5001710E+00   0.1644348E+01   0.9102265E+00   0.3520080E+00  -0.1497037E-01   0.7422383E-01  -0.1324499E+01  -0.1098544E+01  -0.4624375E+04  -0.1675764E+04  -0.4370245E+04   0.5681839E+04  -0.7267822E+03
    1.2000  -0.4091385E+00  -0.1463552E+00  -0.4401165E+00   0.3731207E+00  -0.2389629E+00   0.4814379E+00   0.8147097E+00   0.5945644E+00   0.1334616E+01   0.6324396E+00   0.5646342E+00   0.2788375E+00   0.3301797E+00  -0.1270509E+01  -0.1221173E+01  -0.3977681E+04  -0.1362359E+04  -0.4378045E+04   0.3757730E+04  -0.2372148E+04
    1.4000  -0.2951025E+00  -0.7984985E-01  -0.4221579E+00   0.1648286E+00  -0.4082238E+00   0.6665133E+00   0.9261034E+00   0.6502709E+00   0.1038967E+01   0.3218811E+00   0.9211891E+00   0.5746692E+00   0.1035427E+00  -0.1179289E+01  -0.1184721E+01  -0.2918858E+04  -0.7604919E+03  -0.4255190E+04   0.1779005E+04  -0.3889194E+04
    1.6000  -0.1596275E+00   0.4254964E-03  -0.4113764E+00  -0.7880127E-02  -0.5114785E+00   0.8819137E+00   0.1070272E+01   0.6524103E+00   0.8421556E+00   0.1181635E+00   0.7514673E+00   0.5086229E+00  -0.1362032E-01  -0.5052936E+00  -0.3026174E+00  -0.1677745E+04  -0.4852619E+02  -0.4117259E+04   0.7425037E+02  -0.4795842E+04
    1.8000  -0.4528369E-01   0.6232792E-01  -0.3927651E+00  -0.1263155E+00  -0.4956487E+00   0.1021518E+01   0.1165555E+01   0.6445405E+00   0.7940661E+00   0.1679067E+00   0.4469134E+00   0.2826101E+00   0.8499630E-01  -0.3404931E+00   0.5192825E+00  -0.5813657E+03   0.5239649E+03  -0.3880703E+04  -0.1217664E+04  -0.4711558E+04
    2.0000   0.2883325E-01   0.9393162E-01  -0.3503364E+00  -0.2408758E+00  -0.3985265E+00   0.1051464E+01   0.1196115E+01   0.6772557E+00   0.7110862E+00   0.3480092E+00  -0.9898587E-01  -0.4314102E-01   0.2280489E+00  -0.3801599E+00   0.8315132E+00   0.2237702E+03   0.8425811E+03  -0.3431299E+04  -0.2389545E+04  -0.3859453E+04
    2.2000   0.7090031E-01   0.8725071E-01  -0.2832215E+00  -0.3420452E+00  -0.2671431E+00   0.9745449E+00   0.1130787E+01   0.7452269E+00   0.6433925E+00   0.5387755E+00   0.1401708E-01  -0.2941543E+00   0.4948049E+00  -0.3748907E+00   0.8400951E+00   0.8283574E+03   0.8734061E+03  -0.2747073E+04  -0.3418183E+04  -0.2575611E+04
    2.4000   0.1650145E+00   0.7828176E-01  -0.1786096E+00  -0.4386795E+00  -0.1092051E+00   0.1066684E+01   0.1074157E+01   0.9096550E+00   0.5415512E+00   0.7407079E+00   0.7152932E+00   0.7787761E-02   0.7727833E+00  -0.4224679E+00   0.1118729E+01   0.1757745E+04   0.8659006E+03  -0.1782414E+04  -0.4347104E+04  -0.9710364E+03
    2.6000   0.2905009E+00   0.1019046E+00  -0.6961265E-01  -0.5116937E+00   0.9685384E-01   0.1251664E+01   0.1130689E+01   0.1081629E+01   0.4658587E+00   0.1056025E+01   0.7089340E+00   0.3481394E+00   0.5827183E+00  -0.2413172E+00   0.1562889E+01   0.2904901E+04   0.1045874E+04  -0.7841422E+03  -0.5046102E+04   0.1002615E+04
    2.8000   0.4027762E+00   0.1346423E+00   0.9449462E-02  -0.5524586E+00   0.3209336E+00   0.1413973E+01   0.1232637E+01   0.1180552E+01   0.4273825E+00   0.1438604E+01   0.6572400E+00   0.2683535E+00   0.2633546E+00  -0.4665085E-01   0.1407040E+01   0.3954766E+04   0.1254590E+04  -0.1406024E+02  -0.5434542E+04   0.3064953E+04
    3.0000   0.4855963E+00   0.1303168E+00   0.5063074E-01  -0.5559350E+00   0.4838436E+00   0.1536611E+01   0.1250312E+01   0.1191770E+01   0.4435659E+00   0.1678628E+01   0.2938476E+00  -0.2006317E+00   0.1544997E-02   0.1484482E+00   0.7303527E+00   0.4734074E+04   0.1174308E+04   0.4516615E+03  -0.5463993E+04   0.4644587E+04
    3.2000   0.5169454E+00   0.7931006E-01   0.7887958E-01  -0.5245507E+00   0.5793822E+00   0.1554201E+01   0.1158123E+01   0.1196233E+01   0.4985180E+00   0.1801829E+01   0.7066261E-02  -0.4616705E+00   0.1199902E+00   0.4528988E+00   0.4550558E+00   0.5076756E+04   0.7235290E+03   0.7556369E+03  -0.5145019E+04   0.5606988E+04
    3.4000   0.5162916E+00   0.1057849E-01   0.1042842E+00  -0.4438949E+00   0.6177694E+00   0.1542861E+01   0.1040765E+01   0.1228654E+01   0.6645633E+00   0.1862287E+01  -0.1250708E+00  -0.5113416E+00   0.1675537E-02   0.7461116E+00  -0.2782894E-01   0.5080990E+04   0.8859872E+02   0.9577985E+03  -0.4434303E+04   0.5966027E+04
    3.6000   0.4805129E+00  -0.5939463E-01   0.9805406E-01  -0.3571076E+00   0.5753727E+00   0.1481907E+01   0.9263540E+00   0.1192369E+01   0.8160570E+00   0.1779764E+01  -0.3735661E+00  -0.4502667E+00  -0.3037944E+00   0.4975669E+00  -0.5713142E+00   0.4750355E+04  -0.5891105E+03   0.8950463E+03  -0.3634194E+04   0.5597813E+04
    3.8000   0.4145046E+00  -0.1212998E+00   0.6004559E-01  -0.2858881E+00   0.4703507E+00   0.1377389E+01   0.8349519E+00   0.1085248E+01   0.9135724E+00   0.1602256E+01  -0.4294619E+00  -0.4590618E+00  -0.5133726E+00   0.3772682E+00  -0.7743337E+00   0.4148712E+04  -0.1219843E+04   0.5807486E+03  -0.2933916E+04   0.4653747E+04
    4.0000   0.3412636E+00  -0.1889896E+00   0.1495603E-01  -0.2276355E+00   0.3418599E+00   0.1289751E+01   0.7006027E+00   0.9629165E+00   0.9795864E+00   0.1428878E+01  -0.3127119E+00  -0.6133754E+00  -0.3696459E+00   0.2227251E+00  -0.6857342E+00   0.3446235E+04  -0.1839595E+04   0.2023466E+03  -0.2363349E+04   0.3433265E+04
    4.2000   0.2734810E+00  -0.2413929E+00  -0.8316488E-02  -0.1856299E+00   0.2108329E+00   0.1245223E+01   0.5701702E+00   0.9062104E+00   0.1015841E+01   0.1294905E+01  -0.1534204E+00  -0.3125962E+00  -0.2103928E+00   0.1964225E-01  -0.5083500E+00   0.2736381E+04  -0.2275146E+04  -0.2262039E+02  -0.1961530E+04   0.2119864E+04
    4.4000   0.2085222E+00  -0.2412353E+00  -0.2266892E-01  -0.1772657E+00   0.8519053E-01   0.1239224E+01   0.5474988E+00   0.8478917E+00   0.9603091E+00   0.1221646E+01  -0.1820344E+00   0.8293431E-01  -0.1473814E+00  -0.3333287E+00  -0.4631816E+00   0.1983032E+04  -0.2263153E+04  -0.1153114E+03  -0.1815414E+04   0.7705906E+03
