
These predictions were generated by SeaState on 29-Sep-2025 at 15:43:52.




      Time       Wave1Elev       Wave1Elv1       Wave1Elv2       Wave2Elev       Wave2Elv1       Wave2Elv2         FVel1xi         FVel1yi         FVel1zi         FAcc1xi         FAcc1yi         FAcc1zi          FDynP1         FVel2xi         FVel2yi         FVel2zi         FAcc2xi         FAcc2yi         FAcc2zi          FDynP2
   (sec)             (m)             (m)             (m)             (m)             (m)             (m)           (m/s)           (m/s)           (m/s)         (m/s^2)         (m/s^2)         (m/s^2)            (Pa)           (m/s)           (m/s)           (m/s)         (m/s^2)         (m/s^2)         (m/s^2)            (Pa)
    0.0000   0.1119181E+00   0.1119181E+00   0.0000000E+00  -0.3520893E+00  -0.3520893E+00   0.0000000E+00  -0.4804197E-01   0.0000000E+00  -0.5362913E-01   0.1151053E-01   0.0000000E+00   0.3787576E-01  -0.6881049E+03  -0.8967356E-01   0.0000000E+00  -0.8940819E-01  -0.5720304E-01   0.0000000E+00   0.5471075E-01  -0.1733251E+04
    0.1250   0.9812645E-01   0.9812645E-01   0.0000000E+00  -0.4012201E+00  -0.4012201E+00   0.0000000E+00  -0.4636312E-01   0.0000000E+00  -0.4923586E-01   0.1519335E-01   0.0000000E+00   0.3234307E-01  -0.7530779E+03  -0.9649102E-01   0.0000000E+00  -0.8220534E-01  -0.5175450E-01   0.0000000E+00   0.6043446E-01  -0.1841587E+04
    0.2500   0.8023782E-01   0.8023782E-01   0.0000000E+00  -0.4469917E+00  -0.4469917E+00   0.0000000E+00  -0.4428409E-01   0.0000000E+00  -0.4555857E-01   0.1790607E-01   0.0000000E+00   0.2644500E-01  -0.8129738E+03  -0.1025834E+00   0.0000000E+00  -0.7432671E-01  -0.4561463E-01   0.0000000E+00   0.6550694E-01  -0.1940427E+04
    0.3750   0.5848025E-01   0.5848025E-01   0.0000000E+00  -0.4884728E+00  -0.4884728E+00   0.0000000E+00  -0.4192866E-01   0.0000000E+00  -0.4263379E-01   0.1961028E-01   0.0000000E+00   0.2032791E-01  -0.8687147E+03  -0.1078695E+00   0.0000000E+00  -0.6585956E-01  -0.3887102E-01   0.0000000E+00   0.6983695E-01  -0.2028977E+04
    0.5000   0.3314669E-01   0.3314669E-01   0.0000000E+00  -0.5247769E+00  -0.5247769E+00   0.0000000E+00  -0.3942427E-01   0.0000000E+00  -0.4047947E-01   0.2028897E-01   0.0000000E+00   0.1414247E-01  -0.9212599E+03  -0.1122801E+00   0.0000000E+00  -0.5690172E-01  -0.3162390E-01   0.0000000E+00   0.7334578E-01  -0.2106555E+04
    0.6250   0.4586004E-02   0.4586004E-02   0.0000000E+00  -0.5550871E+00  -0.5550871E+00   0.0000000E+00  -0.3689896E-01   0.0000000E+00  -0.3909466E-01   0.1994713E-01   0.0000000E+00   0.8040615E-02  -0.9715769E+03  -0.1157591E+00   0.0000000E+00  -0.4756004E-01  -0.2398431E-01   0.0000000E+00   0.7596896E-01  -0.2172612E+04
    0.7500  -0.2680664E-01  -0.2680664E-01   0.0000000E+00  -0.5786798E+00  -0.5786798E+00   0.0000000E+00  -0.3447890E-01   0.0000000E+00  -0.3845956E-01   0.1861172E-01   0.0000000E+00   0.2172135E-02  -0.1020623E+04  -0.1182648E+00   0.0000000E+00  -0.3794843E-01  -0.1607200E-01   0.0000000E+00   0.7765785E-01  -0.2226735E+04
    0.8750  -0.6059832E-01  -0.6059832E-01   0.0000000E+00  -0.5949482E+00  -0.5949482E+00   0.0000000E+00  -0.3228545E-01   0.0000000E+00  -0.3853589E-01   0.1633125E-01   0.0000000E+00  -0.3318387E-02  -0.1069316E+04  -0.1197710E+00   0.0000000E+00  -0.2818584E-01  -0.8013160E-02   0.0000000E+00   0.7838086E-01  -0.2268657E+04
    1.0000  -0.9632764E-01  -0.9632764E-01   0.0000000E+00  -0.6034234E+00  -0.6034234E+00   0.0000000E+00  -0.3043262E-01   0.0000000E+00  -0.3926773E-01   0.1317477E-01   0.0000000E+00  -0.8294919E-02  -0.1118516E+04  -0.1202674E+00   0.0000000E+00  -0.1839406E-01   0.6212948E-04   0.0000000E+00   0.7812439E-01  -0.2298266E+04
