
These predictions were generated by SeaState on 20-Dec-2023 at 14:15:58.




      Time       Wave1Elev       Wave2Elev       Wave3Elev
   (sec)             (m)             (m)             (m)
    0.0000  -0.1631646E+00  -0.1855756E+00  -0.1086550E+00
    0.1000  -0.2470466E+00  -0.1832108E+00  -0.1066971E+00
    0.2000  -0.3185949E+00  -0.1694526E+00  -0.1062455E+00
    0.3000  -0.3715755E+00  -0.1506905E+00  -0.1072318E+00
    0.4000  -0.4011317E+00  -0.1349073E+00  -0.1071402E+00
    0.5000  -0.4053167E+00  -0.1280552E+00  -0.1031249E+00
    0.6000  -0.3861748E+00  -0.1314925E+00  -0.9432501E-01
    0.7000  -0.3497016E+00  -0.1417103E+00  -0.8313485E-01
    0.8000  -0.3044759E+00  -0.1524199E+00  -0.7473565E-01
    0.9000  -0.2593863E+00  -0.1578772E+00  -0.7509587E-01
    1.0000  -0.2213303E+00  -0.1557173E+00  -0.8841412E-01
    1.1000  -0.1937902E+00  -0.1478658E+00  -0.1152354E+00
    1.2000  -0.1767639E+00  -0.1391265E+00  -0.1520965E+00
    1.3000  -0.1678732E+00  -0.1342689E+00  -0.1927805E+00
    1.4000  -0.1639419E+00  -0.1352113E+00  -0.2304976E+00
    1.5000  -0.1622159E+00  -0.1398074E+00  -0.2599531E+00
    1.6000  -0.1607252E+00  -0.1428720E+00  -0.2784536E+00
    1.7000  -0.1578691E+00  -0.1388825E+00  -0.2857874E+00
    1.8000  -0.1517852E+00  -0.1249193E+00  -0.2832455E+00
    1.9000  -0.1401752E+00  -0.1023029E+00  -0.2724915E+00
    2.0000  -0.1209240E+00  -0.7609641E-01  -0.2548910E+00
    2.1000  -0.9328945E-01  -0.5275759E-01  -0.2314984E+00
    2.2000  -0.5898119E-01  -0.3716981E-01  -0.2034543E+00
    2.3000  -0.2237657E-01  -0.3054636E-01  -0.1723337E+00
    2.4000   0.1048431E-01  -0.3019544E-01  -0.1401033E+00
    2.5000   0.3385106E-01  -0.3113882E-01  -0.1086897E+00
    2.6000   0.4434527E-01  -0.2864657E-01  -0.7945909E-01
    2.7000   0.4222502E-01  -0.2035636E-01  -0.5298568E-01
    2.8000   0.3124263E-01  -0.6966113E-02  -0.2927286E-01
    2.9000   0.1717052E-01   0.8699026E-02  -0.8258502E-02
    3.0000   0.5692517E-02   0.2359126E-01   0.9793823E-02
    3.1000   0.6074463E-03   0.3622794E-01   0.2436534E-01
    3.2000   0.3064429E-02   0.4744526E-01   0.3525344E-01
    3.3000   0.1197560E-01   0.5983204E-01   0.4330532E-01
    3.4000   0.2517048E-01   0.7627979E-01   0.5078247E-01
    3.5000   0.4056691E-01   0.9848730E-01   0.6096612E-01
    3.6000   0.5676969E-01   0.1261716E+00   0.7702895E-01
    3.7000   0.7295194E-01   0.1572559E+00   0.1006518E+00
    3.8000   0.8834525E-01   0.1887428E+00   0.1310782E+00
    3.9000   0.1018706E+00   0.2176664E+00   0.1651206E+00
    4.0000   0.1122913E+00   0.2416051E+00   0.1981475E+00
    4.1000   0.1188590E+00   0.2586200E+00   0.2255646E+00
    4.2000   0.1220326E+00   0.2669065E+00   0.2440487E+00
    4.3000   0.1237257E+00   0.2646300E+00   0.2519720E+00
    4.4000   0.1267726E+00   0.2502527E+00   0.2489575E+00
    4.5000   0.1337571E+00   0.2232731E+00   0.2350339E+00
    4.6000   0.1457600E+00   0.1849464E+00   0.2101000E+00
