
These predictions were generated by SeaState on 31-May-2023 at 21:35:36.




      Time       Wave1Elev
   (sec)             (m)
    0.0000   0.1119182E+00
    0.1250   0.9812666E-01
    0.2500   0.8023813E-01
    0.3750   0.5848059E-01
    0.5000   0.3314713E-01
    0.6250   0.4586512E-02
    0.7500  -0.2680608E-01
    0.8750  -0.6059769E-01
    1.0000  -0.9632700E-01
    1.1250  -0.1335116E+00
    1.2500  -0.1716558E+00
    1.3750  -0.2102565E+00
    1.5000  -0.2488090E+00
    1.6250  -0.2868114E+00
    1.7500  -0.3237685E+00
    1.8750  -0.3591951E+00
    2.0000  -0.3926189E+00
    2.1250  -0.4235835E+00
    2.2500  -0.4516504E+00
    2.3750  -0.4764028E+00
    2.5000  -0.4974485E+00
    2.6250  -0.5144241E+00
    2.7500  -0.5269992E+00
    2.8750  -0.5348825E+00
    3.0000  -0.5378267E+00
    3.1250  -0.5356362E+00
    3.2500  -0.5281733E+00
    3.3750  -0.5153656E+00
    3.5000  -0.4972128E+00
    3.6250  -0.4737942E+00
    3.7500  -0.4452730E+00
    3.8750  -0.4119023E+00
    4.0000  -0.3740280E+00
    4.1250  -0.3320893E+00
    4.2500  -0.2866179E+00
    4.3750  -0.2382351E+00
    4.5000  -0.1876441E+00
    4.6250  -0.1356224E+00
    4.7500  -0.8300869E-01
    4.8750  -0.3068902E-01
    5.0000   0.2042112E-01
    5.1250   0.6939586E-01
    5.2500   0.1153199E+00
    5.3750   0.1573114E+00
    5.5000   0.1945444E+00
    5.6250   0.2262725E+00
    5.7500   0.2518506E+00
    5.8750   0.2707554E+00
    6.0000   0.2826045E+00
    6.1250   0.2871714E+00
    6.2500   0.2843976E+00
    6.3750   0.2743999E+00
    6.5000   0.2574744E+00
    6.6250   0.2340935E+00
    6.7500   0.2049000E+00
    6.8750   0.1706944E+00
    7.0000   0.1324183E+00
    7.1250   0.9113211E-01
    7.2500   0.4798991E-01
    7.3750   0.4209824E-02
    7.5000  -0.3895820E-01
    7.6250  -0.8026618E-01
    7.7500  -0.1185029E+00
    7.8750  -0.1525283E+00
    8.0000  -0.1813068E+00
    8.1250  -0.2039388E+00
    8.2500  -0.2196877E+00
    8.3750  -0.2280034E+00
    8.5000  -0.2285406E+00
    8.6250  -0.2211716E+00
    8.7500  -0.2059919E+00
    8.8750  -0.1833199E+00
    9.0000  -0.1536904E+00
    9.1250  -0.1178399E+00
    9.2500  -0.7668740E-01
    9.3750  -0.3130810E-01
    9.5000   0.1709717E-01
    9.6250   0.6723694E-01
    9.7500   0.1177672E+00
    9.8750   0.1673309E+00
   10.0000   0.2145993E+00
   10.1250   0.2583114E+00
   10.2500   0.2973119E+00
   10.3750   0.3305866E+00
   10.5000   0.3572933E+00
   10.6250   0.3767867E+00
   10.7500   0.3886377E+00
   10.8750   0.3926461E+00
   11.0000   0.3888465E+00
   11.1250   0.3775050E+00
   11.2500   0.3591101E+00
   11.3750   0.3343565E+00
   11.5000   0.3041212E+00
   11.6250   0.2694342E+00
   11.7500   0.2314453E+00
   11.8750   0.1913848E+00
   12.0000   0.1505248E+00
   12.1250   0.1101358E+00
   12.2500   0.7144620E-01
   12.3750   0.3560179E-01
   12.5000   0.3628629E-02
   12.6250  -0.2359955E-01
   12.7500  -0.4538997E-01
   12.8750  -0.6125163E-01
   13.0000  -0.7091079E-01
   13.1250  -0.7431748E-01
   13.2500  -0.7164608E-01
   13.3750  -0.6328672E-01
   13.5000  -0.4983031E-01
   13.6250  -0.3204567E-01
   13.7500  -0.1085209E-01
   13.8750   0.1271483E-01
   14.0000   0.3754054E-01
   14.1250   0.6247166E-01
   14.2500   0.8635763E-01
   14.3750   0.1080923E+00
   14.5000   0.1266540E+00
   14.6250   0.1411426E+00
   14.7500   0.1508123E+00
   14.8750   0.1550994E+00
   15.0000   0.1536440E+00
   15.1250   0.1463041E+00
   15.2500   0.1331623E+00
   15.3750   0.1145254E+00
   15.5000   0.9091478E-01
   15.6250   0.6305111E-01
   15.7500   0.3183043E-01
   15.8750  -0.1704267E-02
   16.0000  -0.3639912E-01
   16.1250  -0.7102638E-01
   16.2500  -0.1043270E+00
   16.3750  -0.1350528E+00
   16.5000  -0.1620092E+00
   16.6250  -0.1840967E+00
   16.7500  -0.2003482E+00
   16.8750  -0.2099639E+00
   17.0000  -0.2123400E+00
   17.1250  -0.2070902E+00
   17.2500  -0.1940617E+00
   17.3750  -0.1733433E+00
   17.5000  -0.1452650E+00
   17.6250  -0.1103897E+00
   17.7500  -0.6949937E-01
   17.8750  -0.2357163E-01
   18.0000   0.2624812E-01
   18.1250   0.7868025E-01
   18.2500   0.1323491E+00
   18.3750   0.1858236E+00
   18.5000   0.2376589E+00
   18.6250   0.2864392E+00
   18.7500   0.3308184E+00
   18.8750   0.3695590E+00
   19.0000   0.4015666E+00
   19.1250   0.4259197E+00
   19.2500   0.4418938E+00
   19.3750   0.4489797E+00
   19.5000   0.4468933E+00
   19.6250   0.4355803E+00
   19.7500   0.4152125E+00
   19.8750   0.3861781E+00
   20.0000   0.3490645E+00
   20.1250   0.3046370E+00
   20.2500   0.2538124E+00
   20.3750   0.1976276E+00
   20.5000   0.1372078E+00
   20.6250   0.7373197E-01
   20.7500   0.8397929E-02
   20.8750  -0.5761047E-01
   21.0000  -0.1231541E+00
   21.1250  -0.1871679E+00
   21.2500  -0.2486832E+00
   21.3750  -0.3068490E+00
   21.5000  -0.3609440E+00
   21.6250  -0.4103872E+00
   21.7500  -0.4547396E+00
   21.8750  -0.4937031E+00
   22.0000  -0.5271121E+00
   22.1250  -0.5549234E+00
   22.2500  -0.5771999E+00
   22.3750  -0.5940925E+00
   22.5000  -0.6058195E+00
   22.6250  -0.6126468E+00
   22.7500  -0.6148655E+00
   22.8750  -0.6127724E+00
   23.0000  -0.6066512E+00
   23.1250  -0.5967593E+00
   23.2500  -0.5833129E+00
   23.3750  -0.5664819E+00
   23.5000  -0.5463843E+00
   23.6250  -0.5230876E+00
   23.7500  -0.4966143E+00
   23.8750  -0.4669504E+00
   24.0000  -0.4340583E+00
   24.1250  -0.3978923E+00
   24.2500  -0.3584166E+00
   24.3750  -0.3156238E+00
   24.5000  -0.2695544E+00
   24.6250  -0.2203160E+00
   24.7500  -0.1680984E+00
   24.8750  -0.1131894E+00
   25.0000  -0.5598439E-01
   25.1250   0.3006852E-02
   25.2500   0.6315926E-01
   25.3750   0.1237356E+00
   25.5000   0.1838964E+00
   25.6250   0.2427141E+00
   25.7500   0.2991924E+00
   25.8750   0.3522907E+00
   26.0000   0.4009528E+00
   26.1250   0.4441361E+00
   26.2500   0.4808471E+00
   26.3750   0.5101730E+00
   26.5000   0.5313165E+00
   26.6250   0.5436265E+00
   26.7500   0.5466277E+00
   26.8750   0.5400440E+00
   27.0000   0.5238183E+00
   27.1250   0.4981266E+00
   27.2500   0.4633828E+00
   27.3750   0.4202383E+00
   27.5000   0.3695733E+00
   27.6250   0.3124805E+00
   27.7500   0.2502411E+00
   27.8750   0.1842945E+00
   28.0000   0.1162015E+00
   28.1250   0.4760335E-01
   28.2500  -0.1982399E-01
   28.3750  -0.8441713E-01
   28.5000  -0.1445741E+00
   28.6250  -0.1988010E+00
   28.7500  -0.2457581E+00
   28.8750  -0.2843014E+00
   29.0000  -0.3135181E+00
   29.1250  -0.3327561E+00
   29.2500  -0.3416466E+00
   29.3750  -0.3401163E+00
   29.5000  -0.3283920E+00
   29.6250  -0.3069951E+00
   29.7500  -0.2767268E+00
   29.8750  -0.2386446E+00
   30.0000  -0.1940293E+00
   30.1250  -0.1443464E+00
   30.2500  -0.9119993E-01
   30.3750  -0.3628100E-01
   30.5000   0.1868505E-01
   30.6250   0.7199438E-01
   30.7500   0.1220195E+00
   30.8750   0.1672623E+00
   31.0000   0.2064024E+00
   31.1250   0.2383405E+00
   31.2500   0.2622344E+00
   31.3750   0.2775275E+00
   31.5000   0.2839669E+00
   31.6250   0.2816111E+00
   31.7500   0.2708296E+00
   31.8750   0.2522899E+00
   32.0000   0.2269347E+00
   32.1250   0.1959520E+00
   32.2500   0.1607334E+00
   32.3750   0.1228279E+00
   32.5000   0.8388897E-01
   32.6250   0.4561826E-01
   32.7500   0.9706803E-02
   32.8750  -0.2222383E-01
   33.0000  -0.4867778E-01
   33.1250  -0.6833832E-01
   33.2500  -0.8011515E-01
   33.3750  -0.8318537E-01
   33.5000  -0.7702471E-01
   33.6250  -0.6143013E-01
   33.7500  -0.3653163E-01
   33.8750  -0.2793795E-02
   34.0000   0.3899459E-01
   34.1250   0.8774050E-01
   34.2500   0.1420775E+00
   34.3750   0.2004049E+00
   34.5000   0.2609353E+00
   34.6250   0.3217483E+00
   34.7500   0.3808491E+00
   34.8750   0.4362285E+00
   35.0000   0.4859259E+00
   35.1250   0.5280896E+00
   35.2500   0.5610340E+00
   35.3750   0.5832931E+00
   35.5000   0.5936657E+00
   35.6250   0.5912542E+00
   35.7500   0.5754936E+00
   35.8750   0.5461695E+00
   36.0000   0.5034279E+00
   36.1250   0.4477711E+00
   36.2500   0.3800460E+00
   36.3750   0.3014205E+00
   36.5000   0.2133505E+00
   36.6250   0.1175403E+00
   36.7500   0.1589410E-01
   36.8750  -0.8953595E-01
   37.0000  -0.1966066E+00
   37.1250  -0.3031409E+00
   37.2500  -0.4069869E+00
   37.3750  -0.5060722E+00
   37.5000  -0.5984583E+00
   37.6250  -0.6823865E+00
   37.7500  -0.7563188E+00
   37.8750  -0.8189711E+00
   38.0000  -0.8693382E+00
   38.1250  -0.9067091E+00
   38.2500  -0.9306732E+00
   38.3750  -0.9411181E+00
   38.5000  -0.9382176E+00
   38.6250  -0.9224128E+00
   38.7500  -0.8943848E+00
   38.8750  -0.8550232E+00
   39.0000  -0.8053876E+00
   39.1250  -0.7466687E+00
   39.2500  -0.6801454E+00
   39.3750  -0.6071437E+00
   39.5000  -0.5289953E+00
   39.6250  -0.4470007E+00
   39.7500  -0.3623954E+00
   39.8750  -0.2763214E+00
   40.0000  -0.1898044E+00
   40.1250  -0.1037391E+00
   40.2500  -0.1887884E-01
   40.3750   0.6416542E-01
   40.5000   0.1449211E+00
   40.6250   0.2230427E+00
   40.7500   0.2982955E+00
   40.8750   0.3705346E+00
   41.0000   0.4396818E+00
   41.1250   0.5056973E+00
   41.2500   0.5685538E+00
   41.3750   0.6282094E+00
   41.5000   0.6845824E+00
   41.6250   0.7375294E+00
   41.7500   0.7868277E+00
   41.8750   0.8321614E+00
   42.0000   0.8731157E+00
   42.1250   0.9091744E+00
   42.2500   0.9397272E+00
   42.3750   0.9640798E+00
   42.5000   0.9814732E+00
   42.6250   0.9911066E+00
   42.7500   0.9921660E+00
   42.8750   0.9838563E+00
   43.0000   0.9654356E+00
   43.1250   0.9362513E+00
   43.2500   0.8957765E+00
   43.3750   0.8436425E+00
   43.5000   0.7796725E+00
   43.6250   0.7039061E+00
   43.7500   0.6166233E+00
   43.8750   0.5183580E+00
   44.0000   0.4099063E+00
   44.1250   0.2923266E+00
   44.2500   0.1669306E+00
   44.3750   0.3526733E-01
   44.5000  -0.1009024E+00
   44.6250  -0.2396369E+00
   44.7500  -0.3788539E+00
   44.8750  -0.5163752E+00
   45.0000  -0.6499751E+00
   45.1250  -0.7774332E+00
   45.2500  -0.8965883E+00
   45.3750  -0.1005393E+01
   45.5000  -0.1101964E+01
   45.6250  -0.1184633E+01
   45.7500  -0.1251991E+01
   45.8750  -0.1302923E+01
   46.0000  -0.1336643E+01
   46.1250  -0.1352715E+01
   46.2500  -0.1351062E+01
   46.3750  -0.1331976E+01
   46.5000  -0.1296107E+01
   46.6250  -0.1244449E+01
   46.7500  -0.1178317E+01
   46.8750  -0.1099306E+01
   47.0000  -0.1009260E+01
   47.1250  -0.9102165E+00
   47.2500  -0.8043566E+00
   47.3750  -0.6939496E+00
   47.5000  -0.5812933E+00
   47.6250  -0.4686569E+00
   47.7500  -0.3582228E+00
   47.8750  -0.2520343E+00
   48.0000  -0.1519438E+00
   48.1250  -0.5957202E-01
   48.2500   0.2373057E-01
   48.3750   0.9691183E-01
   48.5000   0.1592368E+00
