
These predictions were generated by SubDyn on 27-Nov-2023 at 17:39:51.




    Time	  M1N1TDxss	  M1N2TDxss
       s	        (m)	        (m)
    0.0000	-7.0380E-03	 1.0822E-02
    0.0050	-1.4726E-03	 2.6894E-02
    0.0100	 1.4480E-02	 7.2963E-02
    0.0150	 3.9024E-02	 1.4384E-01
    0.0200	 6.9618E-02	 2.3219E-01
    0.0250	 1.0325E-01	 3.2930E-01
    0.0300	 1.3669E-01	 4.2589E-01
    0.0350	 1.6685E-01	 5.1298E-01
    0.0400	 1.9102E-01	 5.8278E-01
    0.0450	 2.0714E-01	 6.2932E-01
    0.0500	 2.1394E-01	 6.4897E-01
    0.0550	 2.1109E-01	 6.4073E-01
    0.0600	 1.9913E-01	 6.0619E-01
    0.0650	 1.7945E-01	 5.4936E-01
    0.0700	 1.5411E-01	 4.7619E-01
    0.0750	 1.2564E-01	 3.9397E-01
    0.0800	 9.6777E-02	 3.1062E-01
    0.0850	 7.0216E-02	 2.3392E-01
    0.0900	 4.8356E-02	 1.7079E-01
    0.0950	 3.3085E-02	 1.2669E-01
    0.1000	 2.5625E-02	 1.0515E-01
    0.1050	 2.6434E-02	 1.0748E-01
    0.1100	 3.5186E-02	 1.3276E-01
    0.1150	 5.0830E-02	 1.7793E-01
    0.1200	 7.1704E-02	 2.3821E-01
    0.1250	 9.5710E-02	 3.0754E-01
    0.1300	 1.2052E-01	 3.7919E-01
    0.1350	 1.4381E-01	 4.4645E-01
    0.1400	 1.6346E-01	 5.0320E-01
    0.1450	 1.7775E-01	 5.4447E-01
    0.1500	 1.8552E-01	 5.6690E-01
    0.1550	 1.8624E-01	 5.6897E-01
    0.1600	 1.8005E-01	 5.5111E-01
    0.1650	 1.6775E-01	 5.1557E-01
    0.1700	 1.5065E-01	 4.6619E-01
    0.1750	 1.3049E-01	 4.0798E-01
    0.1800	 1.0924E-01	 3.4661E-01
    0.1850	 8.8900E-02	 2.8787E-01
    0.1900	 7.1339E-02	 2.3716E-01
    0.1950	 5.8102E-02	 1.9894E-01
    0.2000	 5.0290E-02	 1.7637E-01
    0.2050	 4.8465E-02	 1.7110E-01
    0.2100	 5.2616E-02	 1.8309E-01
    0.2150	 6.2177E-02	 2.1070E-01
    0.2200	 7.6097E-02	 2.5090E-01
    0.2250	 9.2951E-02	 2.9957E-01
    0.2300	 1.1108E-01	 3.5194E-01
    0.2350	 1.2877E-01	 4.0302E-01
    0.2400	 1.4439E-01	 4.4811E-01
    0.2450	 1.5654E-01	 4.8319E-01
    0.2500	 1.6420E-01	 5.0532E-01
    0.2550	 1.6680E-01	 5.1283E-01
    0.2600	 1.6424E-01	 5.0545E-01
    0.2650	 1.5692E-01	 4.8432E-01
    0.2700	 1.4567E-01	 4.5182E-01
    0.2750	 1.3164E-01	 4.1131E-01
    0.2800	 1.1623E-01	 3.6680E-01
    0.2850	 1.0091E-01	 3.2255E-01
    0.2900	 8.7093E-02	 2.8266E-01
    0.2950	 7.6026E-02	 2.5070E-01
    0.3000	 6.8653E-02	 2.2940E-01
    0.3050	 6.5547E-02	 2.2043E-01
    0.3100	 6.6868E-02	 2.2425E-01
    0.3150	 7.2360E-02	 2.4011E-01
    0.3200	 8.1388E-02	 2.6618E-01
    0.3250	 9.3005E-02	 2.9973E-01
    0.3300	 1.0605E-01	 3.3741E-01
    0.3350	 1.1928E-01	 3.7560E-01
    0.3400	 1.3145E-01	 4.1074E-01
    0.3450	 1.4146E-01	 4.3965E-01
    0.3500	 1.4844E-01	 4.5983E-01
    0.3550	 1.5185E-01	 4.6967E-01
    0.3600	 1.5147E-01	 4.6857E-01
    0.3650	 1.4745E-01	 4.5696E-01
    0.3700	 1.4027E-01	 4.3623E-01
    0.3750	 1.3070E-01	 4.0859E-01
    0.3800	 1.1970E-01	 3.7681E-01
    0.3850	 1.0833E-01	 3.4398E-01
    0.3900	 9.7658E-02	 3.1316E-01
    0.3950	 8.8659E-02	 2.8718E-01
    0.4000	 8.2118E-02	 2.6829E-01
    0.4050	 7.8568E-02	 2.5804E-01
    0.4100	 7.8248E-02	 2.5711E-01
    0.4150	 8.1092E-02	 2.6532E-01
    0.4200	 8.6738E-02	 2.8163E-01
    0.4250	 9.4580E-02	 3.0428E-01
    0.4300	 1.0382E-01	 3.3096E-01
    0.4350	 1.1356E-01	 3.5909E-01
    0.4400	 1.2288E-01	 3.8599E-01
    0.4450	 1.3092E-01	 4.0922E-01
    0.4500	 1.3698E-01	 4.2672E-01
    0.4550	 1.4055E-01	 4.3703E-01
    0.4600	 1.4138E-01	 4.3943E-01
    0.4650	 1.3947E-01	 4.3391E-01
    0.4700	 1.3508E-01	 4.2124E-01
    0.4750	 1.2870E-01	 4.0280E-01
    0.4800	 1.2097E-01	 3.8049E-01
    0.4850	 1.1266E-01	 3.5649E-01
    0.4900	 1.0456E-01	 3.3309E-01
    0.4950	 9.7406E-02	 3.1244E-01
    0.5000	 9.1843E-02	 2.9637E-01
    0.5050	 8.8338E-02	 2.8625E-01
    0.5100	 8.7154E-02	 2.8283E-01
    0.5150	 8.8332E-02	 2.8623E-01
    0.5200	 9.1691E-02	 2.9593E-01
