node x-location [m]		x-deflection [m]	z-deflection [m]	Shear Force Fz [N]	Bending moment My [Nm]
0.00						0					0					-763360				532740
0.50						-0.00018265			-8.5147E-06			-740020				156900
1.00						-0.0003653			-0.000017797		-716690				-207280
1.00						-0.0003653			-0.000017797		-716690				-207280
1.50						-0.00054796			-0.000014319		-693360				-559790
2.00						-0.00073061			-0.000007131		-670020				-900640
2.50						-0.00091326			5.8969E-06			-646690				-1229800
3.00						-0.0010959			0.000026821			-623350				-1547300
3.50						-0.0012786			0.000057626			-600020				-1853200
4.00						-0.0014612			0.00010022			-576690				-2147300
4.50						-0.0016439			0.00015645			-553350				-2429900
5.00						-0.0018265			0.00022807			-530020				-2700700
5.50						-0.0020092			0.00031677			-506690				-2959900
6.00						-0.0021918			0.00042419			-483350				-3207400
6.50						-0.0023745			0.00055185			-460020				-3443200
7.00						-0.0025571			0.00070124			-436690				-3667400
7.50						-0.0027398			0.00087376			-413350				-3879900
8.00						-0.0029224			0.0010707			-390020				-4080800
8.50						-0.0031051			0.0012934			-366680				-4269900
9.00						-0.0032877			0.001543			-343350				-4447400
9.50						-0.0034704			0.0018206			-320020				-4613300
10.00						-0.003653			0.0021272			-296680				-4767500
10.50						-0.0038357			0.0024638			-273350				-4910000
11.00						-0.0040183			0.0028313			-250020				-5040800
11.50						-0.004201			0.0032305			-226680				-5160000
12.00						-0.0043837			0.0036621			-203350				-5267500
12.50						-0.0045663			0.0041269			-180010				-5363300
13.00						-0.004749			0.0046254			-156680				-5447500
13.50						-0.0049316			0.0051582			-133350				-5520000
14.00						-0.0051143			0.0057256			-110010				-5580900
14.50						-0.0052969			0.0063282			-86680				-5630000
15.00						-0.0054796			0.0069661			-63346				-5667500
15.50						-0.0056622			0.0076397			-40012				-5693400
16.00						-0.0058449			0.008349			-16679				-5707500
16.50						-0.0060275			0.0090942			6655.1				-5710000
17.00						-0.0062102			0.0098753			29989				-5700900
17.50						-0.0063928			0.010692			53323				-5680100
18.00						-0.0065755			0.011545			76656				-5647600
18.50						-0.0067581			0.012433			99990				-5603400
19.00						-0.0069408			0.013356			123320				-5547600
19.50						-0.0071234			0.014315			146660				-5480100
20.00						-0.0073061			0.015307			169990				-5400900
20.50						-0.0074887			0.016334			193320				-5310100
21.00						-0.0076714			0.017394			216660				-5207600
21.50						-0.007854			0.018487			239990				-5093400
22.00						-0.0080367			0.019611			263330				-4967600
22.50						-0.0082193			0.020768			286660				-4830100
23.00						-0.008402			0.021954			309990				-4680900
23.50						-0.0085847			0.02317				333330				-4520100
24.00						-0.0087673			0.024414			356660				-4347600
24.50						-0.00895			0.025686			379990				-4163500
25.00						-0.0091326			0.026984			403330				-3967600
25.50						-0.0093153			0.028307			426660				-3760100
26.00						-0.0094979			0.029654			450000				-3541000
26.50						-0.0096806			0.031023			473330				-3310100
27.00						-0.0098632			0.032413			496660				-3067600
27.50						-0.010046			0.033822			520000				-2813500
28.00						-0.010229			0.035249			543330				-2547600
28.50						-0.010411			0.036692			566660				-2270100
29.00						-0.010594			0.03815				590000				-1981000
29.50						-0.010776			0.03962				613330				-1680100
30.00						-0.010959			0.041101			636670				-1367600
30.50						-0.011142			0.042591			660000				-1043500
31.00						-0.011324			0.044087			683330				-707640
31.50						-0.011507			0.045588			706670				-360140
32.00						-0.01169			0.047091			730000				-972.24
