
These predictions were generated by SubDyn on 05-Oct-2021 at 18:07:14.




    Time	  -IntfFXss	  -IntfFZss	  -IntfMYss	  IntfTDXss	  IntfTDZss	  M1N1TDxss	  M1N1TDzss	   M1N1FKze	  -M1N1FKye	  -M1N1MKxe	  M2N1TDxss	  M2N1TDzss	   M2N1FKze	  -M2N1FKye	  -M2N1MKxe	  M3N1TDxss	  M3N1TDzss	   M3N1FKze	  -M3N1FKye	  -M3N1MKxe	  M4N1TDxss	  M4N1TDzss	   M4N1FKze	  -M4N1FKye	  -M4N1MKxe	  M5N1TDxss	  M5N1TDzss	   M5N1FKze	  -M5N1FKye	  -M5N1MKxe	  M6N1TDxss	  M6N1TDzss	   M6N1FKze	  -M6N1FKye	  -M6N1MKxe	  M7N1TDxss	  M7N1TDzss	   M7N1FKze	  -M7N1FKye	  -M7N1MKxe	  M8N1TDxss	  M8N1TDzss	   M8N1FKze	  -M8N1FKye	  -M8N1MKxe	  M8N2TDxss	  M8N2TDzss	   M8N2FKze	  -M8N2FKye	  -M8N2MKxe
       s	        (N)	        (N)	       (Nm)	        (m)	        (m)	        (m)	        (m)	        (N)	        (N)	      (N*m)	        (m)	        (m)	        (N)	        (N)	      (N*m)	        (m)	        (m)	        (N)	        (N)	      (N*m)	        (m)	        (m)	        (N)	        (N)	      (N*m)	        (m)	        (m)	        (N)	        (N)	      (N*m)	        (m)	        (m)	        (N)	        (N)	      (N*m)	        (m)	        (m)	        (N)	        (N)	      (N*m)	        (m)	        (m)	        (N)	        (N)	      (N*m)	        (m)	        (m)	        (N)	        (N)	      (N*m)
    0.0000	-5.3100E+07	-7.6451E+05	 5.5205E+05	 0.0000E+00	 0.0000E+00	-3.6502E-04	-2.8210E-05	-5.3100E+07	-7.2248E+05	-1.8927E+05	-3.6502E-04	-2.8210E-05	-5.3100E+07	-4.0120E+05	-4.3577E+06	-7.3004E-04	-2.9624E-05	-5.3100E+07	-6.4775E+05	-8.8731E+05	-2.5551E-03	 6.2109E-04	-5.3100E+07	-4.1424E+05	-3.6590E+06	-4.3802E-03	 3.5287E-03	-5.3100E+07	-1.8072E+05	-5.2632E+06	-6.2053E-03	 9.6934E-03	-5.3100E+07	 5.2799E+04	-5.6997E+06	-8.0304E-03	 1.9387E-02	-5.3100E+07	 2.8632E+05	-4.9687E+06	-9.8555E-03	 3.2155E-02	-5.3100E+07	 5.1983E+05	-3.0701E+06	-1.1681E-02	 4.6812E-02	-5.3100E+07	 7.0665E+05	-3.8920E+03
    0.0100	-5.3100E+07	-7.6451E+05	 5.5205E+05	 0.0000E+00	 0.0000E+00	-3.6502E-04	-2.8210E-05	-5.3100E+07	-7.2248E+05	-1.8927E+05	-3.6502E-04	-2.8210E-05	-5.3100E+07	-4.0120E+05	-4.3577E+06	-7.3004E-04	-2.9624E-05	-5.3100E+07	-6.4775E+05	-8.8731E+05	-2.5551E-03	 6.2109E-04	-5.3100E+07	-4.1424E+05	-3.6590E+06	-4.3802E-03	 3.5287E-03	-5.3100E+07	-1.8072E+05	-5.2632E+06	-6.2053E-03	 9.6934E-03	-5.3100E+07	 5.2799E+04	-5.6997E+06	-8.0304E-03	 1.9387E-02	-5.3100E+07	 2.8632E+05	-4.9687E+06	-9.8555E-03	 3.2155E-02	-5.3100E+07	 5.1983E+05	-3.0701E+06	-1.1681E-02	 4.6812E-02	-5.3100E+07	 7.0665E+05	-3.8920E+03
    0.0200	-5.3100E+07	-7.6451E+05	 5.5205E+05	 0.0000E+00	 0.0000E+00	-3.6502E-04	-2.8210E-05	-5.3100E+07	-7.2248E+05	-1.8927E+05	-3.6502E-04	-2.8210E-05	-5.3100E+07	-4.0120E+05	-4.3577E+06	-7.3004E-04	-2.9624E-05	-5.3100E+07	-6.4775E+05	-8.8731E+05	-2.5551E-03	 6.2109E-04	-5.3100E+07	-4.1424E+05	-3.6590E+06	-4.3802E-03	 3.5287E-03	-5.3100E+07	-1.8072E+05	-5.2632E+06	-6.2053E-03	 9.6934E-03	-5.3100E+07	 5.2799E+04	-5.6997E+06	-8.0304E-03	 1.9387E-02	-5.3100E+07	 2.8632E+05	-4.9687E+06	-9.8555E-03	 3.2155E-02	-5.3100E+07	 5.1983E+05	-3.0701E+06	-1.1681E-02	 4.6812E-02	-5.3100E+07	 7.0665E+05	-3.8920E+03
    0.0300	-5.3100E+07	-7.6451E+05	 5.5205E+05	 0.0000E+00	 0.0000E+00	-3.6502E-04	-2.8210E-05	-5.3100E+07	-7.2248E+05	-1.8927E+05	-3.6502E-04	-2.8210E-05	-5.3100E+07	-4.0120E+05	-4.3577E+06	-7.3004E-04	-2.9624E-05	-5.3100E+07	-6.4775E+05	-8.8731E+05	-2.5551E-03	 6.2109E-04	-5.3100E+07	-4.1424E+05	-3.6590E+06	-4.3802E-03	 3.5287E-03	-5.3100E+07	-1.8072E+05	-5.2632E+06	-6.2053E-03	 9.6934E-03	-5.3100E+07	 5.2799E+04	-5.6997E+06	-8.0304E-03	 1.9387E-02	-5.3100E+07	 2.8632E+05	-4.9687E+06	-9.8555E-03	 3.2155E-02	-5.3100E+07	 5.1983E+05	-3.0701E+06	-1.1681E-02	 4.6812E-02	-5.3100E+07	 7.0665E+05	-3.8920E+03
    0.0400	-5.3100E+07	-7.6451E+05	 5.5205E+05	 0.0000E+00	 0.0000E+00	-3.6502E-04	-2.8210E-05	-5.3100E+07	-7.2248E+05	-1.8927E+05	-3.6502E-04	-2.8210E-05	-5.3100E+07	-4.0120E+05	-4.3577E+06	-7.3004E-04	-2.9624E-05	-5.3100E+07	-6.4775E+05	-8.8731E+05	-2.5551E-03	 6.2109E-04	-5.3100E+07	-4.1424E+05	-3.6590E+06	-4.3802E-03	 3.5287E-03	-5.3100E+07	-1.8072E+05	-5.2632E+06	-6.2053E-03	 9.6934E-03	-5.3100E+07	 5.2799E+04	-5.6997E+06	-8.0304E-03	 1.9387E-02	-5.3100E+07	 2.8632E+05	-4.9687E+06	-9.8555E-03	 3.2155E-02	-5.3100E+07	 5.1983E+05	-3.0701E+06	-1.1681E-02	 4.6812E-02	-5.3100E+07	 7.0665E+05	-3.8920E+03
    0.0500	-5.3100E+07	-7.6451E+05	 5.5205E+05	 0.0000E+00	 0.0000E+00	-3.6502E-04	-2.8210E-05	-5.3100E+07	-7.2248E+05	-1.8927E+05	-3.6502E-04	-2.8210E-05	-5.3100E+07	-4.0120E+05	-4.3577E+06	-7.3004E-04	-2.9624E-05	-5.3100E+07	-6.4775E+05	-8.8731E+05	-2.5551E-03	 6.2109E-04	-5.3100E+07	-4.1424E+05	-3.6590E+06	-4.3802E-03	 3.5287E-03	-5.3100E+07	-1.8072E+05	-5.2632E+06	-6.2053E-03	 9.6934E-03	-5.3100E+07	 5.2799E+04	-5.6997E+06	-8.0304E-03	 1.9387E-02	-5.3100E+07	 2.8632E+05	-4.9687E+06	-9.8555E-03	 3.2155E-02	-5.3100E+07	 5.1983E+05	-3.0701E+06	-1.1681E-02	 4.6812E-02	-5.3100E+07	 7.0665E+05	-3.8920E+03
    0.0600	-5.3100E+07	-7.6451E+05	 5.5205E+05	 0.0000E+00	 0.0000E+00	-3.6502E-04	-2.8210E-05	-5.3100E+07	-7.2248E+05	-1.8927E+05	-3.6502E-04	-2.8210E-05	-5.3100E+07	-4.0120E+05	-4.3577E+06	-7.3004E-04	-2.9624E-05	-5.3100E+07	-6.4775E+05	-8.8731E+05	-2.5551E-03	 6.2109E-04	-5.3100E+07	-4.1424E+05	-3.6590E+06	-4.3802E-03	 3.5287E-03	-5.3100E+07	-1.8072E+05	-5.2632E+06	-6.2053E-03	 9.6934E-03	-5.3100E+07	 5.2799E+04	-5.6997E+06	-8.0304E-03	 1.9387E-02	-5.3100E+07	 2.8632E+05	-4.9687E+06	-9.8555E-03	 3.2155E-02	-5.3100E+07	 5.1983E+05	-3.0701E+06	-1.1681E-02	 4.6812E-02	-5.3100E+07	 7.0665E+05	-3.8920E+03
    0.0700	-5.3100E+07	-7.6451E+05	 5.5205E+05	 0.0000E+00	 0.0000E+00	-3.6502E-04	-2.8210E-05	-5.3100E+07	-7.2248E+05	-1.8927E+05	-3.6502E-04	-2.8210E-05	-5.3100E+07	-4.0120E+05	-4.3577E+06	-7.3004E-04	-2.9624E-05	-5.3100E+07	-6.4775E+05	-8.8731E+05	-2.5551E-03	 6.2109E-04	-5.3100E+07	-4.1424E+05	-3.6590E+06	-4.3802E-03	 3.5287E-03	-5.3100E+07	-1.8072E+05	-5.2632E+06	-6.2053E-03	 9.6934E-03	-5.3100E+07	 5.2799E+04	-5.6997E+06	-8.0304E-03	 1.9387E-02	-5.3100E+07	 2.8632E+05	-4.9687E+06	-9.8555E-03	 3.2155E-02	-5.3100E+07	 5.1983E+05	-3.0701E+06	-1.1681E-02	 4.6812E-02	-5.3100E+07	 7.0665E+05	-3.8920E+03
    0.0800	-5.3100E+07	-7.6451E+05	 5.5205E+05	 0.0000E+00	 0.0000E+00	-3.6502E-04	-2.8210E-05	-5.3100E+07	-7.2248E+05	-1.8927E+05	-3.6502E-04	-2.8210E-05	-5.3100E+07	-4.0120E+05	-4.3577E+06	-7.3004E-04	-2.9624E-05	-5.3100E+07	-6.4775E+05	-8.8731E+05	-2.5551E-03	 6.2109E-04	-5.3100E+07	-4.1424E+05	-3.6590E+06	-4.3802E-03	 3.5287E-03	-5.3100E+07	-1.8072E+05	-5.2632E+06	-6.2053E-03	 9.6934E-03	-5.3100E+07	 5.2799E+04	-5.6997E+06	-8.0304E-03	 1.9387E-02	-5.3100E+07	 2.8632E+05	-4.9687E+06	-9.8555E-03	 3.2155E-02	-5.3100E+07	 5.1983E+05	-3.0701E+06	-1.1681E-02	 4.6812E-02	-5.3100E+07	 7.0665E+05	-3.8920E+03
    0.0900	-5.3100E+07	-7.6451E+05	 5.5205E+05	 0.0000E+00	 0.0000E+00	-3.6502E-04	-2.8210E-05	-5.3100E+07	-7.2248E+05	-1.8927E+05	-3.6502E-04	-2.8210E-05	-5.3100E+07	-4.0120E+05	-4.3577E+06	-7.3004E-04	-2.9624E-05	-5.3100E+07	-6.4775E+05	-8.8731E+05	-2.5551E-03	 6.2109E-04	-5.3100E+07	-4.1424E+05	-3.6590E+06	-4.3802E-03	 3.5287E-03	-5.3100E+07	-1.8072E+05	-5.2632E+06	-6.2053E-03	 9.6934E-03	-5.3100E+07	 5.2799E+04	-5.6997E+06	-8.0304E-03	 1.9387E-02	-5.3100E+07	 2.8632E+05	-4.9687E+06	-9.8555E-03	 3.2155E-02	-5.3100E+07	 5.1983E+05	-3.0701E+06	-1.1681E-02	 4.6812E-02	-5.3100E+07	 7.0665E+05	-3.8920E+03
