
These predictions were generated by SubDyn on 26-Jun-2026 at 16:42:50.




    Time	  -IntfFXss	  -IntfFZss	  -IntfMYss	  IntfTDXss	  IntfTDZss	  M1N1TDxss	  M1N1TDzss	   M1N1FKze	  -M1N1FKye	  -M1N1MKxe	  M2N1TDxss	  M2N1TDzss	   M2N1FKze	  -M2N1FKye	  -M2N1MKxe	  M3N1TDxss	  M3N1TDzss	   M3N1FKze	  -M3N1FKye	  -M3N1MKxe	  M4N1TDxss	  M4N1TDzss	   M4N1FKze	  -M4N1FKye	  -M4N1MKxe	  M5N1TDxss	  M5N1TDzss	   M5N1FKze	  -M5N1FKye	  -M5N1MKxe	  M6N1TDxss	  M6N1TDzss	   M6N1FKze	  -M6N1FKye	  -M6N1MKxe	  M7N1TDxss	  M7N1TDzss	   M7N1FKze	  -M7N1FKye	  -M7N1MKxe	  M8N1TDxss	  M8N1TDzss	   M8N1FKze	  -M8N1FKye	  -M8N1MKxe	  M8N2TDxss	  M8N2TDzss	   M8N2FKze	  -M8N2FKye	  -M8N2MKxe	   M9N1FKze
       s	        (N)	        (N)	      (N*m)	        (m)	        (m)	        (m)	        (m)	        (N)	        (N)	      (N*m)	        (m)	        (m)	        (N)	        (N)	      (N*m)	        (m)	        (m)	        (N)	        (N)	      (N*m)	        (m)	        (m)	        (N)	        (N)	      (N*m)	        (m)	        (m)	        (N)	        (N)	      (N*m)	        (m)	        (m)	        (N)	        (N)	      (N*m)	        (m)	        (m)	        (N)	        (N)	      (N*m)	        (m)	        (m)	        (N)	        (N)	      (N*m)	        (m)	        (m)	        (N)	        (N)	      (N*m)	        (N)
    0.0000	 -4.12858074E+06	 -8.49421955E+05	  3.26929944E+06	  0.00000000E+00	  0.00000000E+00	 -2.83806946E-05	 -5.32496483E-05	 -4.12858074E+06	 -8.02718433E+05	  2.44322924E+06	 -2.83806946E-05	 -5.32496483E-05	 -4.12858074E+06	 -8.02718433E+05	  2.44322924E+06	 -5.67613893E-05	 -1.66629003E-04	 -4.12858074E+06	 -7.56014912E+05	  1.66386257E+06	 -1.98664862E-04	 -9.95919137E-04	 -4.12858074E+06	 -5.22497303E+05	 -1.53241797E+06	 -3.40568336E-04	 -9.07835159E-04	 -4.12858074E+06	 -2.88979694E+05	 -3.56111046E+06	 -4.82471809E-04	  1.36253362E-03	 -4.12858074E+06	 -5.54620857E+04	 -4.42221491E+06	 -6.24375282E-04	  6.35209470E-03	 -4.12858074E+06	  1.78055523E+05	 -4.11573132E+06	 -7.66278755E-04	  1.38697524E-02	 -4.12858074E+06	  4.11573132E+05	 -2.64165968E+06	 -9.08182228E-04	  2.29964079E-02	 -4.12858074E+06	  6.45090740E+05	  9.25560016E-07	  4.17867455E+06
    0.0100	 -4.12858074E+06	 -8.49421955E+05	  3.26929944E+06	  0.00000000E+00	  0.00000000E+00	 -2.83806946E-05	 -5.32496483E-05	 -4.12858074E+06	 -8.02718433E+05	  2.44322924E+06	 -2.83806946E-05	 -5.32496483E-05	 -4.12858074E+06	 -8.02718433E+05	  2.44322924E+06	 -5.67613893E-05	 -1.66629003E-04	 -4.12858074E+06	 -7.56014912E+05	  1.66386257E+06	 -1.98664862E-04	 -9.95919137E-04	 -4.12858074E+06	 -5.22497303E+05	 -1.53241797E+06	 -3.40568336E-04	 -9.07835159E-04	 -4.12858074E+06	 -2.88979694E+05	 -3.56111046E+06	 -4.82471809E-04	  1.36253362E-03	 -4.12858074E+06	 -5.54620857E+04	 -4.42221491E+06	 -6.24375282E-04	  6.35209470E-03	 -4.12858074E+06	  1.78055523E+05	 -4.11573132E+06	 -7.66278755E-04	  1.38697524E-02	 -4.12858074E+06	  4.11573132E+05	 -2.64165968E+06	 -9.08182228E-04	  2.29964079E-02	 -4.12858074E+06	  6.45090740E+05	  9.25560016E-07	  4.17867455E+06
    0.0200	 -4.12858074E+06	 -8.49421955E+05	  3.26929944E+06	  0.00000000E+00	  0.00000000E+00	 -2.83806946E-05	 -5.32496483E-05	 -4.12858074E+06	 -8.02718433E+05	  2.44322924E+06	 -2.83806946E-05	 -5.32496483E-05	 -4.12858074E+06	 -8.02718433E+05	  2.44322924E+06	 -5.67613893E-05	 -1.66629003E-04	 -4.12858074E+06	 -7.56014912E+05	  1.66386257E+06	 -1.98664862E-04	 -9.95919137E-04	 -4.12858074E+06	 -5.22497303E+05	 -1.53241797E+06	 -3.40568336E-04	 -9.07835159E-04	 -4.12858074E+06	 -2.88979694E+05	 -3.56111046E+06	 -4.82471809E-04	  1.36253362E-03	 -4.12858074E+06	 -5.54620857E+04	 -4.42221491E+06	 -6.24375282E-04	  6.35209470E-03	 -4.12858074E+06	  1.78055523E+05	 -4.11573132E+06	 -7.66278755E-04	  1.38697524E-02	 -4.12858074E+06	  4.11573132E+05	 -2.64165968E+06	 -9.08182228E-04	  2.29964079E-02	 -4.12858074E+06	  6.45090740E+05	  9.25560016E-07	  4.17867455E+06
    0.0300	 -4.12858074E+06	 -8.49421955E+05	  3.26929944E+06	  0.00000000E+00	  0.00000000E+00	 -2.83806946E-05	 -5.32496483E-05	 -4.12858074E+06	 -8.02718433E+05	  2.44322924E+06	 -2.83806946E-05	 -5.32496483E-05	 -4.12858074E+06	 -8.02718433E+05	  2.44322924E+06	 -5.67613893E-05	 -1.66629003E-04	 -4.12858074E+06	 -7.56014912E+05	  1.66386257E+06	 -1.98664862E-04	 -9.95919137E-04	 -4.12858074E+06	 -5.22497303E+05	 -1.53241797E+06	 -3.40568336E-04	 -9.07835159E-04	 -4.12858074E+06	 -2.88979694E+05	 -3.56111046E+06	 -4.82471809E-04	  1.36253362E-03	 -4.12858074E+06	 -5.54620857E+04	 -4.42221491E+06	 -6.24375282E-04	  6.35209470E-03	 -4.12858074E+06	  1.78055523E+05	 -4.11573132E+06	 -7.66278755E-04	  1.38697524E-02	 -4.12858074E+06	  4.11573132E+05	 -2.64165968E+06	 -9.08182228E-04	  2.29964079E-02	 -4.12858074E+06	  6.45090740E+05	  9.25560016E-07	  4.17867455E+06
    0.0400	 -4.12858074E+06	 -8.49421955E+05	  3.26929944E+06	  0.00000000E+00	  0.00000000E+00	 -2.83806946E-05	 -5.32496483E-05	 -4.12858074E+06	 -8.02718433E+05	  2.44322924E+06	 -2.83806946E-05	 -5.32496483E-05	 -4.12858074E+06	 -8.02718433E+05	  2.44322924E+06	 -5.67613893E-05	 -1.66629003E-04	 -4.12858074E+06	 -7.56014912E+05	  1.66386257E+06	 -1.98664862E-04	 -9.95919137E-04	 -4.12858074E+06	 -5.22497303E+05	 -1.53241797E+06	 -3.40568336E-04	 -9.07835159E-04	 -4.12858074E+06	 -2.88979694E+05	 -3.56111046E+06	 -4.82471809E-04	  1.36253362E-03	 -4.12858074E+06	 -5.54620857E+04	 -4.42221491E+06	 -6.24375282E-04	  6.35209470E-03	 -4.12858074E+06	  1.78055523E+05	 -4.11573132E+06	 -7.66278755E-04	  1.38697524E-02	 -4.12858074E+06	  4.11573132E+05	 -2.64165968E+06	 -9.08182228E-04	  2.29964079E-02	 -4.12858074E+06	  6.45090740E+05	  9.25560016E-07	  4.17867455E+06
    0.0500	 -4.12858074E+06	 -8.49421955E+05	  3.26929944E+06	  0.00000000E+00	  0.00000000E+00	 -2.83806946E-05	 -5.32496483E-05	 -4.12858074E+06	 -8.02718433E+05	  2.44322924E+06	 -2.83806946E-05	 -5.32496483E-05	 -4.12858074E+06	 -8.02718433E+05	  2.44322924E+06	 -5.67613893E-05	 -1.66629003E-04	 -4.12858074E+06	 -7.56014912E+05	  1.66386257E+06	 -1.98664862E-04	 -9.95919137E-04	 -4.12858074E+06	 -5.22497303E+05	 -1.53241797E+06	 -3.40568336E-04	 -9.07835159E-04	 -4.12858074E+06	 -2.88979694E+05	 -3.56111046E+06	 -4.82471809E-04	  1.36253362E-03	 -4.12858074E+06	 -5.54620857E+04	 -4.42221491E+06	 -6.24375282E-04	  6.35209470E-03	 -4.12858074E+06	  1.78055523E+05	 -4.11573132E+06	 -7.66278755E-04	  1.38697524E-02	 -4.12858074E+06	  4.11573132E+05	 -2.64165968E+06	 -9.08182228E-04	  2.29964079E-02	 -4.12858074E+06	  6.45090740E+05	  9.25560016E-07	  4.17867455E+06
    0.0600	 -4.12858074E+06	 -8.49421955E+05	  3.26929944E+06	  0.00000000E+00	  0.00000000E+00	 -2.83806946E-05	 -5.32496483E-05	 -4.12858074E+06	 -8.02718433E+05	  2.44322924E+06	 -2.83806946E-05	 -5.32496483E-05	 -4.12858074E+06	 -8.02718433E+05	  2.44322924E+06	 -5.67613893E-05	 -1.66629003E-04	 -4.12858074E+06	 -7.56014912E+05	  1.66386257E+06	 -1.98664862E-04	 -9.95919137E-04	 -4.12858074E+06	 -5.22497303E+05	 -1.53241797E+06	 -3.40568336E-04	 -9.07835159E-04	 -4.12858074E+06	 -2.88979694E+05	 -3.56111046E+06	 -4.82471809E-04	  1.36253362E-03	 -4.12858074E+06	 -5.54620857E+04	 -4.42221491E+06	 -6.24375282E-04	  6.35209470E-03	 -4.12858074E+06	  1.78055523E+05	 -4.11573132E+06	 -7.66278755E-04	  1.38697524E-02	 -4.12858074E+06	  4.11573132E+05	 -2.64165968E+06	 -9.08182228E-04	  2.29964079E-02	 -4.12858074E+06	  6.45090740E+05	  9.25560016E-07	  4.17867455E+06
    0.0700	 -4.12858074E+06	 -8.49421955E+05	  3.26929944E+06	  0.00000000E+00	  0.00000000E+00	 -2.83806946E-05	 -5.32496483E-05	 -4.12858074E+06	 -8.02718433E+05	  2.44322924E+06	 -2.83806946E-05	 -5.32496483E-05	 -4.12858074E+06	 -8.02718433E+05	  2.44322924E+06	 -5.67613893E-05	 -1.66629003E-04	 -4.12858074E+06	 -7.56014912E+05	  1.66386257E+06	 -1.98664862E-04	 -9.95919137E-04	 -4.12858074E+06	 -5.22497303E+05	 -1.53241797E+06	 -3.40568336E-04	 -9.07835159E-04	 -4.12858074E+06	 -2.88979694E+05	 -3.56111046E+06	 -4.82471809E-04	  1.36253362E-03	 -4.12858074E+06	 -5.54620857E+04	 -4.42221491E+06	 -6.24375282E-04	  6.35209470E-03	 -4.12858074E+06	  1.78055523E+05	 -4.11573132E+06	 -7.66278755E-04	  1.38697524E-02	 -4.12858074E+06	  4.11573132E+05	 -2.64165968E+06	 -9.08182228E-04	  2.29964079E-02	 -4.12858074E+06	  6.45090740E+05	  9.25560016E-07	  4.17867455E+06
    0.0800	 -4.12858074E+06	 -8.49421955E+05	  3.26929944E+06	  0.00000000E+00	  0.00000000E+00	 -2.83806946E-05	 -5.32496483E-05	 -4.12858074E+06	 -8.02718433E+05	  2.44322924E+06	 -2.83806946E-05	 -5.32496483E-05	 -4.12858074E+06	 -8.02718433E+05	  2.44322924E+06	 -5.67613893E-05	 -1.66629003E-04	 -4.12858074E+06	 -7.56014912E+05	  1.66386257E+06	 -1.98664862E-04	 -9.95919137E-04	 -4.12858074E+06	 -5.22497303E+05	 -1.53241797E+06	 -3.40568336E-04	 -9.07835159E-04	 -4.12858074E+06	 -2.88979694E+05	 -3.56111046E+06	 -4.82471809E-04	  1.36253362E-03	 -4.12858074E+06	 -5.54620857E+04	 -4.42221491E+06	 -6.24375282E-04	  6.35209470E-03	 -4.12858074E+06	  1.78055523E+05	 -4.11573132E+06	 -7.66278755E-04	  1.38697524E-02	 -4.12858074E+06	  4.11573132E+05	 -2.64165968E+06	 -9.08182228E-04	  2.29964079E-02	 -4.12858074E+06	  6.45090740E+05	  9.25560016E-07	  4.17867455E+06
