
These predictions were generated by SubDyn on 13-Jun-2022 at 17:02:21.




    Time	      M1N1TDxss	      M2N1TDxss	      M2N2TDxss	       M1N1RDye	       M2N1RDye	       M2N2RDye	       IntfFXss	       IntfMYss
       s	            (m)	            (m)	            (m)	          (rad)	          (rad)	          (rad)	            (N)	           (Nm)
    0.0000	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	  -0.000000E+00	  -0.000000E+00
    0.0100	   0.000000E+00	   1.044284E-08	   2.840355E-08	   0.000000E+00	   1.323311E-08	   5.542899E-08	  -3.716179E-01	   3.111628E-01
    0.0200	   0.000000E+00	  -1.393125E-08	   5.884249E-07	   0.000000E+00	  -2.263255E-08	   3.484041E-07	   2.426479E-01	  -3.197496E-01
    0.0300	   0.000000E+00	  -2.785423E-08	   2.334275E-06	   0.000000E+00	  -2.616219E-08	   9.982339E-07	   1.371883E+00	  -8.386512E-01
    0.0400	   0.000000E+00	   9.374344E-08	   5.538538E-06	   0.000000E+00	   2.075610E-07	   1.846083E-06	   8.821999E-01	   1.792179E+00
    0.0500	   0.000000E+00	   3.303011E-07	   1.073791E-05	   0.000000E+00	   6.524561E-07	   3.103121E-06	  -4.694419E-01	   6.905278E+00
    0.0600	   0.000000E+00	   6.046554E-07	   1.840477E-05	   0.000000E+00	   1.190475E-06	   5.071194E-06	  -9.762364E-01	   1.250910E+01
    0.0700	   0.000000E+00	   9.766053E-07	   2.831327E-05	   0.000000E+00	   1.914936E-06	   7.561004E-06	  -1.915908E+00	   2.015715E+01
    0.0800	   0.000000E+00	   1.502770E-06	   3.998792E-05	   0.000000E+00	   2.910771E-06	   1.031007E-05	  -4.602571E+00	   3.129468E+01
    0.0900	   0.000000E+00	   2.084241E-06	   5.321738E-05	   0.000000E+00	   4.015981E-06	   1.344533E-05	  -7.309688E+00	   4.346110E+01
    0.1000	   0.000000E+00	   2.646856E-06	   6.753903E-05	   0.000000E+00	   5.105120E-06	   1.696519E-05	  -8.985126E+00	   5.493225E+01
    0.1100	   0.000000E+00	   3.247716E-06	   8.197427E-05	   0.000000E+00	   6.257316E-06	   2.044610E-05	  -1.131138E+01	   6.731964E+01
    0.1200	   0.000000E+00	   3.876516E-06	   9.573881E-05	   0.000000E+00	   7.445721E-06	   2.365871E-05	  -1.455005E+01	   8.046391E+01
    0.1300	   0.000000E+00	   4.410472E-06	   1.084686E-04	   0.000000E+00	   8.467899E-06	   2.672826E-05	  -1.665104E+01	   9.137902E+01
    0.1400	   0.000000E+00	   4.828061E-06	   1.196200E-04	   0.000000E+00	   9.282093E-06	   2.952401E-05	  -1.759508E+01	   9.968454E+01
    0.1500	   0.000000E+00	   5.203358E-06	   1.285494E-04	   0.000000E+00	   9.999136E-06	   3.169565E-05	  -1.915315E+01	   1.073430E+02
    0.1600	   0.000000E+00	   5.503202E-06	   1.351948E-04	   0.000000E+00	   1.056483E-05	   3.328859E-05	  -2.071699E+01	   1.135101E+02
    0.1700	   0.000000E+00	   5.649645E-06	   1.398940E-04	   0.000000E+00	   1.085811E-05	   3.456340E-05	  -2.064996E+01	   1.162191E+02
    0.1800	   0.000000E+00	   5.703653E-06	   1.427926E-04	   0.000000E+00	   1.097902E-05	   3.544671E-05	  -2.002410E+01	   1.170096E+02
    0.1900	   0.000000E+00	   5.754506E-06	   1.441580E-04	   0.000000E+00	   1.107480E-05	   3.584828E-05	  -2.030555E+01	   1.180334E+02
    0.2000	   0.000000E+00	   5.765782E-06	   1.448088E-04	   0.000000E+00	   1.109751E-05	   3.610014E-05	  -2.028558E+01	   1.182129E+02
    0.2100	   0.000000E+00	   5.719494E-06	   1.455864E-04	   0.000000E+00	   1.102921E-05	   3.650539E-05	  -1.913498E+01	   1.169864E+02
    0.2200	   0.000000E+00	   5.722897E-06	   1.469370E-04	   0.000000E+00	   1.104840E-05	   3.699539E-05	  -1.857768E+01	   1.169573E+02
    0.2300	   0.000000E+00	   5.832174E-06	   1.493886E-04	   0.000000E+00	   1.125245E-05	   3.762792E-05	  -1.929055E+01	   1.193799E+02
    0.2400	   0.000000E+00	   5.987395E-06	   1.536861E-04	   0.000000E+00	   1.155460E-05	   3.875765E-05	  -1.968901E+01	   1.226110E+02
    0.2500	   0.000000E+00	   6.196439E-06	   1.601533E-04	   0.000000E+00	   1.197178E-05	   4.047218E-05	  -1.974799E+01	   1.268182E+02
    0.2600	   0.000000E+00	   6.545551E-06	   1.686255E-04	   0.000000E+00	   1.264069E-05	   4.254975E-05	  -2.116312E+01	   1.341599E+02
    0.2700	   0.000000E+00	   7.013345E-06	   1.790284E-04	   0.000000E+00	   1.352592E-05	   4.500870E-05	  -2.354906E+01	   1.440648E+02
    0.2800	   0.000000E+00	   7.508689E-06	   1.912740E-04	   0.000000E+00	   1.447960E-05	   4.799999E-05	  -2.528037E+01	   1.542851E+02
    0.2900	   0.000000E+00	   8.044443E-06	   2.047513E-04	   0.000000E+00	   1.551446E-05	   5.130391E-05	  -2.700426E+01	   1.652789E+02
