
These predictions were generated by SubDyn on 25-Apr-2025 at 11:51:38.




    Time	  M1N1TDxss	  M1N2TDxss
       s	        (m)	        (m)
    0.0000	 0.0000E+00	 0.0000E+00
    0.0100	-2.8786E-11	 4.9045E-09
    0.0200	-5.7532E-11	 3.8821E-08
    0.0300	-8.6200E-11	 1.3076E-07
    0.0400	-1.1475E-10	 3.0970E-07
    0.0500	-1.4314E-10	 6.0465E-07
    0.0600	-1.7134E-10	 1.0445E-06
    0.0700	-1.9930E-10	 1.6583E-06
    0.0800	-2.2699E-10	 2.4749E-06
    0.0900	-2.5436E-10	 3.5231E-06
    0.1000	-2.8138E-10	 4.8318E-06
    0.1100	-3.0801E-10	 6.4298E-06
    0.1200	-3.3421E-10	 8.3457E-06
    0.1300	-3.5994E-10	 1.0608E-05
    0.1400	-3.8516E-10	 1.3246E-05
    0.1500	-4.0984E-10	 1.6288E-05
    0.1600	-4.3393E-10	 1.9761E-05
    0.1700	-4.5739E-10	 2.3696E-05
    0.1800	-4.8020E-10	 2.8119E-05
    0.1900	-5.0230E-10	 3.3060E-05
    0.2000	-5.2367E-10	 3.8545E-05
    0.2100	-5.4426E-10	 4.4604E-05
    0.2200	-5.6404E-10	 5.1265E-05
    0.2300	-5.8297E-10	 5.8554E-05
    0.2400	-6.0100E-10	 6.6500E-05
    0.2500	-6.1811E-10	 7.5130E-05
    0.2600	-6.3426E-10	 8.4471E-05
    0.2700	-6.4941E-10	 9.4552E-05
    0.2800	-6.6352E-10	 1.0540E-04
    0.2900	-6.7656E-10	 1.1704E-04
    0.3000	-6.8848E-10	 1.2950E-04
    0.3100	-6.9926E-10	 1.4281E-04
    0.3200	-7.0886E-10	 1.5699E-04
    0.3300	-7.1724E-10	 1.7207E-04
    0.3400	-7.2437E-10	 1.8808E-04
    0.3500	-7.3020E-10	 2.0503E-04
    0.3600	-7.3472E-10	 2.2297E-04
    0.3700	-7.3787E-10	 2.4191E-04
    0.3800	-7.3963E-10	 2.6189E-04
    0.3900	-7.3996E-10	 2.8291E-04
    0.4000	-7.3883E-10	 3.0502E-04
    0.4100	-7.3621E-10	 3.2823E-04
    0.4200	-7.3205E-10	 3.5257E-04
    0.4300	-7.2633E-10	 3.7807E-04
    0.4400	-7.1902E-10	 4.0474E-04
    0.4500	-7.1008E-10	 4.3262E-04
    0.4600	-6.9947E-10	 4.6173E-04
    0.4700	-6.8718E-10	 4.9208E-04
    0.4800	-6.7315E-10	 5.2371E-04
    0.4900	-6.5738E-10	 5.5664E-04
    0.5000	-6.3981E-10	 5.9089E-04
    0.5100	-6.2043E-10	 6.2648E-04
    0.5200	-5.9919E-10	 6.6344E-04
    0.5300	-5.7608E-10	 7.0179E-04
    0.5400	-5.5106E-10	 7.4155E-04
    0.5500	-5.2410E-10	 7.8273E-04
    0.5600	-4.9517E-10	 8.2538E-04
    0.5700	-4.6425E-10	 8.6950E-04
    0.5800	-4.3130E-10	 9.1511E-04
    0.5900	-3.9629E-10	 9.6224E-04
    0.6000	-3.5921E-10	 1.0109E-03
    0.6100	-3.2002E-10	 1.0611E-03
    0.6200	-2.7869E-10	 1.1129E-03
    0.6300	-2.3521E-10	 1.1663E-03
    0.6400	-1.8953E-10	 1.2214E-03
    0.6500	-1.4164E-10	 1.2780E-03
    0.6600	-9.1512E-11	 1.3363E-03
    0.6700	-3.9120E-11	 1.3963E-03
    0.6800	 1.5561E-11	 1.4580E-03
    0.6900	 7.2554E-11	 1.5213E-03
    0.7000	 1.3188E-10	 1.5864E-03
    0.7100	 1.9357E-10	 1.6533E-03
    0.7200	 2.5764E-10	 1.7219E-03
    0.7300	 3.2412E-10	 1.7923E-03
    0.7400	 3.9302E-10	 1.8645E-03
    0.7500	 4.6437E-10	 1.9384E-03
    0.7600	 5.3819E-10	 2.0143E-03
    0.7700	 6.1451E-10	 2.0919E-03
    0.7800	 6.9333E-10	 2.1714E-03
    0.7900	 7.7468E-10	 2.2528E-03
    0.8000	 8.5858E-10	 2.3360E-03
    0.8100	 9.4505E-10	 2.4212E-03
    0.8200	 1.0341E-09	 2.5083E-03
    0.8300	 1.1258E-09	 2.5972E-03
    0.8400	 1.2200E-09	 2.6882E-03
    0.8500	 1.3170E-09	 2.7811E-03
    0.8600	 1.4165E-09	 2.8759E-03
    0.8700	 1.5188E-09	 2.9727E-03
    0.8800	 1.6237E-09	 3.0715E-03
    0.8900	 1.7314E-09	 3.1723E-03
    0.9000	 1.8417E-09	 3.2751E-03
    0.9100	 1.9548E-09	 3.3799E-03
    0.9200	 2.0706E-09	 3.4868E-03
    0.9300	 2.1892E-09	 3.5956E-03
    0.9400	 2.3106E-09	 3.7066E-03
    0.9500	 2.4347E-09	 3.8195E-03
    0.9600	 2.5616E-09	 3.9346E-03
    0.9700	 2.6914E-09	 4.0517E-03
    0.9800	 2.8239E-09	 4.1709E-03
    0.9900	 2.9593E-09	 4.2922E-03
    1.0000	 3.0975E-09	 4.4156E-03
    1.0100	 3.2386E-09	 4.5411E-03
    1.0200	 3.3825E-09	 4.6686E-03
    1.0300	 3.5292E-09	 4.7983E-03
    1.0400	 3.6788E-09	 4.9302E-03
    1.0500	 3.8314E-09	 5.0641E-03
    1.0600	 3.9867E-09	 5.2002E-03
    1.0700	 4.1450E-09	 5.3384E-03
    1.0800	 4.3062E-09	 5.4787E-03
    1.0900	 4.4702E-09	 5.6212E-03
    1.1000	 4.6372E-09	 5.7658E-03
    1.1100	 4.8071E-09	 5.9126E-03
    1.1200	 4.9798E-09	 6.0615E-03
    1.1300	 5.1555E-09	 6.2125E-03
    1.1400	 5.3341E-09	 6.3658E-03
    1.1500	 5.5156E-09	 6.5211E-03
    1.1600	 5.7000E-09	 6.6787E-03
    1.1700	 5.8874E-09	 6.8383E-03
    1.1800	 6.0776E-09	 7.0002E-03
    1.1900	 6.2708E-09	 7.1642E-03
    1.2000	 6.4669E-09	 7.3303E-03
    1.2100	 6.6659E-09	 7.4986E-03
    1.2200	 6.8678E-09	 7.6690E-03
    1.2300	 7.0726E-09	 7.8416E-03
    1.2400	 7.2804E-09	 8.0164E-03
    1.2500	 7.4910E-09	 8.1933E-03
    1.2600	 7.7045E-09	 8.3723E-03
    1.2700	 7.9209E-09	 8.5534E-03
    1.2800	 8.1403E-09	 8.7367E-03
    1.2900	 8.3624E-09	 8.9222E-03
    1.3000	 8.5875E-09	 9.1097E-03
    1.3100	 8.8154E-09	 9.2994E-03
    1.3200	 9.0462E-09	 9.4912E-03
    1.3300	 9.2799E-09	 9.6851E-03
    1.3400	 9.5164E-09	 9.8811E-03
    1.3500	 9.7557E-09	 1.0079E-02
    1.3600	 9.9979E-09	 1.0279E-02
    1.3700	 1.0243E-08	 1.0482E-02
    1.3800	 1.0491E-08	 1.0686E-02
    1.3900	 1.0741E-08	 1.0892E-02
    1.4000	 1.0995E-08	 1.1101E-02
    1.4100	 1.1251E-08	 1.1311E-02
    1.4200	 1.1510E-08	 1.1524E-02
    1.4300	 1.1771E-08	 1.1738E-02
    1.4400	 1.2036E-08	 1.1955E-02
    1.4500	 1.2303E-08	 1.2174E-02
    1.4600	 1.2573E-08	 1.2394E-02
    1.4700	 1.2845E-08	 1.2617E-02
    1.4800	 1.3120E-08	 1.2841E-02
    1.4900	 1.3398E-08	 1.3068E-02
    1.5000	 1.3679E-08	 1.3296E-02
    1.5100	 1.3962E-08	 1.3527E-02
    1.5200	 1.4247E-08	 1.3759E-02
    1.5300	 1.4536E-08	 1.3994E-02
    1.5400	 1.4827E-08	 1.4230E-02
    1.5500	 1.5120E-08	 1.4468E-02
    1.5600	 1.5416E-08	 1.4708E-02
    1.5700	 1.5715E-08	 1.4950E-02
    1.5800	 1.6016E-08	 1.5193E-02
    1.5900	 1.6319E-08	 1.5439E-02
    1.6000	 1.6625E-08	 1.5686E-02
    1.6100	 1.6933E-08	 1.5935E-02
    1.6200	 1.7244E-08	 1.6186E-02
