
These predictions were generated by SubDyn on 13-Jun-2022 at 17:02:43.




    Time	      IntfTDXss	      IntfTDYss	      IntfTDZss	      IntfRDXss	      IntfRDYss	      IntfRDZss	       IntfFXss	       IntfFYss	       IntfFZss	       IntfMXss	       IntfMYss	       IntfMZss	      M1N1TDxss	      M1N1TDzss	      M1N2TDxss	      M1N2TDzss	      M2N1TDxss	      M2N1TDzss	      M2N2TDxss	      M2N2TDzss	       M1N1FKxe	       M1N1FKze	       M1N1MKye	       M1N2FKxe	       M1N2FKze	       M1N2MKye	       M2N1FKxe	       M2N1FKze	       M2N1MKye	       M2N2FKxe	       M2N2FKze	       M2N2MKye
       s	            (m)	            (m)	            (m)	          (rad)	          (rad)	          (rad)	            (N)	            (N)	            (N)	           (Nm)	           (Nm)	           (Nm)	            (m)	            (m)	            (m)	            (m)	            (m)	            (m)	            (m)	            (m)	            (N)	            (N)	          (N*m)	            (N)	            (N)	          (N*m)	            (N)	            (N)	          (N*m)	            (N)	            (N)	          (N*m)
    0.0000	   5.000000E-01	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   8.136883E+05	  -0.000000E+00	   1.723747E+05	  -0.000000E+00	  -1.220532E+07	  -0.000000E+00	   0.000000E+00	   0.000000E+00	   1.352357E-01	  -3.667071E-05	   3.647643E-01	  -3.667071E-05	   5.000000E-01	   0.000000E+00	   8.136883E+05	  -1.149164E+05	   1.220532E+07	   8.136883E+05	  -1.149164E+05	   4.068442E+06	   8.136883E+05	   1.149164E+05	  -4.068442E+06	   8.136883E+05	   1.149164E+05	  -1.220532E+07
    0.1000	   5.000000E-01	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   8.136883E+05	  -0.000000E+00	   1.723747E+05	  -0.000000E+00	  -1.220532E+07	  -0.000000E+00	   0.000000E+00	   0.000000E+00	   1.352357E-01	  -3.667071E-05	   3.647643E-01	  -3.667071E-05	   5.000000E-01	   0.000000E+00	   8.136883E+05	  -1.149164E+05	   1.220532E+07	   8.136883E+05	  -1.149164E+05	   4.068442E+06	   8.136883E+05	   1.149164E+05	  -4.068442E+06	   8.136883E+05	   1.149164E+05	  -1.220532E+07
    0.2000	   5.000000E-01	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   8.136883E+05	  -0.000000E+00	   1.723747E+05	  -0.000000E+00	  -1.220532E+07	  -0.000000E+00	   0.000000E+00	   0.000000E+00	   1.352357E-01	  -3.667071E-05	   3.647643E-01	  -3.667071E-05	   5.000000E-01	   0.000000E+00	   8.136883E+05	  -1.149164E+05	   1.220532E+07	   8.136883E+05	  -1.149164E+05	   4.068442E+06	   8.136883E+05	   1.149164E+05	  -4.068442E+06	   8.136883E+05	   1.149164E+05	  -1.220532E+07
    0.3000	   5.000000E-01	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   8.136883E+05	  -0.000000E+00	   1.723747E+05	  -0.000000E+00	  -1.220532E+07	  -0.000000E+00	   0.000000E+00	   0.000000E+00	   1.352357E-01	  -3.667071E-05	   3.647643E-01	  -3.667071E-05	   5.000000E-01	   0.000000E+00	   8.136883E+05	  -1.149164E+05	   1.220532E+07	   8.136883E+05	  -1.149164E+05	   4.068442E+06	   8.136883E+05	   1.149164E+05	  -4.068442E+06	   8.136883E+05	   1.149164E+05	  -1.220532E+07
    0.4000	   5.000000E-01	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   8.136883E+05	  -0.000000E+00	   1.723747E+05	  -0.000000E+00	  -1.220532E+07	  -0.000000E+00	   0.000000E+00	   0.000000E+00	   1.352357E-01	  -3.667071E-05	   3.647643E-01	  -3.667071E-05	   5.000000E-01	   0.000000E+00	   8.136883E+05	  -1.149164E+05	   1.220532E+07	   8.136883E+05	  -1.149164E+05	   4.068442E+06	   8.136883E+05	   1.149164E+05	  -4.068442E+06	   8.136883E+05	   1.149164E+05	  -1.220532E+07
    0.5000	   5.000000E-01	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   8.136883E+05	  -0.000000E+00	   1.723747E+05	  -0.000000E+00	  -1.220532E+07	  -0.000000E+00	   0.000000E+00	   0.000000E+00	   1.352357E-01	  -3.667071E-05	   3.647643E-01	  -3.667071E-05	   5.000000E-01	   0.000000E+00	   8.136883E+05	  -1.149164E+05	   1.220532E+07	   8.136883E+05	  -1.149164E+05	   4.068442E+06	   8.136883E+05	   1.149164E+05	  -4.068442E+06	   8.136883E+05	   1.149164E+05	  -1.220532E+07
    0.6000	   5.000000E-01	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   8.136883E+05	  -0.000000E+00	   1.723747E+05	  -0.000000E+00	  -1.220532E+07	  -0.000000E+00	   0.000000E+00	   0.000000E+00	   1.352357E-01	  -3.667071E-05	   3.647643E-01	  -3.667071E-05	   5.000000E-01	   0.000000E+00	   8.136883E+05	  -1.149164E+05	   1.220532E+07	   8.136883E+05	  -1.149164E+05	   4.068442E+06	   8.136883E+05	   1.149164E+05	  -4.068442E+06	   8.136883E+05	   1.149164E+05	  -1.220532E+07
    0.7000	   5.000000E-01	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   8.136883E+05	  -0.000000E+00	   1.723747E+05	  -0.000000E+00	  -1.220532E+07	  -0.000000E+00	   0.000000E+00	   0.000000E+00	   1.352357E-01	  -3.667071E-05	   3.647643E-01	  -3.667071E-05	   5.000000E-01	   0.000000E+00	   8.136883E+05	  -1.149164E+05	   1.220532E+07	   8.136883E+05	  -1.149164E+05	   4.068442E+06	   8.136883E+05	   1.149164E+05	  -4.068442E+06	   8.136883E+05	   1.149164E+05	  -1.220532E+07
    0.8000	   5.000000E-01	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   0.000000E+00	   8.136883E+05	  -0.000000E+00	   1.723747E+05	  -0.000000E+00	  -1.220532E+07	  -0.000000E+00	   0.000000E+00	   0.000000E+00	   1.352357E-01	  -3.667071E-05	   3.647643E-01	  -3.667071E-05	   5.000000E-01	   0.000000E+00	   8.136883E+05	  -1.149164E+05	   1.220532E+07	   8.136883E+05	  -1.149164E+05	   4.068442E+06	   8.136883E+05	   1.149164E+05	  -4.068442E+06	   8.136883E+05	   1.149164E+05	  -1.220532E+07
