
These predictions were generated by SubDyn on 28-Jan-2021 at 17:18:35.




    Time	  IntfTDXss	  IntfTDYss	  IntfTDZss	  IntfRDXss	  IntfRDYss	  IntfRDZss	   IntfFXss	   IntfFZss	   IntfMYss	   IntfMZss	  M1N1TDxss	  M1N1TDyss	  M1N1TDzss	   M1N1RDxe	   M1N1RDye	   M1N1RDze	   M1N1TAxe	   M1N1TAye	   M1N1TAze	   M1N1RAxe	   M1N1RAye	   M1N1RAze	   M1N1FKxe	   M1N1FKye	   M1N1FKze	   M1N1MKxe	   M1N1MKye	   M1N1MKze	   M1N1FMye	  M2N1TDxss	  M2N1TDyss	  M2N1TDzss	   M2N1RDxe	   M2N1RDye	   M2N1RDze	   M2N1TAxe	   M2N1TAye	   M2N1TAze	   M2N1FKxe	   M2N1FKye	   M2N1FKze	   M2N1MKxe	   M2N1MKye	   M2N1MKze	   M2N1FMye	  M2N2TDxss	  M2N2TDyss	  M2N2TDzss	   M2N2RDxe	   M2N2RDye	   M2N2RDze	   M2N2TAxe	   M2N2TAye	   M2N2TAze	   M2N2FKxe	   M2N2FKye	   M2N2FKze	   M2N2MKxe	   M2N2MKye	   M2N2MKze
       s	        (m)	        (m)	        (m)	      (rad)	      (rad)	      (rad)	        (N)	        (N)	       (Nm)	       (Nm)	        (m)	        (m)	        (m)	      (rad)	      (rad)	      (rad)	    (m/s^2)	    (m/s^2)	    (m/s^2)	  (rad/s^2)	  (rad/s^2)	  (rad/s^2)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (m)	        (m)	        (m)	      (rad)	      (rad)	      (rad)	    (m/s^2)	    (m/s^2)	    (m/s^2)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)	        (N)	        (m)	        (m)	        (m)	      (rad)	      (rad)	      (rad)	    (m/s^2)	    (m/s^2)	    (m/s^2)	        (N)	        (N)	        (N)	      (N*m)	      (N*m)	      (N*m)
    0.0000	 1.0000E+01	 1.2000E+01	 0.0000E+00	 0.0000E+00	 1.7450E-01	 0.0000E+00	 7.7747E+06	 5.1617E+07	 9.1573E+06	-0.0000E+00	 1.0000E+01	 1.2000E+01	 0.0000E+00	 0.0000E+00	-1.7450E-01	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 9.8824E+05	-0.0000E+00	 5.0880E+07	-0.0000E+00	 9.1609E+06	-0.0000E+00	-0.0000E+00	-2.8946E+00	 1.2000E+01	 1.1137E+00	 0.0000E+00	-1.7447E-01	 0.0000E+00	 1.9245E+00	 0.0000E+00	 3.3582E-01	 1.2441E+05	-0.0000E+00	 2.4788E+07	-0.0000E+00	 2.3525E+06	-0.0000E+00	-0.0000E+00	-4.1834E+00	 1.2000E+01	 1.2251E+00	 0.0000E+00	-1.7442E-01	 0.0000E+00	 1.7884E+00	 0.0000E+00	 3.1207E-01	 1.4174E+05	 0.0000E+00	 2.3483E+07	 0.0000E+00	 1.4094E+06	 0.0000E+00
    0.0500	 1.0000E+01	 1.2000E+01	 0.0000E+00	 0.0000E+00	 1.7450E-01	 0.0000E+00	 7.6881E+06	 5.1632E+07	 1.1540E+07	-0.0000E+00	 1.0000E+01	 1.2000E+01	 0.0000E+00	 0.0000E+00	-1.7450E-01	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 1.0633E+06	-0.0000E+00	 5.0880E+07	-0.0000E+00	 1.0989E+07	-0.0000E+00	-0.0000E+00	-2.8922E+00	 1.2000E+01	 1.1133E+00	 0.0000E+00	-1.7448E-01	 0.0000E+00	 1.9071E+00	 0.0000E+00	 3.3280E-01	 8.8819E+04	-0.0000E+00	 2.4788E+07	-0.0000E+00	 1.9890E+06	-0.0000E+00	-0.0000E+00	-4.1812E+00	 1.2000E+01	 1.2247E+00	 0.0000E+00	-1.7445E-01	 0.0000E+00	 1.7944E+00	 0.0000E+00	 3.1312E-01	 1.0717E+05	 0.0000E+00	 2.3483E+07	 0.0000E+00	 1.3142E+06	 0.0000E+00
    0.1000	 1.0000E+01	 1.2000E+01	 0.0000E+00	 0.0000E+00	 1.7450E-01	 0.0000E+00	 7.4651E+06	 5.1671E+07	 1.7343E+07	-0.0000E+00	 1.0000E+01	 1.2000E+01	 0.0000E+00	 0.0000E+00	-1.7450E-01	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 1.2775E+06	-0.0000E+00	 5.0880E+07	-0.0000E+00	 1.6260E+07	-0.0000E+00	-0.0000E+00	-2.8850E+00	 1.2000E+01	 1.1120E+00	 0.0000E+00	-1.7453E-01	 0.0000E+00	 1.8632E+00	 0.0000E+00	 3.2513E-01	-1.0846E+04	-0.0000E+00	 2.4788E+07	-0.0000E+00	 9.0643E+05	-0.0000E+00	-0.0000E+00	-4.1745E+00	 1.2000E+01	 1.2235E+00	 0.0000E+00	-1.7451E-01	 0.0000E+00	 1.8120E+00	 0.0000E+00	 3.1619E-01	 1.0122E+04	 0.0000E+00	 2.3483E+07	 0.0000E+00	 9.8307E+05	 0.0000E+00
    0.1500	 1.0000E+01	 1.2000E+01	 0.0000E+00	 0.0000E+00	 1.7450E-01	 0.0000E+00	 7.1354E+06	 5.1728E+07	 2.5972E+07	-0.0000E+00	 1.0000E+01	 1.2000E+01	 0.0000E+00	 0.0000E+00	-1.7450E-01	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 1.6019E+06	-0.0000E+00	 5.0880E+07	-0.0000E+00	 2.4396E+07	-0.0000E+00	-0.0000E+00	-2.8732E+00	 1.2000E+01	 1.1100E+00	 0.0000E+00	-1.7459E-01	 0.0000E+00	 1.7944E+00	 0.0000E+00	 3.1313E-01	-1.5532E+05	-0.0000E+00	 2.4788E+07	-0.0000E+00	-8.7331E+05	-0.0000E+00	-0.0000E+00	-4.1632E+00	 1.2000E+01	 1.2215E+00	 0.0000E+00	-1.7460E-01	 0.0000E+00	 1.8320E+00	 0.0000E+00	 3.1969E-01	-1.3137E+05	 0.0000E+00	 2.3483E+07	 0.0000E+00	 2.9261E+05	 0.0000E+00
    0.2000	 1.0000E+01	 1.2000E+01	 0.0000E+00	 0.0000E+00	 1.7450E-01	 0.0000E+00	 6.7434E+06	 5.1797E+07	 3.6538E+07	-0.0000E+00	 1.0000E+01	 1.2000E+01	 0.0000E+00	 0.0000E+00	-1.7450E-01	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 1.9920E+06	-0.0000E+00	 5.0880E+07	-0.0000E+00	 3.4520E+07	-0.0000E+00	-0.0000E+00	-2.8569E+00	 1.2000E+01	 1.1071E+00	 0.0000E+00	-1.7463E-01	 0.0000E+00	 1.7035E+00	 0.0000E+00	 2.9726E-01	-3.1543E+05	-0.0000E+00	 2.4788E+07	-0.0000E+00	-3.3143E+06	-0.0000E+00	-0.0000E+00	-4.1474E+00	 1.2000E+01	 1.2188E+00	 0.0000E+00	-1.7468E-01	 0.0000E+00	 1.8407E+00	 0.0000E+00	 3.2120E-01	-2.9000E+05	 0.0000E+00	 2.3483E+07	 0.0000E+00	-9.4098E+05	 0.0000E+00
    0.2500	 1.0000E+01	 1.2000E+01	 0.0000E+00	 0.0000E+00	 1.7450E-01	 0.0000E+00	 6.3364E+06	 5.1868E+07	 4.8077E+07	-0.0000E+00	 1.0000E+01	 1.2000E+01	 0.0000E+00	 0.0000E+00	-1.7450E-01	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 2.3996E+06	-0.0000E+00	 5.0880E+07	-0.0000E+00	 4.5672E+07	-0.0000E+00	-0.0000E+00	-2.8363E+00	 1.2000E+01	 1.1035E+00	 0.0000E+00	-1.7462E-01	 0.0000E+00	 1.5935E+00	 0.0000E+00	 2.7807E-01	-4.5999E+05	-0.0000E+00	 2.4788E+07	-0.0000E+00	-6.3638E+06	-0.0000E+00	-0.0000E+00	-4.1269E+00	 1.2000E+01	 1.2152E+00	 0.0000E+00	-1.7472E-01	 0.0000E+00	 1.8238E+00	 0.0000E+00	 3.1825E-01	-4.3649E+05	 0.0000E+00	 2.3483E+07	 0.0000E+00	-2.9001E+06	 0.0000E+00
    0.3000	 1.0000E+01	 1.2000E+01	 0.0000E+00	 0.0000E+00	 1.7450E-01	 0.0000E+00	 5.9538E+06	 5.1934E+07	 5.9779E+07	-0.0000E+00	 1.0000E+01	 1.2000E+01	 0.0000E+00	 0.0000E+00	-1.7450E-01	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 2.7850E+06	-0.0000E+00	 5.0880E+07	-0.0000E+00	 5.7039E+07	-0.0000E+00	-0.0000E+00	-2.8118E+00	 1.2000E+01	 1.0992E+00	 0.0000E+00	-1.7452E-01	 0.0000E+00	 1.4680E+00	 0.0000E+00	 2.5617E-01	-5.6393E+05	-0.0000E+00	 2.4788E+07	-0.0000E+00	-9.9493E+06	-0.0000E+00	-0.0000E+00	-4.1019E+00	 1.2000E+01	 1.2108E+00	 0.0000E+00	-1.7469E-01	 0.0000E+00	 1.7707E+00	 0.0000E+00	 3.0898E-01	-5.4725E+05	 0.0000E+00	 2.3483E+07	 0.0000E+00	-5.7011E+06	 0.0000E+00
    0.3500	 1.0000E+01	 1.2000E+01	 0.0000E+00	 0.0000E+00	 1.7450E-01	 0.0000E+00	 5.6310E+06	 5.1991E+07	 7.0899E+07	-0.0000E+00	 1.0000E+01	 1.2000E+01	 0.0000E+00	 0.0000E+00	-1.7450E-01	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 3.1115E+06	-0.0000E+00	 5.0880E+07	-0.0000E+00	 6.7865E+07	-0.0000E+00	-0.0000E+00	-2.7836E+00	 1.2000E+01	 1.0943E+00	 0.0000E+00	-1.7431E-01	 0.0000E+00	 1.3305E+00	 0.0000E+00	 2.3217E-01	-6.0515E+05	-0.0000E+00	 2.4788E+07	-0.0000E+00	-1.3982E+07	-0.0000E+00	-0.0000E+00	-4.0725E+00	 1.2000E+01	 1.2057E+00	 0.0000E+00	-1.7456E-01	 0.0000E+00	 1.6728E+00	 0.0000E+00	 2.9191E-01	-6.0136E+05	 0.0000E+00	 2.3483E+07	 0.0000E+00	-9.4214E+06	 0.0000E+00
    0.4000	 1.0000E+01	 1.2000E+01	 0.0000E+00	 0.0000E+00	 1.7450E-01	 0.0000E+00	 5.3886E+06	 5.2033E+07	 8.0973E+07	-0.0000E+00	 1.0000E+01	 1.2000E+01	 0.0000E+00	 0.0000E+00	-1.7450E-01	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 0.0000E+00	 3.3576E+06	-0.0000E+00	 5.0880E+07	-0.0000E+00	 7.7674E+07	-0.0000E+00	-0.0000E+00	-2.7521E+00	 1.2000E+01	 1.0888E+00	 0.0000E+00	-1.7399E-01	 0.0000E+00	 1.1846E+00	 0.0000E+00	 2.0671E-01	-5.7226E+05	-0.0000E+00	 2.4788E+07	-0.0000E+00	-1.8354E+07	-0.0000E+00	-0.0000E+00	-4.0390E+00	 1.2000E+01	 1.1999E+00	 0.0000E+00	-1.7433E-01	 0.0000E+00	 1.5276E+00	 0.0000E+00	 2.6657E-01	-5.8784E+05	 0.0000E+00	 2.3483E+07	 0.0000E+00	-1.4039E+07	 0.0000E+00
