
These predictions were generated by SubDyn on 27-Nov-2023 at 16:43:41.




    Time	  M1N2TDzss	   M1N2FKze
       s	        (m)	        (N)
    0.0000	 0.0000E+00	 0.0000E+00
    0.0100	-4.8931E-04	-1.9317E+00
    0.0200	-1.9512E-03	-7.7031E+00
    0.0300	-4.3739E-03	-1.7267E+01
    0.0400	-7.7419E-03	-3.0563E+01
    0.0500	-1.2036E-02	-4.7515E+01
    0.0600	-1.7233E-02	-6.8033E+01
    0.0700	-2.3308E-02	-9.2014E+01
    0.0800	-3.0230E-02	-1.1934E+02
    0.0900	-3.7968E-02	-1.4989E+02
    0.1000	-4.6485E-02	-1.8352E+02
    0.1100	-5.5744E-02	-2.2007E+02
    0.1200	-6.5704E-02	-2.5938E+02
    0.1300	-7.6319E-02	-3.0129E+02
    0.1400	-8.7546E-02	-3.4562E+02
    0.1500	-9.9336E-02	-3.9216E+02
    0.1600	-1.1164E-01	-4.4073E+02
    0.1700	-1.2440E-01	-4.9112E+02
    0.1800	-1.3757E-01	-5.4312E+02
    0.1900	-1.5110E-01	-5.9652E+02
    0.2000	-1.6493E-01	-6.5109E+02
    0.2100	-1.7899E-01	-7.0662E+02
    0.2200	-1.9324E-01	-7.6289E+02
    0.2300	-2.0762E-01	-8.1966E+02
    0.2400	-2.2207E-01	-8.7671E+02
    0.2500	-2.3654E-01	-9.3381E+02
    0.2600	-2.5096E-01	-9.9074E+02
    0.2700	-2.6528E-01	-1.0473E+03
    0.2800	-2.7945E-01	-1.1032E+03
    0.2900	-2.9340E-01	-1.1583E+03
    0.3000	-3.0709E-01	-1.2123E+03
    0.3100	-3.2046E-01	-1.2651E+03
    0.3200	-3.3347E-01	-1.3165E+03
    0.3300	-3.4606E-01	-1.3662E+03
    0.3400	-3.5819E-01	-1.4141E+03
    0.3500	-3.6981E-01	-1.4599E+03
    0.3600	-3.8088E-01	-1.5037E+03
    0.3700	-3.9136E-01	-1.5450E+03
    0.3800	-4.0122E-01	-1.5839E+03
    0.3900	-4.1041E-01	-1.6202E+03
    0.4000	-4.1890E-01	-1.6537E+03
    0.4100	-4.2668E-01	-1.6844E+03
    0.4200	-4.3370E-01	-1.7122E+03
    0.4300	-4.3995E-01	-1.7368E+03
    0.4400	-4.4541E-01	-1.7584E+03
    0.4500	-4.5006E-01	-1.7767E+03
    0.4600	-4.5388E-01	-1.7918E+03
    0.4700	-4.5688E-01	-1.8037E+03
    0.4800	-4.5903E-01	-1.8122E+03
    0.4900	-4.6035E-01	-1.8174E+03
    0.5000	-4.6082E-01	-1.8192E+03
    0.5100	-4.6045E-01	-1.8178E+03
    0.5200	-4.5926E-01	-1.8131E+03
    0.5300	-4.5724E-01	-1.8051E+03
    0.5400	-4.5441E-01	-1.7939E+03
