
These predictions were generated by SubDyn on 27-Nov-2023 at 17:00:45.




    Time	  M1N1TDxss	  M1N2TDxss
       s	        (m)	        (m)
    0.0000	 0.0000E+00	 0.0000E+00
    0.0100	-3.3121E-11	 5.8208E-11
    0.0200	-6.6221E-11	 1.4623E-08
    0.0300	-9.9259E-11	 7.2734E-08
    0.0400	-1.3219E-10	 2.0633E-07
    0.0500	-1.6496E-10	 4.4575E-07
    0.0600	-1.9754E-10	 8.1906E-07
    0.0700	-2.2989E-10	 1.3554E-06
    0.0800	-2.6196E-10	 2.0837E-06
    0.0900	-2.9371E-10	 3.0329E-06
    0.1000	-3.2510E-10	 4.2318E-06
    0.1100	-3.5609E-10	 5.7091E-06
    0.1200	-3.8664E-10	 7.4937E-06
    0.1300	-4.1670E-10	 9.6143E-06
    0.1400	-4.4623E-10	 1.2099E-05
    0.1500	-4.7519E-10	 1.4977E-05
    0.1600	-5.0355E-10	 1.8277E-05
    0.1700	-5.3126E-10	 2.2027E-05
    0.1800	-5.5828E-10	 2.6255E-05
    0.1900	-5.8457E-10	 3.0990E-05
    0.2000	-6.1009E-10	 3.6259E-05
    0.2100	-6.3479E-10	 4.2091E-05
    0.2200	-6.5864E-10	 4.8514E-05
    0.2300	-6.8160E-10	 5.5556E-05
    0.2400	-7.0363E-10	 6.3244E-05
    0.2500	-7.2468E-10	 7.1606E-05
    0.2600	-7.4472E-10	 8.0669E-05
    0.2700	-7.6371E-10	 9.0461E-05
    0.2800	-7.8161E-10	 1.0101E-04
    0.2900	-7.9838E-10	 1.1234E-04
    0.3000	-8.1398E-10	 1.2448E-04
    0.3100	-8.2837E-10	 1.3746E-04
    0.3200	-8.4151E-10	 1.5130E-04
    0.3300	-8.5337E-10	 1.6603E-04
    0.3400	-8.6391E-10	 1.8168E-04
    0.3500	-8.7309E-10	 1.9827E-04
    0.3600	-8.8087E-10	 2.1583E-04
    0.3700	-8.8722E-10	 2.3439E-04
    0.3800	-8.9209E-10	 2.5396E-04
    0.3900	-8.9545E-10	 2.7458E-04
    0.4000	-8.9727E-10	 2.9627E-04
    0.4100	-8.9751E-10	 3.1906E-04
    0.4200	-8.9613E-10	 3.4297E-04
    0.4300	-8.9309E-10	 3.6802E-04
    0.4400	-8.8837E-10	 3.9424E-04
    0.4500	-8.8193E-10	 4.2166E-04
    0.4600	-8.7373E-10	 4.5029E-04
    0.4700	-8.6373E-10	 4.8017E-04
    0.4800	-8.5191E-10	 5.1131E-04
    0.4900	-8.3823E-10	 5.4375E-04
    0.5000	-8.2265E-10	 5.7749E-04
    0.5100	-8.0515E-10	 6.1257E-04
    0.5200	-7.8569E-10	 6.4901E-04
    0.5300	-7.6423E-10	 6.8682E-04
    0.5400	-7.4076E-10	 7.2604E-04
    0.5500	-7.1523E-10	 7.6669E-04
    0.5600	-6.8761E-10	 8.0877E-04
    0.5700	-6.5787E-10	 8.5233E-04
    0.5800	-6.2599E-10	 8.9737E-04
    0.5900	-5.9193E-10	 9.4393E-04
    0.6000	-5.5566E-10	 9.9201E-04
    0.6100	-5.1715E-10	 1.0416E-03
    0.6200	-4.7638E-10	 1.0928E-03
    0.6300	-4.3332E-10	 1.1456E-03
    0.6400	-3.8793E-10	 1.2000E-03
    0.6500	-3.4019E-10	 1.2561E-03
    0.6600	-2.9008E-10	 1.3138E-03
    0.6700	-2.3755E-10	 1.3731E-03
    0.6800	-1.8261E-10	 1.4341E-03
    0.6900	-1.2520E-10	 1.4969E-03
    0.7000	-6.5317E-11	 1.5613E-03
    0.7100	-2.9243E-12	 1.6275E-03
    0.7200	 6.1999E-11	 1.6954E-03
    0.7300	 1.2948E-10	 1.7651E-03
    0.7400	 1.9953E-10	 1.8366E-03
    0.7500	 2.7220E-10	 1.9099E-03
    0.7600	 3.4748E-10	 1.9851E-03
    0.7700	 4.2541E-10	 2.0620E-03
    0.7800	 5.0601E-10	 2.1408E-03
    0.7900	 5.8930E-10	 2.2215E-03
    0.8000	 6.7530E-10	 2.3040E-03
    0.8100	 7.6403E-10	 2.3885E-03
    0.8200	 8.5551E-10	 2.4748E-03
    0.8300	 9.4977E-10	 2.5631E-03
    0.8400	 1.0468E-09	 2.6533E-03
    0.8500	 1.1467E-09	 2.7454E-03
    0.8600	 1.2493E-09	 2.8395E-03
    0.8700	 1.3548E-09	 2.9356E-03
    0.8800	 1.4632E-09	 3.0336E-03
    0.8900	 1.5745E-09	 3.1337E-03
    0.9000	 1.6886E-09	 3.2357E-03
    0.9100	 1.8056E-09	 3.3398E-03
    0.9200	 1.9256E-09	 3.4458E-03
    0.9300	 2.0485E-09	 3.5539E-03
    0.9400	 2.1744E-09	 3.6641E-03
    0.9500	 2.3032E-09	 3.7763E-03
    0.9600	 2.4349E-09	 3.8906E-03
    0.9700	 2.5697E-09	 4.0069E-03
    0.9800	 2.7075E-09	 4.1253E-03
    0.9900	 2.8482E-09	 4.2458E-03
    1.0000	 2.9920E-09	 4.3684E-03
    1.0100	 3.1389E-09	 4.4931E-03
    1.0200	 3.2887E-09	 4.6199E-03
    1.0300	 3.4416E-09	 4.7488E-03
    1.0400	 3.5976E-09	 4.8798E-03
    1.0500	 3.7566E-09	 5.0130E-03
    1.0600	 3.9187E-09	 5.1482E-03
    1.0700	 4.0838E-09	 5.2856E-03
    1.0800	 4.2521E-09	 5.4252E-03
    1.0900	 4.4234E-09	 5.5669E-03
    1.1000	 4.5978E-09	 5.7107E-03
    1.1100	 4.7754E-09	 5.8566E-03
    1.1200	 4.9560E-09	 6.0047E-03
    1.1300	 5.1397E-09	 6.1550E-03
    1.1400	 5.3265E-09	 6.3074E-03
    1.1500	 5.5164E-09	 6.4620E-03
    1.1600	 5.7095E-09	 6.6187E-03
    1.1700	 5.9056E-09	 6.7776E-03
    1.1800	 6.1049E-09	 6.9386E-03
    1.1900	 6.3072E-09	 7.1018E-03
    1.2000	 6.5127E-09	 7.2671E-03
    1.2100	 6.7213E-09	 7.4346E-03
    1.2200	 6.9330E-09	 7.6042E-03
    1.2300	 7.1478E-09	 7.7760E-03
    1.2400	 7.3656E-09	 7.9499E-03
    1.2500	 7.5866E-09	 8.1260E-03
    1.2600	 7.8107E-09	 8.3042E-03
    1.2700	 8.0379E-09	 8.4846E-03
    1.2800	 8.2681E-09	 8.6671E-03
    1.2900	 8.5014E-09	 8.8517E-03
    1.3000	 8.7378E-09	 9.0385E-03
    1.3100	 8.9773E-09	 9.2274E-03
    1.3200	 9.2198E-09	 9.4184E-03
    1.3300	 9.4653E-09	 9.6115E-03
    1.3400	 9.7139E-09	 9.8067E-03
    1.3500	 9.9655E-09	 1.0004E-02
    1.3600	 1.0220E-08	 1.0203E-02
    1.3700	 1.0478E-08	 1.0405E-02
    1.3800	 1.0738E-08	 1.0608E-02
    1.3900	 1.1002E-08	 1.0814E-02
    1.4000	 1.1269E-08	 1.1022E-02
    1.4100	 1.1538E-08	 1.1231E-02
    1.4200	 1.1811E-08	 1.1443E-02
    1.4300	 1.2086E-08	 1.1657E-02
    1.4400	 1.2365E-08	 1.1873E-02
    1.4500	 1.2646E-08	 1.2091E-02
    1.4600	 1.2930E-08	 1.2311E-02
    1.4700	 1.3217E-08	 1.2533E-02
    1.4800	 1.3507E-08	 1.2756E-02
    1.4900	 1.3800E-08	 1.2982E-02
    1.5000	 1.4095E-08	 1.3210E-02
    1.5100	 1.4394E-08	 1.3440E-02
    1.5200	 1.4695E-08	 1.3671E-02
    1.5300	 1.4999E-08	 1.3905E-02
    1.5400	 1.5305E-08	 1.4140E-02
    1.5500	 1.5615E-08	 1.4378E-02
    1.5600	 1.5927E-08	 1.4617E-02
    1.5700	 1.6242E-08	 1.4858E-02
    1.5800	 1.6559E-08	 1.5101E-02
    1.5900	 1.6879E-08	 1.5346E-02
    1.6000	 1.7202E-08	 1.5592E-02
    1.6100	 1.7528E-08	 1.5841E-02
    1.6200	 1.7856E-08	 1.6091E-02
