
These predictions were generated by UnsteadyAero on 14-Feb-2023 at 17:43:22.


 

               Time               Alpha                Vrel                  Cn                  Cc                  Cl                  Cd                  Cm          Cn_aq_circ            Cn_aq_nc              Cn_pot                  Dp            Cn_prime              fprime                  Df                Cn_v               Tau_V                LESF                TESF                VRTX                 C_v             Cm_a_nc             Cm_q_nc                Cm_v           alpha_p_f             Dalphaf                 PMC                 T_f                 T_V                  dS             T_alpha                 T_q             k_alpha                 k_q             alpha_e                  X1                  X2             cn_q_nc             alpha_f         fprimeprime              sigma1              sigma3                T_sh                   k              weight          ALPHA_filt
                (s)               (deg)               (m/s)                 (-)                 (-)                 (-)                 (-)                 (-)                 (-)                 (-)                 (-)                 (-)                 (-)                 (-)                 (-)                 (-)                 (-)                 (-)                 (-)                 (-)                 (-)                 (-)                 (-)                 (-)               (rad)                 (-)                 (-)                 (-)                 (-)                 (-)                 (-)                 (-)                 (-)                 (-)               (rad)                 (-)                 (-)                 (-)               (rad)                 (-)                 (-)                 (-)                 (-)                 (-)               (deg)                 (-)
           0.000000        7.22729E+000        4.00255E+001        1.29224E+000        1.56349E-001        1.30164E+000        1.34637E-002       -1.30518E-001        0.00000E+000        0.00000E+000        0.00000E+000        0.00000E+000        0.00000E+000        0.00000E+000        0.00000E+000        0.00000E+000        0.00000E+000        0.00000E+000        0.00000E+000        0.00000E+000        0.00000E+000        0.00000E+000        0.00000E+000        0.00000E+000        0.00000E+000        0.00000E+000       -1.30518E-001        0.00000E+000        0.00000E+000        3.81195E-001        0.00000E+000        0.00000E+000        0.00000E+000        0.00000E+000        0.00000E+000        0.00000E+000        0.00000E+000        0.00000E+000        0.00000E+000        0.00000E+000        1.00000E+000        1.00000E+000        0.00000E+000        9.58934E-003        0.00000E+000        7.22729E+000
           0.016667        7.43797E+000        4.00260E+001        1.24813E+000        1.54996E-001        1.25769E+000        7.88204E-003       -1.30934E-001        1.24644E+000       -3.62713E-004        1.24607E+000       -5.97016E-005        1.24613E+000        1.00000E+000        0.00000E+000        0.00000E+000        0.00000E+000        0.00000E+000        1.00000E+000        0.00000E+000        0.00000E+000       -3.01033E-004       -4.33808E-004       -0.00000E+000        0.00000E+000        0.00000E+000        0.00000E+000        3.00000E+000        6.00000E+000        3.81200E-001        8.57131E-003        8.40687E-003        1.11114E+000        1.08982E+000        1.99491E-001        1.86459E-004        4.04319E-004       -1.56684E-003        1.26139E-001        1.00000E+000        1.00000E+000        1.00000E+000        0.00000E+000        9.53667E-003        1.00000E+000        7.26385E+000
           0.033333        7.64933E+000        4.00263E+001        1.25219E+000        1.59712E-001        1.26231E+000        8.38835E-003       -1.31949E-001        1.24749E+000        4.33889E-004        1.24793E+000        1.60949E-003        1.24632E+000        1.00000E+000        0.00000E+000        0.00000E+000        0.00000E+000        0.00000E+000        0.00000E+000        0.00000E+000        0.00000E+000       -9.56520E-004       -7.37178E-004       -0.00000E+000        0.00000E+000        0.00000E+000        0.00000E+000        6.00000E+000        6.00000E+000        3.81203E-001        8.57131E-003        8.40687E-003        1.11114E+000        1.08982E+000        1.99660E-001        5.18065E-004        1.07106E-003       -3.39219E-003        1.26168E-001        1.00000E+000        5.00000E-001        1.00000E+000        0.00000E+000        9.37960E-003        1.00000E+000        7.33075E+000
           0.050000        7.85905E+000        4.00262E+001        1.25948E+000        1.64543E-001        1.27015E+000        9.21992E-003       -1.33116E-001        1.24961E+000        2.78294E-003        1.25239E+000        5.27794E-003        1.24711E+000        1.00000E+000        0.00000E+000        0.00000E+000        0.00000E+000        0.00000E+000        1.00000E+000        0.00000E+000        0.00000E+000       -1.85499E-003       -9.18912E-004       -0.00000E+000        0.00000E+000        0.00000E+000        0.00000E+000        3.00000E+000        6.00000E+000        3.81202E-001        8.57131E-003        8.40687E-003        1.11114E+000        1.08982E+000        1.99999E-001        9.59075E-004        1.89146E-003       -4.63702E-003        1.26296E-001        1.00000E+000        1.00000E+000        1.00000E+000        0.00000E+000        9.11984E-003        1.00000E+000        7.42243E+000
           0.066667        8.06483E+000        4.00257E+001        1.26945E+000        1.69469E-001        1.28067E+000        1.03032E-002       -1.34342E-001        1.25295E+000        6.22753E-003        1.25918E+000        1.02859E-002        1.24889E+000        1.00000E+000        0.00000E+000        0.00000E+000        0.00000E+000        0.00000E+000        1.00000E+000        0.00000E+000        0.00000E+000       -2.88880E-003       -1.00712E-003       -0.00000E+000        0.00000E+000        0.00000E+000        0.00000E+000        3.00000E+000        6.00000E+000        3.81197E-001        8.57130E-003        8.40687E-003        1.11113E+000        1.08982E+000        2.00534E-001        1.47845E-003        2.78262E-003       -5.32766E-003        1.26581E-001        1.00000E+000        1.00000E+000        1.00000E+000        0.00000E+000        8.76024E-003        1.00000E+000        7.53391E+000
           0.083333        8.26441E+000        4.00249E+001        1.28151E+000        1.74458E-001        1.29328E+000        1.15605E-002       -1.35550E-001        1.25759E+000        1.03103E-002        1.26790E+000        1.60166E-002        1.25189E+000        1.00000E+000        0.00000E+000        0.00000E+000        0.00000E+000        0.00000E+000        1.00000E+000        0.00000E+000        0.00000E+000       -3.97241E-003       -1.02394E-003       -0.00000E+000        0.00000E+000        0.00000E+000        0.00000E+000        3.00000E+000        6.00000E+000        3.81190E-001        8.57129E-003        8.40686E-003        1.11113E+000        1.08982E+000        2.01277E-001        2.04916E-003        3.68185E-003       -5.57929E-003        1.27060E-001        1.00000E+000        1.00000E+000        1.00000E+000        0.00000E+000        8.30473E-003        1.00000E+000        7.66068E+000
           0.100000        8.45560E+000        4.00237E+001        1.29512E+000        1.79467E-001        1.30743E+000        1.29229E-002       -1.36679E-001        1.26352E+000        1.46661E-002        1.27818E+000        2.19916E-002        1.25619E+000        1.00000E+000        0.00000E+000        0.00000E+000        0.00000E+000        0.00000E+000        1.00000E+000        0.00000E+000        0.00000E+000       -5.04040E-003       -9.86781E-004       -0.00000E+000        0.00000E+000        0.00000E+000        0.00000E+000        3.00000E+000        6.00000E+000        3.81178E-001        8.57126E-003        8.40684E-003        1.11113E+000        1.08982E+000        2.02226E-001        2.64761E-003        4.54224E-003       -5.49551E-003        1.27749E-001        1.00000E+000        1.00000E+000        1.00000E+000        0.00000E+000        7.75828E-003        1.00000E+000        7.79862E+000
           0.116667        8.63629E+000        4.00222E+001        1.30980E+000        1.84443E-001        1.32265E+000        1.43304E-002       -1.37681E-001        1.27067E+000        1.90148E-002        1.28968E+000        2.78530E-002        1.26183E+000        1.00000E+000        0.00000E+000        0.00000E+000        0.00000E+000        0.00000E+000        1.00000E+000        0.00000E+000        0.00000E+000       -6.04362E-003       -9.09368E-004       -0.00000E+000        0.00000E+000        0.00000E+000        0.00000E+000        3.00000E+000        6.00000E+000        3.81163E-001        8.57123E-003        8.40683E-003        1.11113E+000        1.08981E+000        2.03370E-001        3.25320E-003        5.32925E-003       -5.15968E-003        1.28651E-001        1.00000E+000        1.00000E+000        1.00000E+000        0.00000E+000        7.12686E-003        1.00000E+000        7.94397E+000
           0.133333        8.80452E+000        4.00203E+001        1.32512E+000        1.89328E-001        1.33849E+000        1.57311E-002       -1.38520E-001        1.27893E+000        2.31453E-002        1.30208E+000        3.33379E-002        1.26874E+000        1.00000E+000        0.00000E+000        0.00000E+000        0.00000E+000        0.00000E+000        1.00000E+000        0.00000E+000        0.00000E+000       -6.94576E-003       -8.02524E-004       -0.00000E+000        0.00000E+000        0.00000E+000        0.00000E+000        3.00000E+000        6.00000E+000        3.81145E-001        8.57119E-003        8.40681E-003        1.11112E+000        1.08981E+000        2.04692E-001        3.84795E-003        6.01796E-003       -4.63778E-003        1.29757E-001        1.00000E+000        1.00000E+000        1.00000E+000        0.00000E+000        6.41736E-003        1.00000E+000        8.09329E+000
