
This file was generated by AeroDyn14 (v14.05.00a-bjj, 11-Apr-2016) on 13-Apr-2016 at 00:25:34.




Time	VX21	VY21	VZ21	Alpha16	DynPres16	CLift16	CDrag16	CNorm16	CTang16	CMomt16	Pitch16	AxInd16	TanInd16	ForcN16	ForcT16	Pmomt16	ReNum16
(sec)	 (m/sec)	 (m/sec)	 (m/sec)	(deg)	(Pa)	(-)	(-)	(-)	(-)	(-)	(deg)	(-)	(-)	(N)	(N)	(N-m)	(x10^6)
     0.000	 5.00000E+00	 0.00000E+00	 0.00000E+00	 4.93871E+00	 5.87246E+02	 7.58894E-01	 1.45751E-02	 7.57332E-01	 5.08123E-02	-5.00530E-02	 4.43400E+00	 0.00000E+00	 0.00000E+00	 4.05586E+01	 5.89694E+00	-1.23512E+00	 9.58453E-01
     0.004	 5.00000E+00	 0.00000E+00	 0.00000E+00	 2.72537E+00	 5.85846E+02	 4.97185E-01	 1.39005E-02	 4.97284E-01	 9.75580E-03	-4.46080E-02	 4.43400E+00	 2.35638E-01	 4.42904E-03	 2.66667E+01	 2.59491E+00	-1.09814E+00	 9.57310E-01
     0.008	 5.00000E+00	 0.00000E+00	 0.00000E+00	 2.66426E+00	 5.85875E+02	 4.90201E-01	 1.38190E-02	 4.90313E-01	 8.98209E-03	-4.44625E-02	 4.43400E+00	 2.42110E-01	 4.58771E-03	 2.62968E+01	 2.52445E+00	-1.09461E+00	 9.57333E-01
     0.012	 5.00000E+00	 0.00000E+00	 0.00000E+00	 2.71563E+00	 5.85851E+02	 4.96072E-01	 1.38875E-02	 4.96172E-01	 9.63141E-03	-4.45848E-02	 4.43400E+00	 2.36670E-01	 4.45443E-03	 2.66077E+01	 2.58362E+00	-1.09758E+00	 9.57314E-01
     0.016	 5.00000E+00	 0.00000E+00	 0.00000E+00	 2.67253E+00	 5.85871E+02	 4.91147E-01	 1.38300E-02	 4.91257E-01	 9.08598E-03	-4.44822E-02	 4.43400E+00	 2.41234E-01	 4.56619E-03	 2.63469E+01	 2.53394E+00	-1.09509E+00	 9.57330E-01
     0.020	 5.00000E+00	 0.00000E+00	 0.00000E+00	 2.70874E+00	 5.85854E+02	 4.95285E-01	 1.38783E-02	 4.95387E-01	 9.54379E-03	-4.45684E-02	 4.43400E+00	 2.37399E-01	 4.47226E-03	 2.65661E+01	 2.57566E+00	-1.09718E+00	 9.57316E-01
     0.024	 5.00000E+00	 0.00000E+00	 0.00000E+00	 2.67836E+00	 5.85868E+02	 4.91812E-01	 1.38378E-02	 4.91922E-01	 9.15928E-03	-4.44961E-02	 4.43400E+00	 2.40617E-01	 4.55111E-03	 2.63822E+01	 2.54064E+00	-1.09542E+00	 9.57328E-01
     0.028	 5.00000E+00	 0.00000E+00	 0.00000E+00	 2.70388E+00	 5.85856E+02	 4.94729E-01	 1.38718E-02	 4.94833E-01	 9.48204E-03	-4.45569E-02	 4.43400E+00	 2.37914E-01	 4.48483E-03	 2.65367E+01	 2.57004E+00	-1.09690E+00	 9.57318E-01
     0.032	 5.00000E+00	 0.00000E+00	 0.00000E+00	 2.68246E+00	 5.85866E+02	 4.92281E-01	 1.38433E-02	 4.92390E-01	 9.21099E-03	-4.45059E-02	 4.43400E+00	 2.40182E-01	 4.54044E-03	 2.64070E+01	 2.54535E+00	-1.09566E+00	 9.57326E-01
     0.036	 5.00000E+00	 0.00000E+00	 0.00000E+00	 2.70045E+00	 5.85858E+02	 4.94338E-01	 1.38673E-02	 4.94442E-01	 9.43854E-03	-4.45487E-02	 4.43400E+00	 2.38277E-01	 4.49371E-03	 2.65159E+01	 2.56608E+00	-1.09670E+00	 9.57319E-01
     0.040	 5.00000E+00	 0.00000E+00	 0.00000E+00	 2.68535E+00	 5.85865E+02	 4.92612E-01	 1.38471E-02	 4.92719E-01	 9.24745E-03	-4.45127E-02	 4.43400E+00	 2.39876E-01	 4.53293E-03	 2.64245E+01	 2.54868E+00	-1.09583E+00	 9.57325E-01
     0.044	 5.00000E+00	 0.00000E+00	 0.00000E+00	 2.69804E+00	 5.85859E+02	 4.94061E-01	 1.38640E-02	 4.94166E-01	 9.40787E-03	-4.45429E-02	 4.43400E+00	 2.38533E-01	 4.49997E-03	 2.65013E+01	 2.56329E+00	-1.09656E+00	 9.57320E-01
     0.048	 5.00000E+00	 0.00000E+00	 0.00000E+00	 2.68739E+00	 5.85864E+02	 4.92844E-01	 1.38499E-02	 4.92952E-01	 9.27317E-03	-4.45176E-02	 4.43400E+00	 2.39661E-01	 4.52763E-03	 2.64368E+01	 2.55102E+00	-1.09594E+00	 9.57324E-01
     0.052	 5.00000E+00	 0.00000E+00	 0.00000E+00	 2.69633E+00	 5.85860E+02	 4.93866E-01	 1.38618E-02	 4.93972E-01	 9.38626E-03	-4.45389E-02	 4.43400E+00	 2.38714E-01	 4.50444E-03	 2.64910E+01	 2.56133E+00	-1.09646E+00	 9.57321E-01
     0.056	 5.00000E+00	 0.00000E+00	 0.00000E+00	 2.68882E+00	 5.85864E+02	 4.93008E-01	 1.38518E-02	 4.93115E-01	 9.29127E-03	-4.45210E-02	 4.43400E+00	 2.39509E-01	 4.52393E-03	 2.64455E+01	 2.55268E+00	-1.09603E+00	 9.57324E-01
     0.060	 5.00000E+00	 0.00000E+00	 0.00000E+00	 2.69513E+00	 5.85860E+02	 4.93729E-01	 1.38602E-02	 4.93834E-01	 9.37101E-03	-4.45360E-02	 4.43400E+00	 2.38841E-01	 4.50754E-03	 2.64837E+01	 2.55994E+00	-1.09639E+00	 9.57321E-01
     0.064	 5.00000E+00	 0.00000E+00	 0.00000E+00	 2.68983E+00	 5.85863E+02	 4.93124E-01	 1.38531E-02	 4.93231E-01	 9.30408E-03	-4.45234E-02	 4.43400E+00	 2.39401E-01	 4.52131E-03	 2.64517E+01	 2.55384E+00	-1.09609E+00	 9.57323E-01
     0.068	 5.00000E+00	 0.00000E+00	 0.00000E+00	 2.69428E+00	 5.85861E+02	 4.93632E-01	 1.38590E-02	 4.93738E-01	 9.36028E-03	-4.45340E-02	 4.43400E+00	 2.38931E-01	 4.50975E-03	 2.64785E+01	 2.55896E+00	-1.09634E+00	 9.57322E-01
