------- AERODYN v15.00.* BLADE DEFINITION INPUT FILE -------------------------------------
AWT-27CR blade aerodynamic parameters
======  Blade Properties =================================================================
         12   NumBlNds           - Number of blade nodes used in the analysis (-)
  BlSpn        BlCrvAC        BlSwpAC        BlCrvAng       BlTwist        BlChord          BlAFID    BlCb    BlCenBn    BlCenBt
   (m)           (m)            (m)            (deg)         (deg)           (m)              (-)     (-)     (m)        (m)
0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.8000000E+00  8.5900000E-01          1   0.0     0.0        0.0
6.2865000E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.8000000E+00  8.5900000E-01          1   0.0     0.0        0.0
1.8859500E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.2000000E+00  1.0450000E+00          2   0.0     0.0        0.0
3.1432500E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  4.6600000E+00  1.1450000E+00          3   0.0     0.0        0.0
4.4005500E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  3.7300000E+00  1.1240000E+00          4   0.0     0.0        0.0
5.6578500E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.6400000E+00  1.0540000E+00          5   0.0     0.0        0.0
6.9151500E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.5900000E+00  9.7600000E-01          6   0.0     0.0        0.0
8.1724500E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  7.3000000E-01  8.8500000E-01          7   0.0     0.0        0.0
9.4297500E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.3000000E-01  7.7500000E-01          8   0.0     0.0        0.0
1.0687050E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  8.0000000E-02  6.5100000E-01          9   0.0     0.0        0.0
1.1944350E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  3.0000000E-02  4.9300000E-01         10   0.0     0.0        0.0
1.2573000E+01  0.0000000E+00  0.0000000E+00  0.0000000E+00  3.0000000E-02  4.9300000E-01         10   0.0     0.0        0.0
