------- AERODYN v15.00.* BLADE DEFINITION INPUT FILE -------------------------------------
Floating MHK turbine hydrodynamic blade input properties, based on the RM1 tidal current rotor
======  Blade Properties =================================================================
32        NumBlNds    - Number of blade nodes used in the analysis (-)
BlSpn     BlCrvAC     BlSwpAC     BlCrvAng     BlTwist     BlChord     BlAFID     BlCb     BlCenBn     BlCenBt
(m)       (m)         (m)         (deg)        (deg)       (m)         (-)        (-)      (m)         (m)
0.00E+00	0.00E+00	0.00E+00	0	12.86	1.68E-02	1	0.9956	0.00E+00	0.00E+00
3.16E-03	0.00E+00	0.00E+00	0	12.86	1.68E-02	1	0.9956	0.00E+00	0.00E+00
9.47E-03	0.00E+00	0.00E+00	0	12.86	1.88E-02	2	0.8572	4.84E-05	3.07E-04
1.58E-02	0.00E+00	0.00E+00	0	12.86	2.35E-02	3	0.6118	1.73E-04	1.08E-03
2.21E-02	0.00E+00	0.00E+00	0	12.86	2.92E-02	4	0.4145	3.22E-04	2.58E-03
2.84E-02	0.00E+00	0.00E+00	0	12.86	3.39E-02	5	0.2873	4.57E-04	3.54E-03
3.47E-02	0.00E+00	0.00E+00	0	12.86	3.59E-02	6	0.2287	5.26E-04	3.75E-03
4.11E-02	0.00E+00	0.00E+00	0	11.54	3.50E-02	7	0.2099	5.26E-04	3.35E-03
4.74E-02	0.00E+00	0.00E+00	0	10.44	3.41E-02	8	0.1966	5.20E-04	3.01E-03
5.37E-02	0.00E+00	0.00E+00	0	9.5		3.32E-02	9	0.187	5.16E-04	2.70E-03
6.00E-02	0.00E+00	0.00E+00	0	8.71	3.23E-02	9	0.187	5.01E-04	2.63E-03
6.63E-02	0.00E+00	0.00E+00	0	8.02	3.14E-02	9	0.187	4.88E-04	2.55E-03
7.26E-02	0.00E+00	0.00E+00	0	7.43	3.05E-02	9	0.187	4.74E-04	2.48E-03
7.89E-02	0.00E+00	0.00E+00	0	6.91	2.96E-02	9	0.187	4.59E-04	2.41E-03
8.53E-02	0.00E+00	0.00E+00	0	6.45	2.87E-02	9	0.187	4.46E-04	2.34E-03
9.16E-02	0.00E+00	0.00E+00	0	6.04	2.78E-02	9	0.187	4.32E-04	2.26E-03
9.79E-02	0.00E+00	0.00E+00	0	5.68	2.69E-02	9	0.187	4.17E-04	2.19E-03
1.04E-01	0.00E+00	0.00E+00	0	5.35	2.60E-02	9	0.187	4.04E-04	2.11E-03
1.11E-01	0.00E+00	0.00E+00	0	5.05	2.51E-02	9	0.187	3.89E-04	2.04E-03
1.17E-01	0.00E+00	0.00E+00	0	4.77	2.42E-02	9	0.187	3.75E-04	1.97E-03
1.23E-01	0.00E+00	0.00E+00	0	4.51	2.32E-02	9	0.187	3.60E-04	1.89E-03
1.29E-01	0.00E+00	0.00E+00	0	4.26	2.23E-02	9	0.187	3.45E-04	1.81E-03
1.36E-01	0.00E+00	0.00E+00	0	4.03	2.13E-02	9	0.187	3.31E-04	1.73E-03
1.42E-01	0.00E+00	0.00E+00	0	3.8		2.03E-02	9	0.187	3.16E-04	1.65E-03
1.48E-01	0.00E+00	0.00E+00	0	3.57	1.94E-02	9	0.187	3.01E-04	1.57E-03
1.55E-01	0.00E+00	0.00E+00	0	3.35	1.84E-02	9	0.187	2.84E-04	1.49E-03
1.61E-01	0.00E+00	0.00E+00	0	3.13	1.73E-02	9	0.187	2.69E-04	1.41E-03
1.67E-01	0.00E+00	0.00E+00	0	2.9		1.63E-02	9	0.187	2.53E-04	1.33E-03
1.74E-01	0.00E+00	0.00E+00	0	2.67	1.53E-02	9	0.187	2.38E-04	1.24E-03
1.80E-01	0.00E+00	0.00E+00	0	2.43	1.42E-02	9	0.187	2.21E-04	1.16E-03
1.86E-01	0.00E+00	0.00E+00	0	2.18	1.32E-02	9	0.187	2.04E-04	1.07E-03
1.89E-01	0.00E+00	0.00E+00	0	2.18	1.32E-02	9	0.187	2.04E-04	1.07E-03

