ELASTODYN     V1.00.*       INDIVIDUAL BLADE INPUT FILE
Turbine EllipticWing, Generated by script Main_CreateFAST_TowerBlade.py V112-3.075MW  
--- BLADE PARAMETERS ---
20            NBlInpSt      Number of blade input stations (-)
0.477465      BldFlDmp(1)   Blade flap mode #1 structural damping in percent of critical (%)
0.477465      BldFlDmp(2)   Blade flap mode #2 structural damping in percent of critical (%)
0.477465      BldEdDmp(1)   Blade edge mode #1 structural damping in percent of critical (%)
--- BLADE ADJUSTMENT FACTORS ---
1             FlStTunr(1)   Blade flapwise modal stiffness tuner, 1st mode (-)
1             FlStTunr(2)   Blade flapwise modal stiffness tuner, 2nd mode (-)
1             AdjBlMs       Factor to adjust blade mass density (-)
1             AdjFlSt       Factor to adjust blade flap stiffness (-)
1             AdjEdSt       Factor to adjust blade edge stiffness (-)
--- DISTRIBUTED BLADE PROPERTIES ---
BlFract         PitchAxis       StrcTwst        BMassDen        FlpStff         EdgStff        
(-)             (-)             (deg)           (kg/m)          (Nm^2)          (Nm^2)         
 0.00000000e+00	 0.00000000e+00	 9.00000000e+01	 1.00000000e+00	 1.00000000e+06	 1.00000000e+06
 5.26315789e-02	 0.00000000e+00	 9.00000000e+01	 1.00000000e+00	 1.00000000e+06	 1.00000000e+06
 1.05263158e-01	 0.00000000e+00	 9.00000000e+01	 1.00000000e+00	 1.00000000e+06	 1.00000000e+06
 1.57894737e-01	 0.00000000e+00	 9.00000000e+01	 1.00000000e+00	 1.00000000e+06	 1.00000000e+06
 2.10526316e-01	 0.00000000e+00	 9.00000000e+01	 1.00000000e+00	 1.00000000e+06	 1.00000000e+06
 2.63157895e-01	 0.00000000e+00	 9.00000000e+01	 1.00000000e+00	 1.00000000e+06	 1.00000000e+06
 3.15789474e-01	 0.00000000e+00	 9.00000000e+01	 1.00000000e+00	 1.00000000e+06	 1.00000000e+06
 3.68421053e-01	 0.00000000e+00	 9.00000000e+01	 1.00000000e+00	 1.00000000e+06	 1.00000000e+06
 4.21052632e-01	 0.00000000e+00	 9.00000000e+01	 1.00000000e+00	 1.00000000e+06	 1.00000000e+06
 4.73684211e-01	 0.00000000e+00	 9.00000000e+01	 1.00000000e+00	 1.00000000e+06	 1.00000000e+06
 5.26315789e-01	 0.00000000e+00	 9.00000000e+01	 1.00000000e+00	 1.00000000e+06	 1.00000000e+06
 5.78947368e-01	 0.00000000e+00	 9.00000000e+01	 1.00000000e+00	 1.00000000e+06	 1.00000000e+06
 6.31578947e-01	 0.00000000e+00	 9.00000000e+01	 1.00000000e+00	 1.00000000e+06	 1.00000000e+06
 6.84210526e-01	 0.00000000e+00	 9.00000000e+01	 1.00000000e+00	 1.00000000e+06	 1.00000000e+06
 7.36842105e-01	 0.00000000e+00	 9.00000000e+01	 1.00000000e+00	 1.00000000e+06	 1.00000000e+06
 7.89473684e-01	 0.00000000e+00	 9.00000000e+01	 1.00000000e+00	 1.00000000e+06	 1.00000000e+06
 8.42105263e-01	 0.00000000e+00	 9.00000000e+01	 1.00000000e+00	 1.00000000e+06	 1.00000000e+06
 8.94736842e-01	 0.00000000e+00	 9.00000000e+01	 1.00000000e+00	 1.00000000e+06	 1.00000000e+06
 9.47368421e-01	 0.00000000e+00	 9.00000000e+01	 1.00000000e+00	 1.00000000e+06	 1.00000000e+06
 1.00000000e+00	 0.00000000e+00	 9.00000000e+01	 1.00000000e+00	 1.00000000e+06	 1.00000000e+06
--- BLADE MODE SHAPES ---
-0.0805       BldFl1Sh(2)   Flap mode 1, coeff of x^2
1.3886        BldFl1Sh(3)   , coeff of x^3
-1.4034       BldFl1Sh(4)   , coeff of x^4
1.7811        BldFl1Sh(5)   , coeff of x^5
-0.6858       BldFl1Sh(6)   , coeff of x^6
-0.6132       BldFl2Sh(2)   Flap mode 2, coeff of x^2
3.3421        BldFl2Sh(3)   , coeff of x^3
-12.934       BldFl2Sh(4)   , coeff of x^4
15.0825       BldFl2Sh(5)   , coeff of x^5
-3.8774       BldFl2Sh(6)   , coeff of x^6
0.5134        BldEdgSh(2)   Edge mode 1, coeff of x^2
0.0631        BldEdgSh(3)   , coeff of x^3
0.485         BldEdgSh(4)   , coeff of x^4
0.3324        BldEdgSh(5)   , coeff of x^5
-0.3938       BldEdgSh(6)   , coeff of x^6
